阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
頒布,颁布,bān bù,"to issue, to proclaim, to enact (laws, decrees etc)"
頒發,颁发,bānfā,"issue, promulgate, award"
頒獎,颁奖,bānjiǎng,present reward/honor
斑點,斑点,bān diǎn,"spot, stain, speckle"
搬遷,搬迁,bān qiān,"to move, to relocate, removal"
板塊,板块,bǎn kuài,"block, slab, tectonic plate, continental plate"
辦不到,办不到,bàn bu dào,"impossible, can't be done, no can do, unable to accomplish"
半邊天,半边天,bàn biān tiān,"half the sky, women of the new society, womenfolk"
半場,半场,bàn chǎng,"half of a game or contest, half-court"
半島,半岛,bàn dǎo,"peninsula"
半路,半路,bàn lù,"halfway, midway, on the way"
半數,半数,bànshù,"half, half (the number), det.: half"
半途而廢,半途而废,bàn tú ér fèi,"to give up halfway (idiom), leave sth unfinished"
半信半疑,半信半疑,bàn xìn bàn yí,"half doubting, dubious, skeptical"
半真半假,半真半假,bàn zhēn bàn jiǎ,"(idiom) half true and half false"
扮,扮,bàn,"to disguise oneself as, to dress up, to play (a role), to put on (an expression)"
伴,伴,bàn,accompany
伴侶,伴侣,bànlǔ,"companion, mate, helpmate, coachfellow, familiar, partner, fere, company"
伴隨,伴随,bànsuí,"accompany, follow"
伴奏,伴奏,bànzòu,accompany (with musical instruments)
拌,拌,bàn,"to mix, to mix in, to toss (a salad)"
幫手,帮手,bāng shoǔ,"helper, assistant"
綁,绑,bǎng,"bind, tie, bind sb.'s hands behind him, truss up"
綁架,绑架,bǎng jià,"to kidnap, to abduct, to hijack, a kidnapping, abduction, staking"
榜樣,榜样,bǎng yàng,"example, model, CL:個|个[ge4]"
棒球,棒球,bàngqiú,"no-hitter, apple, grounder, baseball game, homer, change-up, baseball, extra innings, curve, ball game, horsehide, infielder"
磅,磅,bàng,"see 磅秤 scale, platform balance, (loanword) pound (unit of weight, about 454 grams)"
包袱,包袱,bāofú,"cloth wrapper, bundle wrapped in cloth, burden, millstone round one's neck, punch line (in cross-talk)"
包容,包容,bāoróng,"forgive, pardon, contain"
包紮,包扎,bāo zā, bāo zā,"to wrap up, to pack, to bind up (a wound)"
剝,剥,bāo, bō,"to peel, to skin, to shell, to shuck, to peel, to skin, to flay, to shuck"
煲,煲,bāo,"to cook slowly over a low flame, pot, saucepan"
飽和,饱和,bǎo hé,"saturation"
飽滿,饱满,bǎo mǎn,"full, plump"
寶庫,宝库,bǎo kù,"treasure-house, treasury, treasure-trove (often fig., book of treasured wisdom)"
寶藏,宝藏,bǎo zàng,"precious (mineral) deposits, (budd.) the treasure of Buddha's law"
保管,保管,bǎo guǎn,"to hold in safekeeping, to have in one's care, to guarantee, certainly, surely, custodian, curator"
保姆,保姆,bǎo mǔ,"nanny, housekeeper"
保暖,保暖,bǎo nuǎn,"to stay warm, to protect against the cold"
保鮮,保鲜,bǎoxiān,"Preservation"
保修,保修,bǎo xiū,"to promise to keep sth in good repair, guarantee, warranty"
保佑,保佑,bǎo yoù,"to bless and protect, blessing"
保障,保障,bǎozhàng,"ensure, guarantee, safeguard"
保質期,保质期,bǎo zhì qī,"date of use (on foodstuffs), best before date"
保重,保重,bǎo zhòng,"to take care of oneself"
堡壘,堡垒,bǎo lěi,"fort"
報,报,bào,"newspaper, periodical, bulletin, telegram"
報仇,报仇,bào choú,"to take revenge, to avenge"
報酬,报酬,bàochóu,"emolument, reward, fee, recompense, earnings, gratuity, requital, retribution, price, harvest, remuneration, quittance, pay, consideration, salary, compensation, honorarium, payment, meed, gratification, wage, guerdon"
報廢,报废,bào fèi,"to scrap, to be written off"
報復,报复,bào fù,"to make reprisals, to retaliate, revenge, retaliation"
報社,报社,bào shè,"newspaper (i.e. a company), CL:家[jia1]"
報亭,报亭,bào tíng,"kiosk, newsstand"
報銷,报销,bào xiāo,"to submit an expense account, to apply for reimbursement, to write off, to wipe out"
抱負,抱负,bàofù,"aspiration, ambition"
豹,豹,bào,"leopard, panther"
暴風驟雨,暴风骤雨,bào fēng zhoù yǔ,"violent wind and rainstorm, hurricane, tempest"
暴利,暴利,bào lì,"sudden huge profits"
暴躁,暴躁,bào zào,"irascible, irritable, violent"
曝光,曝光,pùguāng,expose
爆冷門,爆冷门,bào lěng mén,"an upset (esp. in sports), unexpected turn of events, to pull off a coup, a breakthrough"
爆滿,爆满,bào mǎn,"filled to capacity (of theater, stadium, gymnasium etc)"
爆竹,爆竹,bào zhú,"firecracker"
卑鄙,卑鄙,bēi bǐ,"base, mean, contemptible, despicable"
悲哀,悲哀,bēiāi,"grieved, sorrowful"
悲觀,悲观,bēiguān,pessimistic
悲歡離合,悲欢离合,bēi huān lí hé,"joys and sorrows, partings and reunions, the vicissitudes of life"
悲痛,悲痛,bēi tòng,"grieved, sorrowful"
碑,碑,bēi,"a monument, an upright stone tablet, stele, CL:塊|块[kuai4],面[mian4]"
貝殼,贝壳,bèiké,"cowrie, shell, cameo, conch, seashell, valve, clamshell"
備課,备课,bèi kè,"(of a teacher) to prepare lessons"
備受,备受,bèishòu,fully experience (good or bad)
備用,备用,bèi yòng,"reserve, spare, alternate, backup"
背面,背面,bèi miàn,"the back, the reverse side, the wrong side"
背叛,背叛,bèi pàn,"to betray"
背誦,背诵,bèi sòng,"to recite, to repeat from memory"
被捕,被捕,bèi bǔ,"to be arrested, under arrest"
奔波,奔波,bēnbō,"rush about, be busy running about"
奔赴,奔赴,bēn fù,"to rush to, to hurry to"
本分,本分,běn fèn,"(to play) one's part, one's role, one's duty, (to stay within) one's bounds, dutiful, keeping to one's role"
本能,本能,běnnéng,"whim, appetence, vagary, instinct, instinctive, native ability, inherent aptitude, impulse, caprice, faculty"
本錢,本钱,běnqián,"principal, capital"
本色,本色,běn sè, běn shǎi,"inherent qualities, natural qualities, distinctive character, true qualities, natural color"
本性,本性,běn xìng,"natural instincts, nature, inherent quality"
本意,本意,běn yì,"original idea, real intention, etymon"
本著,本着,běn zhe,"based on..., in conformance with.., taking as one's main principle"
奔,奔,bēn,"hurry, rush, be getting on for, head for, flee, run, run quickly, approach, hasten, be getting close to, go straight towards"
笨蛋,笨蛋,bèn dàn,"fool, idiot"
笨重,笨重,bèn zhòng,"heavy, cumbersome, unwieldy"
崩潰,崩溃,bēngkuì,"collapse, fall apart"
繃,绷,bēng, bēng, běng,"to stretch, taut, to tie, to bind, to have a taut face"
繃帶,绷带,bēng dài,"bandage (loanword)"
蹦,蹦,bèng,"to jump, to bounce, to hop"
逼近,逼近,bījìn,"press on towards, approach"
逼迫,逼迫,bī pò,"to force, to compel, to coerce"
逼真,逼真,bī zhēn,"lifelike, true to life, distinctly, clearly"
鼻涕,鼻涕,bí tì,"nasal mucus, snivel"
比比皆是,比比皆是,bǐ bǐ jiē shì,"can be found everywhere"
比不上,比不上,bǐbúshàng,not compare with
比起,比起,bǐ qǐ,"compared with"
比試,比试,bǐ shì,"to have a competition, to measure with one's hand or arm, to make a gesture of measuring"
比喻,比喻,bǐyū,"metaphor, analogy"
鄙視,鄙视,bǐ shì,"to despise, to disdain, to look down upon"
必不可少,必不可少,bì bù kě shǎo,"absolutely necessary, indispensable, essential"
必定,必定,bìdìng,"inevitably, sure, for sure, by all means, needs, necessarily, sure enough, sure as shooting, be sure to, surely, certainly, of necessity, for certain"
碧綠,碧绿,bì lǜ,"dark green"
弊病,弊病,bì bìng,"malady, evil, malpractice, drawback, disadvantage"
弊端,弊端,bì duān,"malpractice, abuse, corrupt practice"
壁畫,壁画,bì huà,"mural (painting), fresco"
避難,避难,bì nàn,"refuge, to take refuge, to seek asylum (political etc)"
避暑,避暑,bì shǔ,"to be away for the summer holidays, to spend a holiday at a summer resort, to prevent sunstroke"
邊疆,边疆,biān jiāng,"border area, borderland, frontier, frontier region"
邊界,边界,biānjiè,"confine, margin, bounds, marchland, boundary, demarcation line, demarcation, borderline, precinct, skirt, frontier, list, borderland, delimitation, butting, bound, boundary line, perimeter, outskirts, coast, march, line, border, mete, limit, skirting, edge"
邊遠,边远,biān yuǎn,"far from the center, remote, outlying"
編號,编号,biān hào,"to number, numbering, serial number"
編劇,编剧,biān jù,"to write a play, scenario, dramatist, screenwriter"
編排,编排,biān pái,"to arrange, to lay out"
編寫,编写,biān xiě,"to compile"
編造,编造,biān zào,"to compile, to draw up, to fabricate, to invent, to concoct, to make up, to cook up"
鞭策,鞭策,biān cè,"to spur on, to urge on, to encourage sb (e.g. to make progress)"
鞭炮,鞭炮,biān pào,"firecrackers, string of small firecrackers, CL:枚[mei2]"
貶值,贬值,biǎn zhí,"to become devaluated, to devaluate, to depreciate"
變革,变革,biàngé,"change, revolution"
變幻莫測,变幻莫测,biàn huàn mò cè,"to change unpredictably, unpredictable, erratic, treacherous"
變遷,变迁,biànqiān,"vicissitudinary, change"
變異,变异,biànyì,variation
變質,变质,biàn zhì,"to degenerate, to go bad, to deteriorate, metamorphosis"
便道,便道,biàn dào,"pavement, sidewalk, shortcut, makeshift road"
便飯,便饭,biàn fàn,"an ordinary meal, simple home cooking"
便捷,便捷,biàn jié,"convenient and fast"
便利店,便利店,biàn lì diàn,"convenience store"
遍布,遍布,biàn bù,"to cover the whole (area), to be found throughout"
辨別,辨别,biàn bié,"to differentiate, to distinguish, to discriminate"
辨認,辨认,biàn rèn,"to recognize, to identify"
辯,辩,biàn,"to dispute, to debate, to argue, to discuss"
辯護,辩护,biàn hù,"to speak in defense of, to argue in favor of, to defend, to plead"
辯解,辩解,biàn jiě,"to explain, to justify, to defend (a point of view etc), to provide an explanation, to try to defend oneself"
辮子,辫子,biàn zi,"plait, braid, pigtail, a mistake or shortcoming that may be exploited by an opponent, handle, CL:根[gen1],條|条[tiao2]"
標,标,biāo,"mark, sign, label, to mark with a symbol, label, lettering etc, to bear (a brand name, registration number etc), prize, award, bid, target, quota, (old) the topmost branches of a tree, visible symptom, classifier for military units"
標榜,标榜,biāobǎng,"excessively praise, parade, glorify, advertisement, boast, boost, advertise, flaunt"
標本,标本,biāoběn,"example, representative, pattern, specimen, root cause and symptoms of disease, sample, model"
標籤,标签,biāoqiān,"mark, ticket, gummed label, tab, markup, sticker, label, tally, tag"
標示,标示,biāoshì,label
標語,标语,biāo yǔ,"written slogan, placard, CL:幅[fu2],張|张[zhang1],條|条[tiao2]"
標致,标致,Biāo zhì, biāo zhi,"Peugeot, beautiful (of woman), pretty"
飆升,飙升,biāo shēng,"to rise rapidly, to soar"
表白,表白,biǎo bái,"to explain oneself, to express, to reveal one's thoughts or feelings, declaration, confession"
表決,表决,biǎojué,(decide by) vote
表述,表述,biǎo shù,"to formulate, enunciation, to explain sth precisely"
表率,表率,biǎo shuài,"example, model"
表態,表态,biǎo tài,"to declare one's position, to say where one stands"
表彰,表彰,biǎo zhāng,"to honor, to commend, to cite (in dispatches)"
憋,憋,biē,"to choke, to stifle, to restrain, to hold back, to hold in (urine), to hold (one's breath)"
彆具匠心,别具匠心,biéjùjiàngxīn,"Unique"
彆看,别看,biékàn,"Don't look at"
別墅,别墅,biéshù,villa
彆說,别说,biéshuō,"Don't say"
別提了,别提了,bié tí le,"say no more, don't bring it up, drop the subject"
別致,别致,bié zhì, bié zhì,"variant of 別緻|别致[bie2 zhi4]"
彆扭,别扭,biè niu,"awkward, difficult, uncomfortable, not agreeing, at loggerheads, gauche"
彬彬有禮,彬彬有礼,bīn bīn yoǔ lǐ,"refined and courteous, urbane"
濱海,滨海,Bīn hǎi, bīn hǎi,"Binhai (place name), Binhai New District, subprovincial district of Tianjin, Binhai county in Yancheng 鹽城|盐城[Yan2 cheng2], Jiangsu, fictitious city Binhai in political satire, coastal, bordering the sea"
繽紛,缤纷,bīn fēn,"vast and various, rich and diverse"
冰棍兒,冰棍儿,bīnggùnr,"ice lolly, popsicle"
冰山,冰山,bīng shān,"iceberg, CL:座[zuo4]"
丙,丙,bǐng,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1], third in order, letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc, ancient Chinese compass point: 165°, propyl"
秉承,秉承,bǐng chéng,"to take orders, to receive commands, to carry on (a tradition)"
並非,并非,bìng fēi,"really isn't"
併購,并购,bìnggòu,merge into
並列,并列,bìngliè,"appose, collocate, stand side by side, be juxtaposed, juxtapose"
並行,并行,bìng xíng,"to proceed in parallel, side by side (of two processes, developments, thoughts etc)"
病床,病床,bìng chuáng,"hospital bed, sickbed"
病症,病症,bìng zhèng,"disease, illness"
撥,拨,bō,"move with hand/foot/stick/etc., turn, stir, poke"
撥款,拨款,bō kuǎn,"to allocate funds, appropriation"
撥通,拨通,bōtōng,"Dial"
波及,波及,bōjí,"affect, spread to"
波瀾,波澜,bō lán,"billows, great waves (fig. of a story with great momentum)"
波濤,波涛,bō tāo,"great waves, billows"
波折,波折,bō zhé,"twists and turns"
剝奪,剥夺,bō duó,"to deprive, to expropriate, to strip (sb of his property)"
剝削,剥削,bō xuē,"to exploit, exploitation"
伯伯,伯伯,bóbó,"uncle-in-law, father's elder brother, uncle"
伯父,伯父,bó fù,"father's elder brother, term of respect for older man, CL:個|个[ge4]"
伯母,伯母,bó mǔ,"wife of father's elder brother, aunt, (polite form of address for a woman who is about the age of one's mother), CL:個|个[ge4]"
駁回,驳回,bó huí,"to reject, to turn down, to overrule"
脖子,脖子,bózi5,"cervix, neck"
搏鬥,搏斗,bó doù,"to wrestle, to fight, to struggle"
不定,不定,búdìng,"uncertain, indeterminate, indefinite, undetermined"
不見得,不见得,bújiàndé,"not likely, not necessarily/likely, likely, unlikely, not necessarily"
不利於,不利于,bulìyú,"is harmful to"
不慎,不慎,bù shèn,"incautious, inattentive"
不適,不适,búshì,"unwell, indisposed"
不算,不算,busuàn,"Not count"
不像話,不像话,bù xiàng huà,"unreasonable, shocking, outrageous"
不屑,不屑,bù xiè,"to disdain to do sth, to think sth not worth doing, to feel it beneath one's dignity"
不懈,不懈,bù xiè,"untiring, unremitting, indefatigable"
不亞於,不亚于,bù yà yú,"no less than, not inferior to"
不亦樂乎,不亦乐乎,bù yì lè hū,"lit. isn't that a joy? (quote from Confucius), fig. (jocularly) extremely, awfully"
不翼而飛,不翼而飞,bù yì ér fēi,"to disappear without trace, to vanish all of a sudden, to spread fast, to spread like wildfire"
不用說,不用说,bùyòngshuō,"Needless to say"
不正之風,不正之风,bù zhèng zhī fēng,"unhealthy tendency"
補給,补给,bǔ jǐ,"supply, replenishment, to replenish"
補救,补救,bǔ jiù,"to remedy"
捕捉,捕捉,bǔzhuō,"seizure, seize, tackle, capture, snare, nobble, get, catch"
哺育,哺育,bǔ yù,"to feed, to nurture, to foster"
不恥下問,不耻下问,bù chǐ xià wèn,"not feel ashamed to ask and learn from one's subordinates"
不辭而別,不辞而别,bù cí ér bié,"to leave without saying good-bye"
不得而知,不得而知,bù dé ér zhī,"unknown, unable to find out"
不得已,不得已,bù dé yǐ,"to act against one's will, to have no alternative but to, to have to, to have no choice, must"
不妨,不妨,bùfáng,"there is no harm in, might as well"
不服,不服,bù fú,"not to accept sth, to want to have sth overruled or changed, to refuse to obey or comply, to refuse to accept as final, to remain unconvinced by, not to give in to"
不服氣,不服气,bufúqì,"Uncomfortable"
不假思索,不假思索,bù jiǎ sī suǒ,"to act without taking time to think (idiom), to react instantly, to fire from the hip"
不解,不解,bùjiě,not understand
不經意,不经意,bù jīng yì,"not paying attention, carelessly, by accident"
不景氣,不景气,bùjǐngqì,"depressive, in depression, in depressing state, recession"
不堪,不堪,bùkān,can't bear/stand
不可避免,不可避免,bù kě bì miǎn,"unavoidably"
不可思議,不可思议,bù kě sī yì,"inconceivable (idiom), unimaginable, unfathomable"
不肯,不肯,bùkěn,"Refuse"
不理,不理,bù lǐ,"to refuse to acknowledge, to pay no attention to, to take no notice of, to ignore"
不了了之,不了了之,bù liǎo liǎo zhī,"to settle a matter by leaving it unsettled, to end up with nothing definite"
不難,不难,bunán,"Not difficult"
不平,不平,bùpíng,dissatisfaction
不起眼,不起眼,bù qǐ yǎn,"unremarkable, nothing out of the ordinary"
不容,不容,bù róng,"must not, cannot, to not allow, cannot tolerate"
不如說,不如说,burúshuō,"rather say"
不同尋常,不同寻常,butóngxúncháng,"unusual"
不為人知,不为人知,bù wéi rén zhī,"not known to anyone, secret, unknown"
不惜,不惜,bùxí,"not stint, not hesitate (to do sth.)"
不相上下,不相上下,bù xiāng shàng xià,"equally matched, about the same"
不宜,不宜,bùyí,be unsuitable
不已,不已,bùyǐ,"incessantly, endlessly"
不以為然,不以为然,bùyǐwéirán,"disagree, not approve of, acceptable, object to, consider sth. not so, take exception to, right"
不由得,不由得,bù yoú de,"can't help, cannot but"
不由自主,不由自主,bù yoú zì zhǔ,"can't help, involuntarily (idiom)"
不予,不予,bù yú,"to withhold, to refuse"
不約而同,不约而同,bùyuēértóng,"happen to coincide, coincidentally do sth."
不知,不知,bù zhī,"not to know, unaware, unknowingly, fig. not to admit (defeat, hardships, tiredness etc)"
不知不覺,不知不觉,bùzhībùjué,"unconsciously, unaware"
不准,不准,bù zhǔn,"not to allow, to forbid, to prohibit"
佈局,布局,bù jú,"arrangement, composition, layout, opening (chess jargon)"
步伐,步伐,bù fá,"pace, (measured) step, march"
步入,步入,bùrù,"go into, walk into"
步驟,步骤,bùzòu,"process, instance, demarche, method, measure, approach, procedure, place, step, move"
部件,部件,bù jiàn,"part, component"
部署,部署,bùshù,"dispose, deploy"
猜謎,猜谜,cāimèi,"Guess"
猜想,猜想,cāi xiǎng,"to guess, to conjecture, to suppose, to suspect"
才華,才华,cáihuá,"literary talent, artistic talent, literary, literacy, flair, literary/artistic talent"
財經,财经,cáijīng,finance and economics
財力,财力,cáilì,financial resources
財務,财务,cáiwù,"finance, financial affairs, financial"
財物,财物,cái wù,"property, belongings"
財政,财政,cáizhèng,finance
裁,裁,cái,"to cut out (as a dress), to cut, to trim, to reduce, to diminish, to cut back (e.g. on staff), decision, judgment"
裁定,裁定,cái dìng,"ruling"
裁決,裁决,cái jué,"ruling, adjudication"
採,采,cǎi,"pick, gather"
採集,采集,cǎijí,"oyster, collect, gather, pick up and put together"
採礦,采矿,cǎi kuàng,"mining"
彩電,彩电,cǎi diàn,"color TV"
彩虹,彩虹,cǎi hóng,"rainbow, CL:道[dao4]"
彩霞,彩霞,cǎi xiá,"clouds tinged with sunset hues"
菜市場,菜市场,cài shì chǎng,"food market"
參見,参见,cān jiàn,"to refer to, see also, confer (cf.), to pay respect to"
參軍,参军,cān jūn,"to join the army"
參謀,参谋,cān moú,"staff officer, to give advice"
參照,参照,cān zhào,"to consult a reference, to refer to (another document)"
餐桌,餐桌,cān zhuō,"dining table, dinner table"
殘,残,cán,"to destroy, to spoil, to ruin, to injure, cruel, oppressive, savage, brutal, incomplete, disabled, to remain, to survive, remnant, surplus"
殘留,残留,cán liú,"to remain, left over, surplus, remnant"
殘缺,残缺,cán quē,"badly damaged, shattered"
殘忍,残忍,cán rěn,"cruel, mean, merciless, ruthless"
慚愧,惭愧,cán kuì,"ashamed"
慘白,惨白,cǎn bái,"deathly pale"
慘痛,惨痛,cǎn tòng,"bitter, painful, deeply distressed"
慘重,惨重,cǎn zhòng,"disastrous"
燦爛,灿烂,cànlàn,"brilliant, glitter, splendid, resplend, resplendent, magnificent"
蒼蠅,苍蝇,cāng ying,"housefly, CL:隻|只[zhi1]"
滄桑,沧桑,cāng sāng,"great changes, abbr. of 滄海桑田|沧海桑田[cang1 hai3 sang1 tian2]"
艙,舱,cāng,"cabin, the hold of a ship or airplane"
藏匿,藏匿,cáng nì,"to cover up, to conceal, to go into hiding"
藏品,藏品,cáng pǐn,"museum piece, collector's item, precious object"
藏身,藏身,cáng shēn,"to hide, to go into hiding, to take refuge"
操控,操控,cāo kòng,"to control, to manipulate"
操勞,操劳,cāo láo,"to work hard, to look after"
操心,操心,cāo xīn,"to worry about"
槽,槽,cáo,"trough, manger, groove, channel, (Tw) (computing) hard drive"
草案,草案,cǎoàn,"ground plan, plan, blueprint, a protocol, skeleton, a draft plan, a draft, sketch, rough, an outline, draft"
草坪,草坪,cǎopíng,lawn
側面,侧面,cè miàn,"lateral side, side, aspect, profile"
側重,侧重,cè zhòng,"to place particular emphasis on"
測算,测算,cè suàn,"to take measurements and calculate"
測驗,测验,cèyàn,test
層出不窮,层出不穷,céng chū bù qióng,"more and more emerge, innumerable succession, breeding like flies (idiom)"
蹭,蹭,cèng,"to rub against, to walk slowly, to freeload (colloquial)"
差錯,差错,chā cuò,"mistake, slip-up, fault, error (in data transmission), accident, mishap"
差額,差额,chā é,"balance (financial), discrepancy (in a sum or quota), difference"
插手,插手,chā shoǔ,"to get involved in, to meddle, interference"
插圖,插图,chā tú,"illustration"
插嘴,插嘴,chā zuǐ,"to interrupt (sb talking), to butt in, to cut into a conversation"
茶道,茶道,chá dào,"Japanese tea ceremony, sado"
茶館兒,茶馆儿,cháguǎn r,"a teashop"
查處,查处,chá chǔ,"to investigate and handle (a criminal case)"
查明,查明,chá míng,"to investigate and find out, to ascertain"
查找,查找,chá zhǎo,"to search for, to look up"
察覺,察觉,chájué,"realize, be aware"
察看,察看,chá kàn,"to watch, to look carefully at"
詫異,诧异,chà yì,"flabbergasted, astonished"
摻,掺,chān, shǎn,"variant of 攙|搀[chan1], to mix, to grasp"
攙,搀,chān,"to take by the arm and assist, to mix, to blend, to dilute, to adulterate"
饞,馋,chán,"gluttonous, greedy, to have a craving"
禪杖,禅杖,chán zhàng,"the staff of a Buddhist monk"
纏,缠,chán,"to wind around, to wrap round, to coil, tangle, to involve, to bother, to annoy"
產,产,chǎn,"give birth to, be delivered of, produce"
產地,产地,chǎn dì,"the source (of a product), place of origin, manufacturing location"
產物,产物,chǎnwù,"result, development, child, offspring, product, outcome, fruit, progeny, spawn"
產值,产值,chǎn zhí,"value of output, output value"
鏟,铲,chǎn, chǎn,"to shovel, to remove, spade, shovel"
鏟子,铲子,chǎn zi,"shovel, spade, trowel, spatula (kitchen utensil), CL:把[ba3]"
闡述,阐述,chǎn shù,"to expound (a position), to elaborate (on a topic), to treat (a subject)"
顫抖,颤抖,chàn doǔ,"to shudder, to shiver, to shake, to tremble"
猖狂,猖狂,chāng kuáng,"savage, furious"
長達,长达,chángdá,lengthen out to
長期以來,长期以来,cháng qī yǐ lái,"ever since a long time ago"
長效,长效,cháng xiào,"to be effective over an extended period"
長征,长征,Cháng zhēng, cháng zhēng,"Long March (retreat of the Red Army 1934-1935), expedition, long journey"
長足,长足,cháng zú,"remarkable (progress, improvement, expansion etc)"
常理,常理,cháng lǐ,"common sense, conventional reasoning and morals"
常人,常人,cháng rén,"ordinary person"
常態,常态,chángtài,"normal, normalcy, normal conditions, normality, order, conditions, normal behavior/conditions, normal behavior"
常溫,常温,cháng wēn,"room temperature, ordinary temperatures"
償還,偿还,cháng huán,"to repay, to reimburse"
嫦娥,嫦娥,Cháng é,"Chang'e, the lady in the moon (Chinese mythology), one of the Chang'e series of PRC lunar spacecraft"
廠家,厂家,chǎng jiā,"factory, factory owners"
敞開,敞开,chǎng kāi,"to open wide, unrestrictedly"
暢談,畅谈,chàng tán,"to chat, a long talk, verbose, to talk freely to one's heart's content"
暢銷,畅销,chàngxiāo,sell well
倡議,倡议,chàng yì,"to suggest, to initiate, proposal, initiative"
