挨著	挨着	āizhe
參賽	参赛	cān sài
踩	踩	cǎi
參展	参展	cān zhǎn
餐	餐	cān
殘疾	残疾	cánji
殘疾人	残疾人	cánjírén
殘酷	残酷	cánkù
倉庫	仓库	cāngkù
慘	惨	cǎn
藏	藏	cáng
操縱	操纵	cāozòng
側	侧	cè
廁所	厕所	cèsuǒ
測定	测定	cèdìng
策劃	策划	cèhuà
策略	策略	cèlüè
層面	层面	céngmiàn
差異	差异	chāyì
查出	查出	cháchū
查看	查看	chákàn
拆遷	拆迁	chāiqiān
產量	产量	chǎnliàng
昌盛	昌盛	chāngshèng
長假	长假	chángjià
長短	长短	chángduǎn
長跑	长跑	chángpǎo
長遠	长远	chángyuǎn
常規	常规	chángguī
長久	长久	chángjiǔ
常年	常年	chángnián
場地	场地	chǎngdì
廠商	厂商	chǎngshāng
場館	场馆	chǎngguǎn
場景	场景	chǎngjǐng
暢通	畅通	chàngtōng
超出	超出	chāo chū
炒	炒	chǎo
超	超	chāo
炒股	炒股	chǎo gǔ
車號	车号	chēhào
炒作	炒作	chǎozuò
車展	车展	chēzhǎn
車牌	车牌	chēpái
撤銷	撤销	chèxiāo
撤離	撤离	chèlí
撐	撑	chēng
成分	成分	chéngfen
成品	成品	chéngpǐn
承諾	承诺	chéngnuò
城區	城区	chéngqū
城鄉	城乡	chéngxiāng
城鎮	城镇	chéngzhèn
成	成	chéng
衝擊	冲击	chōngjī
持有	持有	chíyǒu
重建	重建	chóngjiàn
寵物	宠物	chǒngwù
崇拜	崇拜	chóngbài
重組	重组	chóngzǔ
沖	冲	chōng
出場	出场	chū chǎng
出動	出动	chūdòng
出訪	出访	chūfǎng
出路	出路	chūlù
出面	出面	chū miàn
出入	出入	chūrù
出事	出事	chū shì
出名	出名	chū míng
出臺	出台	chū tái
初等	初等	chūděng
除	除	chú
出行	出行	chūxíng
廚師	厨师	chúshī
儲存	储存	chǔcún
處處	处处	chùchù
處長	处长	chùzhǎng
傳輸	传输	chuánshū
傳媒	传媒	chuánméi
傳言	传言	chuányán
傳出	传出	chuánchū
船員	船员	chuányuán
船隻	船只	chuánzhī
船長	船长	chuánzhǎng
串	串	chuàn
窗口	窗口	chuāngkǒu
創建	创建	chuàngjiàn
創意	创意	chuàngyì
創辦	创办	chuàngbàn
此處	此处	cǐchù
此前	此前	cǐqián
此次	此次	cǐcì
此事	此事	cǐshì
次數	次数	cìshù
此致	此致	cǐzhì
從不	从不	cóngbù
從沒	从没	cóngméi
醋	醋	cù
村莊	村庄	cūnzhuāng
搭	搭	dā
錯過	错过	cuòguò
搭配	搭配	dāpèi
搭檔	搭档	dādàng
打動	打动	dǎdòng
打斷	打断	dǎ duàn
打牌	打牌	dǎ pái
打發	打发	dǎfa
打官司	打官司	dǎ guānsi
打印機	打印机	dǎyìnjī
大道	大道	dàdào
打造	打造	dǎzào
大街	大街	dàjiē
大米	大米	dàmǐ
大批	大批	dàpī
大賽	大赛	dàsài
大師	大师	dàshī
大力	大力	dàlì
大使	大使	dàshǐ
待會兒	待会儿	dāihuir5
擔憂	担忧	dānyōu
誕生	诞生	dànshēng
單打	单打	dāndǎ
黨	党	dǎng
當	当	dāng
當天	当天	dāngtiān
當成	当成	dàngchéng
檔	档	dàng
當作	当作	dàngzuò
檔案	档案	dàngàn
到期	到期	dào qī
盜版	盗版	dào bǎn
島	岛	dǎo
道教	道教	Dàojiào
道歉	道歉	dào qiàn
低溫	低温	dīwēn
低頭	低头	dī tóu
抵達	抵达	dǐdá
抵抗	抵抗	dǐkàng
地名	地名	dìmíng
地板	地板	dìbǎn
地下室	地下室	dìxiàshì
電動	电动	diàndòng
滴	滴	dī
電車	电车	diànchē
電器	电器	diànqì
電力	电力	diànlì
吊	吊	diào
調研	调研	diàoyán
定價	定价	dìngjià
定時	定时	dìngshí
跌	跌	diē
定位	定位	dìngwèi
鬥爭	斗争	dòuzhēng
動畫	动画	dònghuà
毒品	毒品	dúpǐn
賭	赌	dǔ
賭博	赌博	dǔbó
端	端	duān
都市	都市	dūshì
端午節	端午节	Duānwǔjié
短片	短片	duǎnpiàn
渡	渡	dù
隊伍	队伍	duìwu
對外	对外	duìwài
對抗	对抗	duìkàng
多半	多半	duōbàn
多方面	多方面	duōfāngmiàn
多媒體	多媒体	duōméitǐ
奪	夺	duó
蹲	蹲	dūn
奪取	夺取	duóqǔ
恩人	恩人	ēnrén
兒科	儿科	érkē
發病	发病	fā bìng
發電	发电	fā diàn
發放	发放	fāfàng
發起	发起	fāqǐ
發怒	发怒	fā nù
發言人	发言人	fāyánrén
法庭	法庭	fǎtíng
發炎	发炎	fā yán
番	番	fān
番茄	番茄	fānqié
凡是	凡是	fánshì
法語	法语	Fǎyǔ
繁殖	繁殖	fánzhí
反問	反问	fǎnwèn
反響	反响	fǎnxiǎng
犯規	犯规	fàn guī
犯	犯	fàn
反抗	反抗	fǎnkàng
犯罪	犯罪	fàn zuì
防守	防守	fángshǒu
房價	房价	fángjià
防範	防范	fángfàn
仿佛	仿佛	fǎngfú
飛船	飞船	fēichuán
飛行員	飞行员	fēixíngyuán
肺	肺	fèi
分工	分工	fēn gōng
憤怒	愤怒	fènnù
分裂	分裂	fēnliè
峰會	峰会	fēnghuì
奉獻	奉献	fèngxiàn
風暴	风暴	fēngbào
佛教	佛教	Fójiào
佛	佛	fú
服	服	fú
父女	父女	fùnǚ
父子	父子	fùzǐ
負	负	fù
浮	浮	fú
婦女	妇女	fùnǚ
副	副	fù
復蘇	复苏	fùsū
富人	富人	fùrén
改裝	改装	gǎizhuāng
干涉	干涉	gānshè
肝	肝	gān
富有	富有	fùyǒu
杆	杆	gān
趕不上	赶不上	gǎnbushàng
趕上	赶上	gǎn shàng
趕忙	赶忙	gǎnmáng
剛好	刚好	gānghǎo
感人	感人	gǎnrén
崗位	岗位	gǎngwèi
港口	港口	gǎngkǒu
高層	高层	gāocéng
敢於	敢于	gǎnyú
高檔	高档	gāodàng
高峰	高峰	gāofēng
高等	高等	gāoděng
高考	高考	gāokǎo
高科技	高科技	gāokējì
稿子	稿子	gǎozi
高手	高手	gāoshǒu
歌詞	歌词	gēcí
歌星	歌星	gēxīng
革新	革新	géxīn
工商	工商	gōngshāng
公	公	gōng
更是	更是	gèngshì
公雞	公鸡	gōngjī
公眾	公众	gōngzhòng
公安	公安	gōngān
歌唱	歌唱	gēchàng
攻擊	攻击	gōngjī
供給	供给	gōngjǐ
宮	宫	gōng
公主	公主	gōngzhǔ
鞏固	巩固	gǒnggù
貢獻	贡献	gòngxiàn
孤獨	孤独	gūdú
孤兒	孤儿	gūér
古典	古典	gǔdiǎn
構建	构建	gòujiàn
股	股	gǔ
姑姑	姑姑	gūgu
股票	股票	gǔpiào
故障	故障	gùzhàng
顧	顾	gù
刮	刮	guā
拐	拐	guǎi
關愛	关爱	guānài
關聯	关联	guānlián
觀光	观光	guānguāng
官司	官司	guānsi
管道	管道	guǎndào
廣闊	广阔	guǎngkuò
股東	股东	gǔdōng
光輝	光辉	guānghuī
軌道	轨道	guǐdào
跪	跪	guì
國產	国产	guóchǎn
國會	国会	guóhuì
國旗	国旗	guóqí
國王	国王	guówáng
果醬	果酱	guǒjiàng
果樹	果树	guǒshù
國歌	国歌	guógē
過後	过后	guòhòu
過渡	过渡	guòdù
海報	海报	hǎibào
過時	过时	guò shí
海浪	海浪	hǎilàng
海外	海外	hǎiwài
海底	海底	hǎidǐ
海軍	海军	hǎijūn
海洋	海洋	hǎiyáng
海灣	海湾	hǎiwān
好轉	好转	hǎozhuǎn
好容易	好容易	hǎoróngyi
好學	好学	hàoxué
好似	好似	hǎosì
合約	合约	héyuē
核心	核心	héxīn
黑夜	黑夜	hēiyè
和諧	和谐	héxié
很難說	很难说	hěn nánshuō
橫	横	héng
衡量	衡量	héngliang
狠	狠	hěn
宏大	宏大	hóngdà
洪水	洪水	hóngshuǐ
互動	互动	hùdòng
忽略	忽略	hūlüè
戶外	户外	hùwài
護	护	hù
花瓶	花瓶	huāpíng
花費	花费	huāfei
花生	花生	huāshēng
化解	化解	huàjiě
幻想	幻想	huànxiǎng
壺	壶	hú
患者	患者	huànzhě
回應	回应	huíyìng
皇帝	皇帝	huángdì
會見	会见	huìjiàn
會長	会长	huìzhǎng
毀	毁	huǐ
混	混	hùn
繪畫	绘画	huìhuà
混亂	混乱	hùnluàn
混合	混合	hùnhé
活躍	活跃	huóyuè
火箭	火箭	huǒjiàn
機動車	机动车	jīdòngchē
昏	昏	hūn
機關	机关	jīguān
基督教	基督教	Jīdūjiào
機械	机械	jīxiè
激情	激情	jīqíng
吉祥	吉祥	jíxiáng
極端	极端	jíduān
急救	急救	jíjiù
集	集	jí
疾病	疾病	jíbìng
加盟	加盟	jiāméng
吉利	吉利	jílì
家電	家电	jiādiàn
家園	家园	jiāyuán
嘉賓	嘉宾	jiābīn
給予	给予	jǐyǔ
假日	假日	jiàrì
監督	监督	jiāndū
監測	监测	jiāncè
撿	捡	jiǎn
簡介	简介	jiǎnjiè
劍	剑	jiàn
鑒定	鉴定	jiàndìng
箭	箭	jiàn
將軍	将军	jiāngjūn
講課	讲课	jiǎng kè
醬	酱	jiàng
驕傲	骄傲	jiāoào
醬油	酱油	jiàngyóu
焦點	焦点	jiāodiǎn
尖	尖	jiān
腳印	脚印	jiǎoyìn
教堂	教堂	jiàotáng
教育部	教育部	Jiàoyùbù
接收	接收	jiēshōu
街頭	街头	jiētóu
覺	觉	jué
節	节	jié
節假日	节假日	jiéjiàrì
節能	节能	jié néng
傑出	杰出	jiéchū
揭	揭	jiē
截止	截止	jiézhǐ
解	解	jiě
解說	解说	jiěshuō
截至	截至	jiézhì
界	界	jiè
金額	金额	jīné
節奏	节奏	jiézòu
借鑒	借鉴	jièjiàn
金錢	金钱	jīnqián
儘	尽	jǐn
進攻	进攻	jìngōng
近日	近日	jìnrì
近視	近视	jìnshì
驚人	惊人	jīngrén
精	精	jīng
精美	精美	jīngměi
精品	精品	jīngpǐn
井	井	jǐng
驚喜	惊喜	jīngxǐ
金融	金融	jīnróng
景點	景点	jǐngdiǎn
糾紛	纠纷	jiūfēn
糾正	纠正	jiūzhèng
淨	净	jìng
酒水	酒水	jiǔshuǐ
救命	救命	jiù mìng
救援	救援	jiùyuán
救助	救助	jiùzhù
景	景	jǐng
就算	就算	jiùsuàn
就是說	就是说	jiùshìshuō
據	据	jù
捐	捐	juān
局	局	jú
捐款	捐款	juānkuǎn
捐贈	捐赠	juānzèng
捐助	捐助	juānzhù
劇	剧	jù
決策	决策	juécè
覺悟	觉悟	juéwù
絕	绝	jué
絕大多數	绝大多数	juédàduōshù
軍艦	军舰	jūnjiàn
軍事	军事	jūnshì
軍隊	军队	jūnduì
開關	开关	kāiguān
開創	开创	kāichuàng
開通	开通	kāitong
開設	开设	kāishè
開夜車	开夜车	kāi yèchē
看得見	看得见	kàndéjiàn
開頭	开头	kāitóu
看	看	kàn
看管	看管	kānguǎn
看得起	看得起	kàndeqǐ
看作	看作	kànzuò
康復	康复	kāngfù
看好	看好	kànhǎo
考場	考场	kǎochǎng
抗議	抗议	kàngyì
科研	科研	kēyán
客車	客车	kèchē
考題	考题	kǎotí
空軍	空军	kōngjūn
肯	肯	kěn
口試	口试	kǒushì
扣	扣	kòu
跨	跨	kuà
快車	快车	kuàichē
酷	酷	kù
礦	矿	kuàng
寬闊	宽阔	kuānkuò
闊	阔	kuò
來往	来往	láiwang
賴	赖	lài
啦	啦	la
藍天	蓝天	lántiān
欄目	栏目	lánmù
藍領	蓝领	lánlǐng
牢	牢	láo
老鄉	老乡	lǎoxiāng
冷氣	冷气	lěngqì
冷水	冷水	lěngshuǐ
理財	理财	lǐ cái
禮堂	礼堂	lǐtáng
理	理	lǐ
力	力	lì
理智	理智	lǐzhì
聯盟	联盟	liánméng
利	利	lì
懶	懒	lǎn
聯賽	联赛	liánsài
涼鞋	凉鞋	liángxié
兩側	两侧	liǎngcè
兩手	两手	liǎngshǒu
聊天兒	聊天儿	liáo tiānr5
聊	聊	liáo
聯手	联手	liánshǒu
靈活	灵活	línghuó
裂	裂	liè
料	料	liào
領袖	领袖	lǐngxiù
留言	留言	liúyán
另	另	lìng
流感	流感	liúgǎn
樓道	楼道	lóudào
樓房	楼房	lóufáng
領取	领取	lǐngqǔ
陸軍	陆军	lùjūn
錄像	录像	lùxiàng
露	露	lù
錄音機	录音机	lùyīnjī
旅店	旅店	lǚdiàn
馬車	马车	mǎchē
路過	路过	lùguò
埋	埋	mái
綠化	绿化	lǜhuà
慢車	慢车	mànchē
饅頭	馒头	mántou
盲人	盲人	mángrén
嘛	嘛	ma
梅花	梅花	méihuā
美容	美容	měiróng
猛	猛	měng
蒙	蒙	méng
免得	免得	miǎnde
棉	棉	mián
面對面	面对面	miànduìmiàn
面嚮	面向	miànxiàng
妙	妙	miào
滅	灭	miè
民歌	民歌	míngē
民工	民工	míngōng
民警	民警	mínjǐng
民主	民主	mínzhǔ
名勝	名胜	míngshèng
名額	名额	míngé
民意	民意	mínyì
名譽	名誉	míngyù
名義	名义	míngyì
命	命	mìng
明日	明日	míngrì
磨	磨	mó
沒收	没收	mòshōu
膜	膜	mó
墨水	墨水	mòshuǐ
母	母	mǔ
母雞	母鸡	mǔjī
母女	母女	mǔ-nǚ
墓	墓	mù
拿走	拿走	názǒu
母子	母子	mǔzǐ
奶粉	奶粉	nǎifěn
難忘	难忘	nánwàng
奶牛	奶牛	nǎiniú
內外	内外	nèiwài
內地	内地	nèidì
內衣	内衣	nèiyī
能否	能否	néngfǒu
泥	泥	ní
扭	扭	niǔ
排行榜	排行榜	páihángbǎng
判	判	pàn
派出	派出	pàichū
盼望	盼望	pànwàng
泡	泡	pào
陪同	陪同	péitóng
皮球	皮球	píqiú
配置	配置	pèizhì
偏	偏	piān
貧困	贫困	pínkùn
聘請	聘请	pìnqǐng
炮	炮	pào
品牌	品牌	pǐnpái
平凡	平凡	píngfán
平衡	平衡	pínghéng
評	评	píng
平臺	平台	píngtái
屏幕	屏幕	píngmù
評選	评选	píngxuǎn
撲	扑	pū
平方米	平方米	píngfāngmǐ
鋪	铺	pù
奇妙	奇妙	qímiào
坡	坡	pō
欺負	欺负	qīfu
企圖	企图	qǐtú
氣氛	气氛	qìfēn
恰當	恰当	qiàdàng
恰好	恰好	qiàhǎo
起訴	起诉	qǐsù
恰恰	恰恰	qiàqià
鉛筆	铅笔	qiānbǐ
謙虛	谦虚	qiānxū
牽	牵	qiān
起點	起点	qǐdiǎn
前方	前方	qiánfāng
強盜	强盗	qiángdào
潛力	潜力	qiánlì
前來	前来	qiánlái
強勢	强势	qiángshì
強壯	强壮	qiángzhuàng
巧妙	巧妙	qiǎomiào
橋梁	桥梁	qiáoliáng
強化	强化	qiánghuà
切實	切实	qièshí
侵犯	侵犯	qīnfàn
茄子	茄子	qiézi
親屬	亲属	qīnshǔ
傾向	倾向	qīngxiàng
清	清	qīng
清潔	清洁	qīngjié
清潔工	清洁工	qīngjié gōng
親眼	亲眼	qīnyǎn
清明節	清明节	Qīngmíngjié
情緒	情绪	qíngxù
球拍	球拍	qiúpāi
清洗	清洗	qīngxǐ
球星	球星	qiúxīng
求職	求职	qiúzhí
球員	球员	qiúyuán
渠道	渠道	qúdào
取款	取款	qǔ kuǎn
去掉	去掉	qùdiào
區分	区分	qūfēn
取款機	取款机	qǔkuǎnjī
權	权	quán
全力	全力	quánlì
權力	权力	quánlì
全新	全新	quánxīn
券	券	quàn
缺陷	缺陷	quēxiàn
讓座	让座	ràng zuò
熱點	热点	rèdiǎn
熱水	热水	rèshuǐ
熱水器	热水器	rèshuǐqì
熱線	热线	rèxiàn
人權	人权	rénquán
日夜	日夜	rìyè
卻是	却是	quèshì
認同	认同	rèntóng
融合	融合	rónghé
融入	融入	róngrù
日語	日语	Rìyǔ
如	如	rú
如一	如一	rúyī
乳製品	乳制品	rǔzhìpǐn
入	入	rù
入學	入学	rù xué
若	若	ruò
塞	塞	sāi
賽	赛	sài
賽場	赛场	sàichǎng
三明治	三明治	sānmíngzhì
山峰	山峰	shānfēng
山谷	山谷	shāngǔ
喪失	丧失	sàngshī
傷口	伤口	shāngkǒu
傷亡	伤亡	shāngwáng
山坡	山坡	shānpō
傷員	伤员	shāngyuán
商城	商城	shāngchéng
上市	上市	shàng shì
上當	上当	shàng dàng
上演	上演	shàngyǎn
上帝	上帝	Shàngdì
上臺	上台	shàng tái
勺	勺	sháo
舌頭	舌头	shétou
少兒	少儿	shàoér
設計師	设计师	shèjìshī
深化	深化	shēnhuà
涉及	涉及	shèjí
深深	深深	shēnshēn
審查	审查	shěnchá
升級	升级	shēng jí
升學	升学	shēng xué
生活費	生活费	shēnghuófèi
省錢	省钱	shěngqián
升值	升值	shēngzhí
聖誕節	圣诞节	Shèngdàn Jié
師父	师父	shīfu
盛行	盛行	shèngxíng
時節	时节	shíjié
師生	师生	shī-shēng
時時	时时	shíshí
時期	时期	shíqī
時裝	时装	shízhuāng
時而	时而	shíér
識	识	shí
實踐	实践	shíjiàn
食慾	食欲	shíyù
市民	市民	shìmín
試點	试点	shìdiǎn
適當	适当	shìdàng
事後	事后	shìhòu
收藏	收藏	shōucáng
識字	识字	shí zì
收養	收养	shōuyǎng
手續費	手续费	shǒuxùfèi
收取	收取	shōuqǔ
首	首	shǒu
首腦	首脑	shǒunǎo
首席	首席	shǒuxí
首次	首次	shǒucì
書房	书房	shūfáng
首相	首相	shǒuxiàng
薯片	薯片	shǔpiàn
雙打	双打	shuāngdǎ
爽	爽	shuǎng
水泥	水泥	shuǐní
稅	税	shuì
順	顺	shùn
薯條	薯条	shǔtiáo
說明書	说明书	shuōmíngshū
司長	司长	sīzhǎng
說實話	说实话	shuō shíhuà
死亡	死亡	sǐwáng
四處	四处	sìchù
寺	寺	sì
送禮	送礼	sòng lǐ
送行	送行	sòng xíng
素質	素质	sùzhì
算是	算是	suànshì
雖	虽	suī
算了	算了	suànle
踏實	踏实	tāshi
歲數	岁数	suìshu
塔	塔	tǎ
踏	踏	tà
所	所	suǒ
檯燈	台灯	táidēng
嘆氣	叹气	tàn qì
探索	探索	tànsuǒ
太陽能	太阳能	tàiyángnéng
探討	探讨	tàntǎo
趟	趟	tàng
掏	掏	tāo
特大	特大	tèdà
特地	特地	tèdì
特	特	tè
特快	特快	tèkuài
疼痛	疼痛	téngtòng
特意	特意	tèyì
踢	踢	tī
提交	提交	tíjiāo
提升	提升	tíshēng
天然	天然	tiānrán
天堂	天堂	tiāntáng
田	田	tián
天下	天下	tiānxià
添	添	tiān
田徑	田径	tiánjìng
跳水	跳水	tiàoshuǐ
通報	通报	tōngbào
聽取	听取	tīngqǔ
通道	通道	tōngdào
通紅	通红	tōnghóng
通行	通行	tōngxíng
通話	通话	tōnghuà
同	同	tóng
同胞	同胞	tóngbāo
同期	同期	tóngqī
通訊	通讯	tōngxùn
同行	同行	tóngháng
銅牌	铜牌	tóngpái
同一	同一	tóngyī
頭疼	头疼	tóuténg
投票	投票	tóu piào
圖書	图书	túshu
透露	透露	tòulù
途徑	途径	tújìng
徒弟	徒弟	túdi
土	土	tǔ
團隊	团队	tuánduì
退票	退票	tuìpiào
吞	吞	tūn
推出	推出	tuīchū
托	托	tuō
拖	拖	tuō
拖鞋	拖鞋	tuōxié
挖	挖	wā
娃娃	娃娃	wáwa
外幣	外币	wàibì
外部	外部	wàibù
外出	外出	wàichū
哇	哇	wa
外科	外科	wàikē
外觀	外观	wàiguān
外衣	外衣	wàiyī
外來	外来	wàilái
外資	外资	wàizī
外頭	外头	wàitou
彎曲	弯曲	wānqū
頑皮	顽皮	wánpí
頑強	顽强	wánqiáng
王后	王后	wánghòu
王子	王子	wángzǐ
往後	往后	wǎnghòu
網吧	网吧	wǎngbā
網頁	网页	wǎngyè
往年	往年	wǎngnián
望見	望见	wàngjiàn
危機	危机	wēijī
威脅	威胁	wēixié
往來	往来	wǎnglái
微波爐	微波炉	wēibōlú
維生素	维生素	wéishēngsù
為此	为此	wèicǐ
為何	为何	wèihé
臥鋪	卧铺	wòpù
文娛	文娱	wényú
無邊	无边	wúbiān
烏雲	乌云	wūyún
無關	无关	wúguān
物品	物品	wùpǐn
無效	无效	wúxiào
誤	误	wù
舞蹈	舞蹈	wǔdǎo
西班牙語	西班牙语	Xībānyáyǔ
吸毒	吸毒	xī dú
犧牲	牺牲	xīshēng
洗衣粉	洗衣粉	xǐyīfěn
細胞	细胞	xìbāo
戲曲	戏曲	xìqǔ
細菌	细菌	xìjūn
先鋒	先锋	xiānfēng
嫌	嫌	xián
顯出	显出	xiǎn chū
險	险	xiǎn
陷入	陷入	xiànrù
響聲	响声	xiǎngshēng
線路	线路	xiànlù
想不到	想不到	xiǎngbudào
消耗	消耗	xiāohào
消滅	消灭	xiāomiè
小費	小费	xiǎofèi
小麥	小麦	xiǎomài
小於	小于	xiǎoyú
笑臉	笑脸	xiàoliǎn
曉得	晓得	xiǎode
笑容	笑容	xiàoróng
笑聲	笑声	xiàoshēng
協會	协会	xiéhuì
協商	协商	xiéshāng
協調	协调	xiétiáo
寫字樓	写字楼	xiězìlóu
協助	协助	xiézhù
寫字檯	写字台	xiězìtái
心願	心愿	xīnyuàn
心臟	心脏	xīnzàng
心靈	心灵	xīnlíng
心臟病	心脏病	xīnzàngbìng
新人	新人	xīnrén
新興	新兴	xīnxīng
薪水	薪水	xīnshui
信仰	信仰	xìnyǎng
信用	信用	xìnyòng
行程	行程	xíngchéng
興旺	兴旺	xīngwàng
形	形	xíng
凶手	凶手	xiōngshǒu
袖珍	袖珍	xiùzhēn
修車	修车	xiūchē
凶	凶	xiōng
懸	悬	xuán
旋轉	旋转	xuánzhuǎn
選拔	选拔	xuǎnbá
學會	学会	xué huì
選舉	选举	xuǎnjǔ
學員	学员	xuéyuán
血液	血液	xuèyè
血管	血管	xuèguǎn
壓迫	压迫	yāpò
循環	循环	xúnhuán
煙花	烟花	yānhuā
沿海	沿海	yánhǎi
沿	沿	yán
沿著	沿着	yánzhe
研發	研发	yánfā
眼看	眼看	yǎnkàn
演奏	演奏	yǎnzòu
宴會	宴会	yànhuì
仰	仰	yǎng
洋	洋	yáng
養老	养老	yǎng lǎo
樣	样	yàng
氧氣	氧气	yǎngqì
藥品	药品	yàopǐn
要不然	要不然	yàoburán
要好	要好	yàohǎo
要麼	要么	yàome
要素	要素	yàosù
野	野	yě
野生	野生	yěshēng
醫藥	医药	yīyào
依次	依次	yīcì
依賴	依赖	yīlài
一次性	一次性	yīcìxìng
一道	一道	yīdào
一代	一代	yīdài
一貫	一贯	yīguàn
一路上	一路上	yīlùshàng
儀器	仪器	yíqì
儀式	仪式	yíshì
一番	一番	yì fān
遺憾	遗憾	yíhàn
一模一樣	一模一样	yīmú-yīyàng
一時	一时	yīshí
一同	一同	yītóng
一齊	一齐	yīqí
一行	一行	yīxíng
藝人	艺人	yìrén
議題	议题	yìtí
異常	异常	yìcháng
意想不到	意想不到	yìxiǎngbùdào
意願	意愿	yìyuàn
因素	因素	yīnsù
因	因	yīn
陰謀	阴谋	yīnmóu
音量	音量	yīnliàng
陰影	阴影	yīnyǐng
音像	音像	yīnxiàng
隱私	隐私	yǐnsī
隱藏	隐藏	yǐncáng
印	印	yìn
迎來	迎来	yínglái
英雄	英雄	yīngxióng
影迷	影迷	yǐngmí
影星	影星	yǐngxīng
用處	用处	yòngchu
應急	应急	yìng jí
用法	用法	yòngfǎ
用得著	用得着	yòngdezháo
應對	应对	yìngduì
用心	用心	yòng xīn
優質	优质	yōuzhì
用品	用品	yòngpǐn
遊玩	游玩	yóuwán
遊人	游人	yóurén
遊戲機	游戏机	yóuxìjī
遊行	游行	yóuxíng
有關	有关	yǒuguān
有沒有	有没有	yǒuméiyǒu
有事	有事	yǒushì
於	于	yú
娛樂	娱乐	yúlè
愉快	愉快	yúkuài
與	与	yǔ
宇航員	宇航员	yǔhángyuán
預約	预约	yùyuē
雨衣	雨衣	yǔyī
元素	元素	yuánsù
園	园	yuán
園地	园地	yuándì
原	原	yuán
原告	原告	yuángào
原諒	原谅	yuánliàng
圓珠筆	圆珠笔	yuánzhūbǐ
緣故	缘故	yuángù
援助	援助	yuánzhù
遠遠	远远	yuǎnyuǎn
遠離	远离	yuǎnlí
遠方	远方	yuǎnfāng
暈	晕	yūn
約定	约定	yuēdìng
運作	运作	yùnzuò
樂曲	乐曲	yuèqǔ
允許	允许	yǔnxǔ
暈車	晕车	yùn chē
雜	杂	zá
再生	再生	zàishēng
再說	再说	zàishuō
遭到	遭到	zāodào
遭受	遭受	zāoshòu
遭遇	遭遇	zāoyù
早晚	早晚	zǎowǎn
增進	增进	zēngjìn
扎	扎	zhā
增值	增值	zēngzhí
炸彈	炸弹	zhàdàn
扎實	扎实	zhāshi
炸	炸	zhà
債	债	zhài
炸藥	炸药	zhàyào
占據	占据	zhànjù
戰場	战场	zhànchǎng
戰術	战术	zhànshù
戰略	战略	zhànlüè
戰友	战友	zhànyǒu
章	章	zhāng
站臺	站台	zhàntái
掌聲	掌声	zhǎngshēng
長	长	zhǎng
賬	账	zhàng
賬戶	账户	zhànghù
漲	涨	zhǎng
招	招	zhāo
障礙	障碍	zhàngài
照樣	照样	zhàoyàng
照耀	照耀	zhàoyào
招聘	招聘	zhāopìn
哲學	哲学	zhéxué
這就是說	这就是说	zhèjiùshìshuō
鎮	镇	zhèn
爭奪	争夺	zhēngduó
整頓	整顿	zhěngdùn
正當	正当	zhèngdāng
整治	整治	zhěngzhì
政策	政策	zhèngcè
政權	政权	zhèngquán
癥狀	症状	zhèngzhuàng
政黨	政党	zhèngdǎng
之類	之类	zhīlèi
支援	支援	zhīyuán
支撐	支撑	zhīcheng
知名	知名	zhīmíng
織	织	zhī
枝	枝	zhī
直升機	直升机	zhíshēngjī
