阿拉伯語	阿拉伯语	Ālābóyǔ
錘子	锤子	chuízi
純粹	纯粹	chúncuì
純潔	纯洁	chúnjié
純樸	纯朴	chúnpǔ
醇厚	醇厚	chúnhòu
蠢	蠢	chǔn
戳	戳	chuō
綽號	绰号	chuòhào
瓷	瓷	cí
瓷器	瓷器	cíqì
辭	辞	cí
辭呈	辞呈	cíchéng
辭去	辞去	cíqù
辭退	辞退	cítuì
慈善	慈善	císhàn
慈祥	慈祥	cíxiáng
磁帶	磁带	cídài
磁卡	磁卡	cíkǎ
磁盤	磁盘	cípán
此起彼伏	此起彼伏	cǐqǐ-bǐfú
次日	次日	cìrì
伺候	伺候	cìhou
刺耳	刺耳	cìěr
刺骨	刺骨	cìgǔ
刺繡	刺绣	cìxiù
賜	赐	cì
賜教	赐教	cìjiào
匆匆	匆匆	cōngcōng
匆忙	匆忙	cōngmáng
蔥	葱	cōng
從今以後	从今以后	cóngjīnyǐhòu
從來不	从来不	cóngláibù
從容	从容	cóngróng
從容不迫	从容不迫	cóngróng-bùpò
從頭	从头	cóngtóu
從未	从未	cóngwèi
從業	从业	cóngyè
從早到晚	从早到晚	cóngzǎodàowǎn
叢林	丛林	cónglín
湊	凑	còu
湊合	凑合	còuhe
湊巧	凑巧	còuqiǎo
粗暴	粗暴	cūbào
粗糙	粗糙	cūcāo
粗魯	粗鲁	cūlu
粗略	粗略	cūlüè
粗心大意	粗心大意	cūxīn-dàyì
促成	促成	cùchéng
簇擁	簇拥	cùyōng
竄	窜	cuàn
催	催	cuī
催促	催促	cuīcù
催眠	催眠	cuīmián
摧毀	摧毁	cuīhuǐ
脆弱	脆弱	cuìruò
翠綠	翠绿	cuìlǜ
存放	存放	cúnfàng
存心	存心	cúnxīn
存折	存折	cúnzhé
搓	搓	cuō
磋商	磋商	cuōshāng
挫折	挫折	cuòzhé
措手不及	措手不及	cuòshǒu-bùjí
錯覺	错觉	cuòjué
錯位	错位	cuò wèi
錯綜複雜	错综复杂	cuòzōng-fùzá
錯別字	错别字	cuòbiézì
搭乘	搭乘	dāchéng
搭建	搭建	dājiàn
達標	达标	dábiāo
答辯	答辩	dábiàn
打岔	打岔	dǎ chà
打倒	打倒	dǎ dǎo
打盹兒	打盹儿	dǎ dǔnr5
打交道	打交道	dǎ jiāodao
打攪	打搅	dǎjiǎo
打撈	打捞	dǎlāo
打量	打量	dǎliang
打獵	打猎	dǎ liè
打磨	打磨	dǎmo
打通	打通	dǎ tōng
打仗	打仗	dǎ zhàng
打招呼	打招呼	dǎ zhāohu
大包大攬	大包大揽	dàbāodàlǎn
大筆	大笔	dàbǐ
大臣	大臣	dàchén
大吃一驚	大吃一惊	dàchī-yījīng
大大咧咧	大大咧咧	dàda-liēliē
大地	大地	dàdì
大隊	大队	dàduì
大幅度	大幅度	dàfúdù
大公無私	大公无私	dàgōng-wúsī
大家庭	大家庭	dàjiātíng
大街小巷	大街小巷	dàjiē-xiǎoxiàng
大驚小怪	大惊小怪	dàjīng-xiǎoguài
大局	大局	dàjú
大款	大款	dàkuǎn
大面積	大面积	dàmiànjī
大名鼎鼎	大名鼎鼎	dàmíng-dǐngdǐng
大模大樣	大模大样	dàmú-dàyàng
大棚	大棚	dàpéng
大片	大片	dàpiàn
大氣	大气	dàqì
大廈	大厦	dàshà
大數據	大数据	dàshùjù
大肆	大肆	dàsì
大體	大体	dàtǐ
大體上	大体上	dàtǐshàng
大同小異	大同小异	dàtóng-xiǎoyì
大腕兒	大腕儿	dàwànr5
大選	大选	dàxuǎn
大雁	大雁	dàyàn
大意	大意	dàyi
大有可為	大有可为	dàyǒu-kěwéi
大宗	大宗	dàzōng
歹徒	歹徒	dǎitú
逮	逮	dǎi
代號	代号	dàihào
代理人	代理人	dàilǐrén
代言人	代言人	dàiyánrén
帶隊	带队	dài duì
帶路	带路	dài lù
帶頭	带头	dài tóu
帶頭人	带头人	dàitóurén
待	待	dài
怠工	怠工	dài gōng
怠慢	怠慢	dàimàn
逮捕	逮捕	dàibǔ
擔	担	dān
擔當	担当	dāndāng
擔負	担负	dānfù
單邊	单边	dānbiān
單薄	单薄	dānbó
單方面	单方面	dānfāngmiàn
單身	单身	dānshēn
耽擱	耽搁	dānge
耽誤	耽误	dānwu
膽怯	胆怯	dǎnqiè
膽子	胆子	dǎnzi
但願	但愿	dànyuàn
擔子	担子	dànzi
誕辰	诞辰	dànchén
淡化	淡化	dànhuà
淡季	淡季	dànjì
蛋白質	蛋白质	dànbáizhì
當即	当即	dāngjí
當今	当今	dāngjīn
當面	当面	dāng miàn
當日	当日	dāngrì
當事人	当事人	dāngshìrén
當務之急	当务之急	dāngwùzhījí
當下	当下	dāngxià
當心	当心	dāngxīn
當著	当着	dāngzhe
當之無愧	当之无愧	dāngzhī-wúkuì
當眾	当众	dāngzhòng
當晚	当晚	dàngwǎn
當真	当真	dàngzhēn
蕩漾	荡漾	dàngyàng
檔次	档次	dàngcì
導彈	导弹	dǎodàn
導航	导航	dǎoháng
導火索	导火索	dǎohuǒsuǒ
導師	导师	dǎoshī
導向	导向	dǎoxiàng
島嶼	岛屿	dǎoyǔ
搗亂	捣乱	dǎo luàn
倒賣	倒卖	dǎomài
倒霉	倒霉	dǎo méi
倒塌	倒塌	dǎotā
倒下	倒下	dǎoxià
到頭來	到头来	dàotóulái
到位	到位	dàowèi
倒計時	倒计时	dàojìshí
倒數	倒数	dàoshǔ
盜	盗	dào
盜竊	盗窃	dàoqiè
悼念	悼念	dàoniàn
道具	道具	dàojù
稻草	稻草	dàocǎo
得不償失	得不偿失	débùchángshī
得當	得当	dédàng
得力	得力	dé lì
得失	得失	déshī
得手	得手	dé shǒu
得體	得体	détǐ
得天獨厚	得天独厚	détiān-dúhòu
得益於	得益于	déyìyú
得意揚揚	得意扬扬	déyì-yángyáng
得知	得知	dézhī
得罪	得罪	dézui
德	德	dé
燈籠	灯笼	dēnglong
燈泡	灯泡	dēngpào
登機	登机	dēng jī
登陸	登陆	dēng lù
蹬	蹬	dēng
凳子	凳子	dèngzi
瞪	瞪	dèng
低調	低调	dīdiào
低估	低估	dīgū
低谷	低谷	dīgǔ
低價	低价	dījià
低迷	低迷	dīmí
低碳	低碳	dītàn
低下	低下	dīxià
堤	堤	dī
堤壩	堤坝	dībà
提防	提防	dīfang
笛子	笛子	dízi
抵觸	抵触	dǐchù
抵擋	抵挡	dǐdǎng
抵消	抵消	dǐxiāo
抵押	抵押	dǐyā
抵禦	抵御	dǐyù
抵制	抵制	dǐzhì
底層	底层	dǐcéng
底線	底线	dǐxiàn
底蘊	底蕴	dǐyùn
底子	底子	dǐzi
地步	地步	dìbù
地道	地道	dìdao
地段	地段	dìduàn
地毯	地毯	dìtǎn
地理	地理	dìlǐ
地下水	地下水	dìxiàshuǐ
地獄	地狱	dìyù
地域	地域	dìyù
地質	地质	dìzhì
弟子	弟子	dìzǐ
帝國	帝国	dìguó
帝國主義	帝国主义	dìguózhǔyì
遞交	递交	dìjiāo
第一手	第一手	dìyīshǒu
第一線	第一线	dìyīxiàn
顛倒	颠倒	diāndǎo
顛覆	颠覆	diānfù
巔峰	巅峰	diānfēng
點火	点火	diǎn huǒ
點擊率	点击率	diǎnjīlǜ
典範	典范	diǎnfàn
點評	点评	diǎnpíng
點心	点心	diǎnxin
點綴	点缀	diǎnzhuì
點子	点子	diǎnzi
電報	电报	diànbào
電線	电线	diànxiàn
電網	电网	diànwǎng
電鈴	电铃	diànlíng
電信	电信	diànxìn
電訊	电讯	diànxùn
墊	垫	diàn
墊底	垫底	diàndǐ
墊子	垫子	diànzi
澱粉	淀粉	diànfěn
惦記	惦记	diànji
奠定	奠定	diàndìng
殿堂	殿堂	diàntáng
刁難	刁难	diāonàn
叼	叼	diāo
雕	雕	diāo
雕刻	雕刻	diāokè
雕塑	雕塑	diāosù
吊銷	吊销	diàoxiāo
釣魚	钓鱼	diào yú
調度	调度	diàodù
掉隊	掉队	diào duì
掉頭	掉头	diào tóu
爹	爹	diē
迭起	迭起	diéqǐ
疊	叠	dié
丁	丁	dīng
叮囑	叮嘱	dīngzhǔ
釘子	钉子	dīngzi
盯	盯	dīng
頂多	顶多	dǐngduō
頂級	顶级	dǐngjí
頂尖	顶尖	dǐngjiān
訂單	订单	dìngdān
訂購	订购	dìnggòu
訂婚	订婚	dìng hūn
訂立	订立	dìnglì
釘	钉	dīng
定金	定金	dìngjīn
定居	定居	dìng jū
定論	定论	dìnglùn
定為	定为	dìng wèi
定向	定向	dìngxiàng
定心丸	定心丸	dìngxīnwán
定做	定做	dìngzuò
丟掉	丢掉	diūdiào
定義	定义	dìngyì
丟臉	丢脸	diū liǎn
丟棄	丢弃	diūqì
丟人	丢人	diū rén
丟失	丢失	diūshī
東奔西走	东奔西走	dōngbēnxīzǒu
東道主	东道主	dōngdàozhǔ
東張西望	东张西望	dōngzhāng-xīwàng
董事	董事	dǒngshì
董事會	董事会	dǒngshìhuì
董事長	董事长	dǒngshìzhǎng
懂事	懂事	dǒng shì
動不動	动不动	dòngbudòng
動蕩	动荡	dòngdàng
動感	动感	dònggǎn
動工	动工	dòng gōng
動靜	动静	dòngjing
動脈	动脉	dòngmài
動身	动身	dòng shēn
動彈	动弹	dòngtan
動聽	动听	dòngtīng
動向	动向	dòngxiàng
動用	动用	dòngyòng
凍結	冻结	dòngjié
棟	栋	dòng
棟梁	栋梁	dòngliáng
兜	兜	dōu
兜兒	兜儿	dōur5
兜售	兜售	dōushòu
陡	陡	dǒu
抖	抖	dǒu
鬥	斗	dòu
鬥志	斗志	dòuzhì
豆漿	豆浆	dòujiāng
豆子	豆子	dòuzi
逗	逗	dòu
都會	都会	dūhuì
督促	督促	dūcù
獨	独	dú
獨唱	独唱	dúchàng
獨家	独家	dújiā
獨立自主	独立自主	dúlì-zìzhǔ
獨身	独身	dúshēn
獨一無二	独一无二	dúyī-wúèr
堵塞	堵塞	dǔsè
杜絕	杜绝	dùjué
妒忌	妒忌	dùjì
度	度	dù
度假	度假	dù jià
渡過	渡过	dùguò
端正	端正	duānzhèng
短缺	短缺	duǎnquē
短暫	短暂	duǎnzàn
段落	段落	duànluò
斷斷續續	断断续续	duànduàn-xùxù
斷定	断定	duàndìng
斷裂	断裂	duànliè
堆砌	堆砌	duīqì
隊形	队形	duìxíng
