愛心	爱心	àixīn
趕	赶	gǎn
趕到	赶到	gǎndào
趕快	赶快	gǎnkuài
趕緊	赶紧	gǎnjǐn
敢	敢	gǎn
感冒	感冒	gǎnmào
感受	感受	gǎnshòu
幹嗎	干吗	gànmá
感情	感情	gǎnqíng
高速	高速	gāosù
高速公路	高速公路	gāosùgōnglù
告別	告别	gàobié
歌聲	歌声	gēshēng
歌迷	歌迷	gēmí
歌手	歌手	gēshǒu
各	各	gè
個性	个性	gèxìng
個人	个人	gèrén
各位	各位	gèwèi
各地	各地	gèdì
各種	各种	gèzhǒng
根本	根本	gēnběn
各自	各自	gèzì
更加	更加	gèngjiā
工程師	工程师	gōngchéngshī
工夫	工夫	gōngfu
工具	工具	gōngjù
工業	工业	gōngyè
工廠	工厂	gōngchǎng
工資	工资	gōngzī
公布	公布	gōngbù
公共	公共	gōnggòng
公開	公开	gōngkāi
公務員	公务员	gōngwùyuán
功課	功课	gōngkè
公民	公民	gōngmín
功能	功能	gōngnéng
共同	共同	gòngtóng
功夫	功夫	gōngfu
姑娘	姑娘	gūniang
共有	共有	gòngyǒu
古	古	gǔ
古代	古代	gǔdài
故鄉	故乡	gùxiāng
關係	关系	guānxi
關注	关注	guānzhù
觀察	观察	guānchá
掛	挂	guà
觀看	观看	guānkàn
觀念	观念	guānniàn
管理	管理	guǎnlǐ
觀眾	观众	guānzhòng
光明	光明	guāngmíng
廣播	广播	guǎngbō
管	管	guǎn
光	光	guāng
規定	规定	guīdìng
廣大	广大	guǎngdà
國內	国内	guónèi
規範	规范	guīfàn
國慶	国庆	Guóqìng
果然	果然	guǒrán
果汁	果汁	guǒzhī
過程	过程	guòchéng
哈哈	哈哈	hāha
過去	过去	guò qu
海關	海关	hǎiguān
害怕	害怕	hàipà
好好	好好	hǎohǎo
行	行	xíng
好奇	好奇	hàoqí
合	合	hé
合法	合法	héfǎ
合格	合格	hégé
合理	合理	hélǐ
和平	和平	hépíng
紅茶	红茶	hóngchá
紅酒	红酒	hóngjiǔ
後果	后果	hòuguǒ
後面	后面	hòumian
後年	后年	hòunián
互聯網	互联网	hùliánwǎng
合作	合作	hézuò
划船	划船	huá chuán
互相	互相	hùxiāng
華人	华人	huárén
化	化	huà
話劇	话剧	huàjù
歡樂	欢乐	huānlè
環	环	huán
話題	话题	huàtí
環保	环保	huánbǎo
環境	环境	huánjìng
會議	会议	huìyì
會員	会员	huìyuán
火	火	huǒ
活	活	huó
機器	机器	jīqì
基本	基本	jīběn
積極	积极	jījí
基本上	基本上	jīběnshang
及時	及时	jíshí
基礎	基础	jīchǔ
…極了	…极了	…jíle
集中	集中	jízhōng
集體	集体	jítǐ
計算	计算	jìsuàn
記錄	记录	jìlù
記者	记者	jìzhě
紀念	纪念	jìniàn
技術	技术	jìshù
繼續	继续	jìxù
加工	加工	jiā gōng
加強	加强	jiāqiáng
家具	家具	jiāju
加快	加快	jiākuài
家鄉	家乡	jiāxiāng
紀錄	纪录	jìlù
家屬	家属	jiāshǔ
價格	价格	jiàgé
價錢	价钱	jiàqian
價值	价值	jiàzhí
架	架	jià
堅持	坚持	jiānchí
堅強	坚强	jiānqiáng
簡單	简单	jiǎndān
簡直	简直	jiǎnzhí
堅決	坚决	jiānjué
建	建	jiàn
建成	建成	jiànchéng
建立	建立	jiànlì
建設	建设	jiànshè
將近	将近	jiāngjìn
將來	将来	jiānglái
交費	交费	jiāofèi
建議	建议	jiànyì
交警	交警	jiāojǐng
交流	交流	jiāoliú
交往	交往	jiāowǎng
交易	交易	jiāoyì
教材	教材	jiàocái
教練	教练	jiàoliàn
較	较	jiào
接待	接待	jiēdài
結實	结实	jiēshi
接近	接近	jiējìn
結合	结合	jiéhé
結婚	结婚	jié hūn
叫	叫	jiào
解決	解决	jiějué
結束	结束	jiéshù
解開	解开	jiě kāi
節約	节约	jiéyuē
金	金	jīn
金牌	金牌	jīnpái
盡量	尽量	jǐnliàng
僅	仅	jǐn
僅僅	仅仅	jǐnjǐn
緊張	紧张	jǐnzhāng
緊	紧	jǐn
進步	进步	jìnbù
進一步	进一步	jìnyībù
進展	进展	jìnzhǎn
近期	近期	jìnqī
經濟	经济	jīngjì
京劇	京剧	jīngjù
經驗	经验	jīngyàn
緊急	紧急	jǐnjí
經歷	经历	jīnglì
精神	精神	jīngshen
精彩	精彩	jīngcǎi
經營	经营	jīngyíng
景色	景色	jǐngsè
警察	警察	jǐngchá
靜	静	jìng
久	久	jiǔ
就是	就是	jiùshì
救	救	jiù
就業	就业	jiù yè
舉辦	举办	jǔbàn
舊	旧	jiù
具有	具有	jùyǒu
劇場	剧场	jùchǎng
具體	具体	jùtǐ
決定	决定	juédìng
據說	据说	jùshuō
決賽	决赛	juésài
絕對	绝对	juéduì
咖啡	咖啡	kāfēi
決心	决心	juéxīn
開放	开放	kāifàng
開發	开发	kāifa
開始	开始	kāishǐ
開展	开展	kāizhǎn
開業	开业	kāi yè
看起來	看起来	kànqilai
看上去	看上去	kànshangqu
考驗	考验	kǎoyàn
可靠	可靠	kěkào
科技	科技	kējì
客觀	客观	kèguān
可樂	可乐	kělè
克服	克服	kèfú
空	空	kōng
課程	课程	kèchéng
空調	空调	kōngtiáo
褲子	裤子	kùzi
空兒	空儿	kòngr5
快速	快速	kuàisù
困	困	kùn
困難	困难	kùnnan
恐怕	恐怕	kǒngpà
浪費	浪费	làngfèi
老百姓	老百姓	lǎobǎixìng
老闆	老板	lǎobǎn
老太太	老太太	lǎotàitai
老頭兒	老头儿	lǎotóur5
樂	乐	lè
樂觀	乐观	lèguān
類似	类似	lèisì
離婚	离婚	lí hūn
裡面	里面	lǐmian
類	类	lèi
理髮	理发	lǐ fà
理論	理论	lǐlùn
理由	理由	lǐyóu
理解	理解	lǐjiě
力量	力量	lìliang
力	力	lì
利用	利用	lìyòng
連	连	lián
立刻	立刻	lìkè
連忙	连忙	liánmáng
連續劇	连续剧	liánxùjù
聯合國	联合国	Liánhéguó
連續	连续	liánxù
聯繫	联系	liánxì
聯合	联合	liánhé
涼水	凉水	liángshuǐ
了	了	le
領	领	lǐng
領導	领导	lǐngdǎo
領先	领先	lǐng xiān
另一方面	另一方面	lìngyīfāngmiàn
留學	留学	liú xué
龍	龙	lóng
另外	另外	lìngwài
錄	录	lù
路線	路线	lùxiàn
旅館	旅馆	lǚguǎn
錄音	录音	lùyīn
旅行社	旅行社	lǚxíngshè
綠茶	绿茶	lǜchá
落後	落后	luò hòu
麻煩	麻烦	máfan
滿足	满足	mǎnzú
亂	乱	luàn
慢慢	慢慢	mànmàn
馬	马	mǎ
毛	毛	máo
沒用	没用	méiyòng
毛病	毛病	máobing
每	每	měi
媒體	媒体	méitǐ
美	美	měi
美麗	美丽	měilì
美好	美好	měihǎo
美術	美术	měishù
美元	美元	měiyuán
米	米	mǐ
美食	美食	měishí
面對	面对	miànduì
迷	迷	mí
民間	民间	mínjiān
民族	民族	mínzú
面積	面积	miànjī
明確	明确	míngquè
命運	命运	mìngyùn
明顯	明显	míngxiǎn
某	某	mǒu
母親	母亲	mǔqin
目標	目标	mùbiāo
目前	目前	mùqián
木頭	木头	mùtou
男子	男子	nánzǐ
南部	南部	nánbù
奶茶	奶茶	nǎichá
難道	难道	nándào
難度	难度	nándù
內心	内心	nèixīn
內	内	nèi
內容	内容	nèiróng
能不能	能不能	néng bùnéng
年代	年代	niándài
能力	能力	nénglì
年初	年初	niánchū
年紀	年纪	niánjì
念	念	niàn
年底	年底	niándǐ
農民	农民	nóngmín
牛	牛	niú
農村	农村	nóngcūn
農業	农业	nóngyè
女子	女子	nǚzǐ
暖和	暖和	nuǎnhuo
怕	怕	pà
拍	拍	pāi
排	排	pái
排名	排名	pái míng
牌子	牌子	páizi
派	派	pài
判斷	判断	pànduàn
配合	配合	pèihe
跑步	跑步	pǎo bù
胖	胖	pàng
配	配	pèi
批評	批评	pīpíng
批准	批准	pī zhǔn
皮	皮	pí
啤酒	啤酒	píjiǔ
票價	票价	piàojià
皮包	皮包	píbāo
評價	评价	píngjià
蘋果	苹果	píngguǒ
破壞	破坏	pòhuài
普遍	普遍	pǔbiàn
普及	普及	pǔjí
期	期	qī
破	破	pò
齊	齐	qí
其實	其实	qíshí
其次	其次	qícì
氣候	气候	qìhòu
千萬	千万	qiānwàn
前後	前后	qiánhòu
奇怪	奇怪	qíguài
前進	前进	qiánjìn
前往	前往	qiánwǎng
前面	前面	qiánmian
強	强	qiáng
強大	强大	qiángdà
強調	强调	qiángdiào
強烈	强烈	qiángliè
巧	巧	qiǎo
橋	桥	qiáo
親切	亲切	qīnqiè
親人	亲人	qīnrén
親	亲	qīn
情感	情感	qínggǎn
請教	请教	qǐngjiào
情況	情况	qíngkuàng
親自	亲自	qīnzì
球迷	球迷	qiúmí
取消	取消	qǔxiāo
慶祝	庆祝	qìngzhù
區	区	qū
去世	去世	qùshì
全場	全场	quánchǎng
全面	全面	quánmiàn
全球	全球	quánqiú
區別	区别	qūbié
缺少	缺少	quēshǎo
缺點	缺点	quēdiǎn
缺	缺	quē
確保	确保	quèbǎo
確定	确定	quèdìng
群	群	qún
確實	确实	quèshí
裙子	裙子	qúnzi
熱烈	热烈	rèliè
熱愛	热爱	rèài
人才	人才	réncái
人類	人类	rénlèi
人工	人工	réngōng
人民	人民	rénmín
人民幣	人民币	rénmínbì
人群	人群	rénqún
人生	人生	rénshēng
人員	人员	rényuán
認得	认得	rèn de
認出	认出	rèn chū
認可	认可	rènkě
任	任	rèn
任何	任何	rènhé
仍然	仍然	réngrán
仍	仍	réng
任務	任务	rènwu
日常	日常	rìcháng
如何	如何	rúhé
容易	容易	róngyì
沙發	沙发	shāfā
散步	散步	sàn bù
傷心	伤心	shāng xīn
傷	伤	shāng
商業	商业	shāngyè
商品	商品	shāngpǐn
上面	上面	shàngmian
上去	上去	shàng qu
上來	上来	shàng lai
上升	上升	shàngshēng
沙子	沙子	shāzi
上衣	上衣	shàngyī
設計	设计	shèjì
設備	设备	shèbèi
設立	设立	shèlì
身份證	身份证	shēnfènzhèng
社會	社会	shèhuì
深刻	深刻	shēnkè
深	深	shēn
深入	深入	shēnrù
生產	生产	shēngchǎn
生存	生存	shēngcún
升	升	shēng
生動	生动	shēngdòng
生命	生命	shēngmìng
生意	生意	shēngyi
生長	生长	shēngzhǎng
生	生	shēng
聲明	声明	shēngmíng
勝	胜	shèng
勝利	胜利	shènglì
石頭	石头	shítou
石油	石油	shíyóu
時	时	shí
失去	失去	shīqù
時代	时代	shídài
實際上	实际上	shíjìshang
實行	实行	shíxíng
實力	实力	shílì
時刻	时刻	shíkè
實驗室	实验室	shíyànshì
實驗	实验	shíyàn
食品	食品	shípǐn
始終	始终	shǐzhōng
使	使	shǐ
世紀	世纪	shìjì
世界	世界	shìjiè
市場	市场	shìchǎng
世界杯	世界杯	shìjièbēi
事故	事故	shìgù
事件	事件	shìjiàn
事實	事实	shìshí
事實上	事实上	shìshíshang
事業	事业	shìyè
試驗	试验	shìyàn
試題	试题	shìtí
適合	适合	shìhé
適用	适用	shìyòng
適應	适应	shìyìng
收費	收费	shōu fèi
收看	收看	shōukàn
室	室	shì
收聽	收听	shōutīng
手續	手续	shǒuxù
收音機	收音机	shōuyīnjī
首都	首都	shǒudū
手指	手指	shǒuzhǐ
首先	首先	shǒuxiān
受傷	受伤	shòu shāng
受	受	shòu
輸	输	shū
書架	书架	shūjià
熟人	熟人	shúrén
輸入	输入	shūrù
屬	属	shǔ
束	束	shù
屬於	属于	shǔyú
雙方	双方	shuāngfāng
數量	数量	shùliàng
思想	思想	sīxiǎng
雙	双	shuāng
死	死	sǐ
速度	速度	sùdù
隨	随	suí
所	所	suǒ
颱	台	tái
所長	所长	suǒcháng
談判	谈判	tánpàn
談話	谈话	tánhuà
談	谈	tán
湯	汤	tāng
糖	糖	táng
特色	特色	tèsè
提問	提问	tíwèn
提前	提前	tíqián
體會	体会	tǐhuì
體現	体现	tǐxiàn
題目	题目	tímù
體驗	体验	tǐyàn
天空	天空	tiānkōng
甜	甜	tián
跳	跳	tiào
跳高	跳高	tiàogāo
跳遠	跳远	tiàoyuǎn
調整	调整	tiáozhěng
鐵	铁	tiě
跳舞	跳舞	tiào wǔ
聽眾	听众	tīngzhòng
聽力	听力	tīnglì
通常	通常	tōngcháng
通信	通信	tōngxìn
鐵路	铁路	tiělù
停止	停止	tíngzhǐ
同意	同意	tóngyì
痛苦	痛苦	tòngkǔ
痛	痛	tòng
頭	头	tóu
頭腦	头脑	tóunǎo
突出	突出	tū chū
圖	图	tú
突然	突然	tūrán
圖畫	图画	túhuà
土	土	tǔ
團	团	tuán
團結	团结	tuánjié
團體	团体	tuántǐ
推動	推动	tuī dòng
推廣	推广	tuīguǎng
推進	推进	tuījìn
推開	推开	tuīkāi
退	退	tuì
退出	退出	tuì chū
退休	退休	tuìxiū
外交	外交	wàijiāo
外文	外文	wàiwén
完美	完美	wánměi
外面	外面	wàimian
完整	完整	wánzhěng
完善	完善	wánshàn
玩具	玩具	wánjù
往往	往往	wǎngwǎng
危險	危险	wēixiǎn
危害	危害	wēihài
為	为	wèi
偉大	伟大	wěidà
衛生間	卫生间	wèishēngjiān
衛生	卫生	wèishēng
為了	为了	wèile
溫暖	温暖	wēnnuǎn
圍	围	wéi
文化	文化	wénhuà
文明	文明	wénmíng
文件	文件	wénjiàn
文章	文章	wénzhāng
文學	文学	wénxué
握手	握手	wò shǒu
屋子	屋子	wūzi
武器	武器	wǔqì
武術	武术	wǔshù
文字	文字	wénzì
西部	西部	xībù
舞臺	舞台	wǔtái
下來	下来	xià lai
系	系	xì
希望	希望	xīwàng
下去	下去	xià qu
顯然	显然	xiǎnrán
先進	先进	xiānjìn
顯得	显得	xiǎnde
下面	下面	xiàmian
顯示	显示	xiǎnshì
現場	现场	xiànchǎng
現代	现代	xiàndài
現金	现金	xiànjīn
現實	现实	xiànshí
線	线	xiàn
相當	相当	xiāngdāng
相比	相比	xiāngbǐ
現象	现象	xiànxiàng
相互	相互	xiānghù
相關	相关	xiāngguān
相似	相似	xiāngsì
香	香	xiāng
香蕉	香蕉	xiāngjiāo
消費	消费	xiāofèi
消失	消失	xiāoshī
消息	消息	xiāoxi
寫作	写作	xiězuò
血	血	xuè
效果	效果	xiàoguǒ
心	心	xīn
信封	信封	xìnfēng
行李	行李	xíngli
信任	信任	xìnrèn
形成	形成	xíngchéng
形式	形式	xíngshì
形象	形象	xíngxiàng
形狀	形状	xíngzhuàng
幸福	幸福	xìngfú
幸運	幸运	xìngyùn
信	信	xìn
性	性	xìng
性別	性别	xìngbié
性格	性格	xìnggé
修	修	xiū
修改	修改	xiūgǎi
需求	需求	xūqiú
需要	需要	xūyào
宣布	宣布	xuānbù
宣傳	宣传	xuānchuán
訓練	训练	xùnliàn
選手	选手	xuǎnshǒu
學費	学费	xuéfèi
壓	压	yā
壓力	压力	yālì
煙	烟	yān
演	演	yǎn
眼前	眼前	yǎnqián
演唱	演唱	yǎnchàng
演唱會	演唱会	yǎnchànghuì
演員	演员	yǎnyuán
演出	演出	yǎnchū
羊	羊	yáng
陽光	阳光	yángguāng
要是	要是	yàoshi
一切	一切	yīqiè
衣架	衣架	yījià
以來	以来	yǐlái
已	已	yǐ
一方面	一方面	yīfāngmiàn
藝術	艺术	yìshù
意義	意义	yìyì
意外	意外	yìwài
因此	因此	yīncǐ
銀牌	银牌	yínpái
印象	印象	yìnxiàng
應當	应当	yīngdāng
銀	银	yín
迎接	迎接	yíngjiē
營養	营养	yíngyǎng
影視	影视	yǐngshì
贏	赢	yíng
應用	应用	yìngyòng
優點	优点	yōudiǎn
由	由	yóu
優勢	优势	yōushì
郵件	邮件	yóujiàn
郵票	邮票	yóupiào
由於	由于	yóuyú
郵箱	邮箱	yóuxiāng
遊戲	游戏	yóuxì
游	游	yóu
游泳	游泳	yóuyǒng
有的是	有的是	yǒudeshì
有利	有利	yǒulì
有效	有效	yǒuxiào
預報	预报	yùbào
預防	预防	yùfáng
預計	预计	yùjì
員	员	yuán
員工	员工	yuángōng
願望	愿望	yuànwàng
約	约	yuē
預習	预习	yùxí
樂隊	乐队	yuèduì
運輸	运输	yùnshū
雜誌	杂志	zázhì
早已	早已	zǎoyǐ
造成	造成	zàochéng
責任	责任	zérèn
增加	增加	zēngjiā
造	造	zào
增長	增长	zēngzhǎng
張	张	zhāng
展開	展开	zhǎnkāi
者	者	zhě
真實	真实	zhēnshí
爭取	争取	zhēngqǔ
爭	争	zhēng
照	照	zhào
整	整	zhěng
整理	整理	zhěnglǐ
整個	整个	zhěnggè
整齊	整齐	zhěngqí
整天	整天	zhěngtiān
整整	整整	zhěngzhěng
整體	整体	zhěngtǐ
正式	正式	zhèngshì
正	正	zhèng
證	证	zhèng
證據	证据	zhèngjù
證件	证件	zhèngjiàn
支	支	zhī
支持	支持	zhīchí
支付	支付	zhīfù
證明	证明	zhèngmíng
只	只	zhǐ
直播	直播	zhíbō
直	直	zhí
直到	直到	zhídào
值得	值得	zhí de
值	值	zhí
職工	职工	zhígōng
職業	职业	zhíyè
只好	只好	zhǐhǎo
只有	只有	zhǐyǒu
只是	只是	zhǐshì
指	指	zhǐ
指導	指导	zhǐdǎo
指出	指出	zhǐchū
至少	至少	zhìshǎo
至今	至今	zhìjīn
志願者	志愿者	zhìyuànzhě
制度	制度	zhìdù
制定	制定	zhìdìng
製作	制作	zhìzuò
志願	志愿	zhìyuàn
製造	制造	zhìzào
中部	中部	zhōngbù
中華民族	中华民族	Zhōnghuámínzú
鐘	钟	zhōng
終於	终于	zhōngyú
種	种	zhǒng
種子	种子	zhǒngzi
週圍	周围	zhōuwéi
重大	重大	zhòngdà
豬	猪	zhū
主持	主持	zhǔchí
主動	主动	zhǔdòng
主張	主张	zhǔzhāng
主意	主意	zhǔyi
主任	主任	zhǔrèn
抓	抓	zhuā
祝	祝	zhù
注意	注意	zhù yì
專家	专家	zhuānjiā
專門	专门	zhuānmén
抓住	抓住	zhuā zhù
專題	专题	zhuāntí
專業	专业	zhuānyè
轉	转	zhuǎn
轉變	转变	zhuǎnbiàn
狀況	状况	zhuàngkuàng
狀態	状态	zhuàngtài
準	准	zhǔn
資格	资格	zīge
追	追	zhuī
資金	资金	zījīn
自從	自从	zìcóng
子女	子女	zǐnǚ
自動	自动	zìdòng
自然	自然	zìran
自覺	自觉	zìjué
自身	自身	zìshēn
縂	总	zǒng
自主	自主	zìzhǔ
足夠	足够	zúgòu
總是	总是	zǒngshì
組合	组合	zǔhé
足球	足球	zúqiú
作品	作品	zuòpǐn
左右	左右	zuǒyòu
總結	总结	zǒngjié
做客	做客	zuò kè
作者	作者	zuòzhě
