愛	爱	ài
沒什麼	没什么	méishénme
沒有	没有	méiyou
沒事兒	没事儿	méishìr
妹妹	妹妹	mèimei
門	门	mén
門口	门口	ménkǒu
門票	门票	ménpiào
米飯	米饭	mǐfàn
們	们	men
麵包	面包	miànbāo
麵條兒	面条儿	miàntiáor
名字	名字	míngzi
明白	明白	míngbai
明年	明年	míngnián
明天	明天	míngtiān
哪	哪	nǎ
哪裡	哪里	nǎli
哪兒	哪儿	nǎr
哪些	哪些	nǎxiē
拿	拿	ná
那邊	那边	nàbian
那	那	nà
那裡	那里	nàlǐ
那些	那些	nàxiē
奶	奶	nǎi
那兒	那儿	nàr
奶奶	奶奶	nǎinai
男孩兒	男孩儿	nánháir
男朋友	男朋友	nánpéngyou
男	男	nán
男生	男生	nánshēng
南	南	nán
男人	男人	nánren
南邊	南边	nánbian
呢	呢	ne
難	难	nán
你	你	nǐ
能	能	néng
你們	你们	nǐmen
您	您	nín
牛奶	牛奶	niúnǎi
女	女	nǚ
年	年	nián
女孩兒	女孩儿	nǚháir
女兒	女儿	nǚér
女生	女生	nǚshēng
女朋友	女朋友	nǚpéngyou
旁邊	旁边	pángbiān
跑	跑	pǎo
女人	女人	nǚren
朋友	朋友	péngyou
票	票	piào
七	七	qī
起床	起床	qǐ chuáng
起來	起来	qǐ  lai
起	起	qǐ
汽車	汽车	qìchē
前	前	qián
前邊	前边	qiánbian
錢	钱	qián
錢包	钱包	qiánbāo
請	请	qǐng
前天	前天	qiántiān
請假	请假	qǐng jià
請問	请问	qǐngwèn
請進	请进	qǐngjìn
請坐	请坐	qǐng zuò
球	球	qiú
去年	去年	qùnián
熱	热	rè
人	人	rén
認識	认识	rènshi
認真	认真	rènzhēn
去	去	qù
日	日	rì
日期	日期	rìqī
肉	肉	ròu
山	山	shān
商場	商场	shāngchǎng
上	上	shàng
三	三	sān
商店	商店	shāngdiàn
上班	上班	shàng bān
上車	上车	shàngchē
上課	上课	shàng kè
上網	上网	shàng wǎng
上邊	上边	shàngbian
上學	上学	shàng xué
上午	上午	shàngwǔ
少	少	shǎo
上次	上次	shàngcì
身上	身上	shēnshang
誰	谁	shéi
身體	身体	shēntǐ
生病	生病	shēng bìng
生氣	生气	shēng qì
十	十	shí
時候	时候	shíhou
時間	时间	shíjiān
事	事	shì
試	试	shì
生日	生日	shēngri
是不是	是不是	shìbùshì
是	是	shì
手機	手机	shǒujī
手	手	shǒu
書包	书包	shūbāo
書	书	shū
書店	书店	shūdiàn
樹	树	shù
水	水	shuǐ
水果	水果	shuǐguǒ
睡	睡	shuì
說	说	shuō
說話	说话	shuō huà
睡覺	睡觉	shuì jiào
送	送	sòng
四	四	sì
嵗	岁	suì
他們	他们	tāmen
什麼	什么	shénme
她	她	tā
她們	她们	tāmen
天	天	tiān
他	他	tā
太	太	tài
天氣	天气	tiānqì
聽到	听到	tīngdào
聽見	听见	tīng jian
聽寫	听写	tīngxiě
聽	听	tīng
圖書館	图书馆	túshūguǎn
外	外	wài
外邊	外边	wàibian
同學	同学	tóngxué
外國	外国	wàiguó
玩兒	玩儿	wánr
晚	晚	wǎn
晚飯	晚饭	wǎnfàn
晚上	晚上	wǎnshang
網上	网上	wǎngshàng
網友	网友	wǎngyǒu
外語	外语	wàiyǔ
忘記	忘记	wàngjì
忘	忘	wàng
問	问	wèn
我們	我们	wǒmen
我	我	wǒ
五	五	wǔ
午飯	午饭	wǔfàn
西	西	xī
西邊	西边	xībian
洗	洗	xǐ
洗手間	洗手间	xǐshǒujiān
喜歡	喜欢	xǐhuan
下	下	xià
下班	下班	xià bān
下邊	下边	xiàbian
下車	下车	xiàchē
下次	下次	xiàcì
下課	下课	xià kè
下午	下午	xiàwǔ
下雨	下雨	xiàyǔ
先	先	xiān
先生	先生	xiānsheng
想	想	xiǎng
現在	现在	xiànzài
小	小	xiǎo
小孩兒	小孩儿	xiǎoháir
小姐	小姐	xiǎojiě
小時	小时	xiǎoshí
小朋友	小朋友	xiǎopéngyǒu
小學	小学	xiǎoxué
小學生	小学生	xiǎo xuésheng
笑	笑	xiào
寫	写	xiě
謝謝	谢谢	xièxie
新	新	xīn
新年	新年	xīnnián
星期	星期	xīngqī
星期日	星期日	Xīngqīrì
星期天	星期天	xīngqītiān
行	行	xíng
休息	休息	xiūxi
學生	学生	xuésheng
學	学	xué
學習	学习	xuéxí
學校	学校	xuéxiào
學院	学院	xuéyuàn
要	要	yào
爺爺	爷爷	yéye
頁	页	yè
衣服	衣服	yīfu
也	也	yě
醫生	医生	yīshēng
醫院	医院	yīyuàn
一	一	yī
一會兒	一会儿	yīhuìr
一塊兒	一块儿	yīkuàir
一下兒	一下儿	yīxiàr
一半	一半	yībàn
一邊	一边	yībiān
一點兒	一点儿	yīdiǎnr
一起	一起	yīqǐ
一些	一些	yīxiē
一樣	一样	yīyàng
有的	有的	yǒude
有	有	yǒu
有名	有名	yǒu míng
用	用	yòng
有時候	有时候	yǒushíhou
有些	有些	yǒuxiē
有用	有用	yǒuyòng
右	右	yòu
右邊	右边	yòubian
雨	雨	yǔ
元	元	yuán
遠	远	yuǎn
月	月	yuè
再	再	zài
再見	再见	zàijiàn
在	在	zài
在家	在家	zàijiā
早	早	zǎo
早飯	早饭	zǎofàn
早上	早上	zǎoshang
怎麼	怎么	zěnme
站	站	zhàn
找	找	zhǎo
找到	找到	zhǎodào
這邊	这边	zhèbiān
這	这	zhè
這裡	这里	zhèlǐ
這兒	这儿	zhèr
這些	这些	zhèxiē
著	着	zhe
真	真	zhēn
真的	真的	zhēn de
正	正	zhèng
正在	正在	zhèngzài
知道	知道	zhīdao
知識	知识	zhīshi
中國	中国	Zhōngguó
中	中	zhōng
中間	中间	zhōngjiān
中文	中文	Zhōngwén
中午	中午	zhōngwǔ
中學	中学	zhōngxué
中學生	中学生	zhōngxuéshēng
重	重	zhòng
重要	重要	zhòngyào
住	住	zhù
準備	准备	zhǔnbèi
桌子	桌子	zhuōzi
字	字	zì
子	子	zi
走	走	zǒu
最	最	zuì
走路	走路	zǒu lù
最好	最好	zuìhǎo
最後	最后	zuìhòu
昨天	昨天	zuótiān
左邊	左边	zuǒbian
左	左	zuǒ
坐	坐	zuò
坐下	坐下	zuòxià
做	做	zuò
