过	過	"<span class=""pinYinWrapper""><span class=""t4"">Guò</span></span>, <span class=""pinYinWrapper""><span class=""t4"">guò</span></span>, <span class=""pinYinWrapper""><span class=""t5"">guo</span></span>"	"<span class=""zhuyin"">ㄍㄨㄛˋ</span>, <span class=""zhuyin"">ㄍㄨㄛ˙</span>"	[sound:cmn-过.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">过</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">過</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">Guò</span></span></div><span class=""zhuyin"">ㄍㄨㄛˋ</span><div class=""meaning""><ul><li>surname Guo</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">过</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">過</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">guò</span></span></div><span class=""zhuyin"">ㄍㄨㄛˋ</span><div class=""meaning""><ul><li>to cross</li><li> to go over</li><li> to pass (time)</li><li> to celebrate (a holiday)</li><li> to live</li><li> to get along</li><li> excessively</li><li> too-</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone5"">过</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone5"">過</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t5"">guo</span></span></div><span class=""zhuyin"">ㄍㄨㄛ˙</span><div class=""meaning""><ul><li>(experienced action marker)</li></ul></div>"
得	得	"<span class=""pinYinWrapper""><span class=""t2"">dé</span></span>, <span class=""pinYinWrapper""><span class=""t5"">de</span></span>, <span class=""pinYinWrapper""><span class=""t3"">děi</span></span>"	"<span class=""zhuyin"">ㄉㄜˊ</span>, <span class=""zhuyin"">ㄉㄜ˙</span>, <span class=""zhuyin"">ㄉㄟˇ</span>"	[sound:cmn-得.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">得</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">dé</span></span></div><span class=""zhuyin"">ㄉㄜˊ</span><div class=""meaning""><ul><li>to obtain</li><li> to get</li><li> to gain</li><li> to catch (a disease)</li><li> proper</li><li> suitable</li><li> proud</li><li> contented</li><li> to allow</li><li> to permit</li><li> ready</li><li> finished</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone5"">得</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t5"">de</span></span></div><span class=""zhuyin"">ㄉㄜ˙</span><div class=""meaning""><ul><li>structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">得</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">děi</span></span></div><span class=""zhuyin"">ㄉㄟˇ</span><div class=""meaning""><ul><li>to have to</li><li> must</li><li> ought to</li><li> to need to</li></ul></div>"
公共汽车	公共汽車	"<span class=""pinYinWrapper""><span class=""t1"">gōng</span> <span class=""t4"">gòng</span> <span class=""t4"">qì</span> <span class=""t1"">chē</span></span>"	"<span class=""zhuyin"">ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ</span>"	[sound:cmn-公共汽车.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">公</span><span class=""char-tone4"">共</span><span class=""char-tone4"">汽</span><span class=""char-tone1"">车</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">公</span><span class=""char-tone4"">共</span><span class=""char-tone4"">汽</span><span class=""char-tone1"">車</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">gōng</span> <span class=""t4"">gòng</span> <span class=""t4"">qì</span> <span class=""t1"">chē</span></span></div><span class=""zhuyin"">ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ</span><div class=""meaning""><ul><li>bus</li><li> CL:輛|辆[liang4],班[ban1]</li></ul></div>"
可以	可以	"<span class=""pinYinWrapper""><span class=""t3"">kě</span> <span class=""t3"">yǐ</span></span>"	"<span class=""zhuyin"">ㄎㄜˇ ㄧˇ</span>"	[sound:cmn-可以.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">可</span><span class=""char-tone3"">以</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">kě</span> <span class=""t3"">yǐ</span></span></div><span class=""zhuyin"">ㄎㄜˇ ㄧˇ</span><div class=""meaning""><ul><li>can</li><li> may</li><li> possible</li><li> able to</li><li> not bad</li><li> pretty good</li></ul></div>"
外卖	外賣	"<span class=""pinYinWrapper""><span class=""t4"">wài</span> <span class=""t4"">mài</span></span>"	"<span class=""zhuyin"">ㄨㄞˋ ㄇㄞˋ</span>"	[sound:cmn-外卖.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">外</span><span class=""char-tone4"">卖</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">外</span><span class=""char-tone4"">賣</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">wài</span> <span class=""t4"">mài</span></span></div><span class=""zhuyin"">ㄨㄞˋ ㄇㄞˋ</span><div class=""meaning""><ul><li>to go</li><li> take out (relates to food bought at a restaurant)</li></ul></div>"
如果	如果	"<span class=""pinYinWrapper""><span class=""t2"">rú</span> <span class=""t3"">guǒ</span></span>"	"<span class=""zhuyin"">ㄖㄨˊ ㄍㄨㄛˇ</span>"	[sound:cmn-如果.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">如</span><span class=""char-tone3"">果</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">rú</span> <span class=""t3"">guǒ</span></span></div><span class=""zhuyin"">ㄖㄨˊ ㄍㄨㄛˇ</span><div class=""meaning""><ul><li>if</li><li> in case</li><li> in the event that</li></ul></div>"
只	隻	"<span class=""pinYinWrapper""><span class=""t3"">zhǐ</span></span>, <span class=""pinYinWrapper""><span class=""t1"">zhī</span></span>"	"<span class=""zhuyin"">ㄓˇ</span>, <span class=""zhuyin"">ㄓ</span>"	[sound:cmn-只.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">只</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">隻</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">zhǐ</span></span></div><span class=""zhuyin"">ㄓˇ</span><div class=""meaning""><ul><li>only</li><li> merely</li><li> just</li><li> but</li><li> variant of 只[zhi3]</li><li> grain that has begun to ripen</li><li> variant of 衹|只[zhi3]</li><li> variant of 只[zhi3]</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">只</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">隻</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">zhī</span></span></div><span class=""zhuyin"">ㄓ</span><div class=""meaning""><ul><li>classifier for birds and certain animals, one of a pair, some utensils, vessels etc</li></ul></div>"
但	但	"<span class=""pinYinWrapper""><span class=""t4"">dàn</span></span>"	"<span class=""zhuyin"">ㄉㄢˋ</span>"	[sound:cmn-但.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">但</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">dàn</span></span></div><span class=""zhuyin"">ㄉㄢˋ</span><div class=""meaning""><ul><li>but</li><li> yet</li><li> however</li><li> only</li><li> merely</li><li> still</li></ul></div>"
这样	這樣	"<span class=""pinYinWrapper""><span class=""t4"">zhè</span> <span class=""t4"">yàng</span></span>"	"<span class=""zhuyin"">ㄓㄜˋ ㄧㄤˋ</span>"	[sound:cmn-这样.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">这</span><span class=""char-tone4"">样</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">這</span><span class=""char-tone4"">樣</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">zhè</span> <span class=""t4"">yàng</span></span></div><span class=""zhuyin"">ㄓㄜˋ ㄧㄤˋ</span><div class=""meaning""><ul><li>this kind of</li><li> so</li><li> this way</li><li> like this</li><li> such</li></ul></div>"
因为	因為	"<span class=""pinYinWrapper""><span class=""t1"">yīn</span> <span class=""t4"">wèi</span></span>"	"<span class=""zhuyin"">ㄧㄣ ㄨㄟˋ</span>"	[sound:cmn-因为.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">因</span><span class=""char-tone4"">为</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">因</span><span class=""char-tone4"">為</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">yīn</span> <span class=""t4"">wèi</span></span></div><span class=""zhuyin"">ㄧㄣ ㄨㄟˋ</span><div class=""meaning""><ul><li>because</li><li> owing to</li><li> on account of</li></ul></div>"
自己	自己	"<span class=""pinYinWrapper""><span class=""t4"">zì</span> <span class=""t3"">jǐ</span></span>"	"<span class=""zhuyin"">ㄗˋ ㄐㄧˇ</span>"	[sound:cmn-自己.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">自</span><span class=""char-tone3"">己</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">zì</span> <span class=""t3"">jǐ</span></span></div><span class=""zhuyin"">ㄗˋ ㄐㄧˇ</span><div class=""meaning""><ul><li>oneself</li><li> one's own</li></ul></div>"
但是	但是	"<span class=""pinYinWrapper""><span class=""t4"">dàn</span> <span class=""t4"">shì</span></span>"	"<span class=""zhuyin"">ㄉㄢˋ ㄕˋ</span>"	[sound:cmn-但是.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">但</span><span class=""char-tone4"">是</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">dàn</span> <span class=""t4"">shì</span></span></div><span class=""zhuyin"">ㄉㄢˋ ㄕˋ</span><div class=""meaning""><ul><li>but</li><li> however</li></ul></div>"
多	多	"<span class=""pinYinWrapper""><span class=""t1"">duō</span></span>"	"<span class=""zhuyin"">ㄉㄨㄛ</span>"	[sound:cmn-多.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">多</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">duō</span></span></div><span class=""zhuyin"">ㄉㄨㄛ</span><div class=""meaning""><ul><li>many</li><li> much</li><li> often</li><li> a lot of</li><li> numerous</li><li> more</li><li> in excess</li><li> how (to what extent)</li><li> multi-</li><li> Taiwan pr. [duo2] when it means 'how'</li></ul></div>"
下	下	"<span class=""pinYinWrapper""><span class=""t4"">xià</span></span>"	"<span class=""zhuyin"">ㄒㄧㄚˋ</span>"	[sound:cmn-下.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">下</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">xià</span></span></div><span class=""zhuyin"">ㄒㄧㄚˋ</span><div class=""meaning""><ul><li>down</li><li> downwards</li><li> below</li><li> lower</li><li> later</li><li> next (week etc)</li><li> second (of two parts)</li><li> to decline</li><li> to go down</li><li> to arrive at (a decision, conclusion etc)</li><li> measure word to show the frequency of an action</li></ul></div>"
已经	已經	"<span class=""pinYinWrapper""><span class=""t3"">yǐ</span> <span class=""t1"">jīng</span></span>"	"<span class=""zhuyin"">ㄧˇ ㄐㄧㄥ</span>"	[sound:cmn-已经.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">已</span><span class=""char-tone1"">经</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">已</span><span class=""char-tone1"">經</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">yǐ</span> <span class=""t1"">jīng</span></span></div><span class=""zhuyin"">ㄧˇ ㄐㄧㄥ</span><div class=""meaning""><ul><li>already</li></ul></div>"
为什么	為什麼	"<span class=""pinYinWrapper""><span class=""t4"">wèi</span> <span class=""t2"">shén</span> <span class=""t0"">me</span></span>"	"<span class=""zhuyin"">ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙</span>"	[sound:cmn-为什么.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">为</span><span class=""char-tone2"">什</span><span class=""char-tone0"">么</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">為</span><span class=""char-tone2"">什</span><span class=""char-tone0"">麼</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">wèi</span> <span class=""t2"">shén</span> <span class=""t0"">me</span></span></div><span class=""zhuyin"">ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙</span><div class=""meaning""><ul><li>why?</li><li> for what reason?</li></ul></div>"
像	像	"<span class=""pinYinWrapper""><span class=""t4"">xiàng</span></span>"	"<span class=""zhuyin"">ㄒㄧㄤˋ</span>"	[sound:cmn-像.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">像</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">xiàng</span></span></div><span class=""zhuyin"">ㄒㄧㄤˋ</span><div class=""meaning""><ul><li>to resemble</li><li> to be like</li><li> to look as if</li><li> such as</li><li> appearance</li><li> image</li><li> portrait</li><li> image under a mapping (math.)</li></ul></div>"
这么	這麼	"<span class=""pinYinWrapper""><span class=""t4"">zhè</span> <span class=""t0"">me</span></span>"	"<span class=""zhuyin"">ㄓㄜˋ ㄇㄜ˙</span>"	[sound:cmn-这么.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">这</span><span class=""char-tone0"">么</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">這</span><span class=""char-tone0"">麼</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">zhè</span> <span class=""t0"">me</span></span></div><span class=""zhuyin"">ㄓㄜˋ ㄇㄜ˙</span><div class=""meaning""><ul><li>so much</li><li> this much</li><li> how much?</li><li> this way</li><li> like this</li></ul></div>"
它	它	"<span class=""pinYinWrapper""><span class=""t1"">tā</span></span>"	"<span class=""zhuyin"">ㄊㄚ</span>"	[sound:cmn-它.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">它</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">tā</span></span></div><span class=""zhuyin"">ㄊㄚ</span><div class=""meaning""><ul><li>it</li></ul></div>"
为	爲	"<span class=""pinYinWrapper""><span class=""t2"">wéi</span></span>, <span class=""pinYinWrapper""><span class=""t4"">wèi</span></span>"	"<span class=""zhuyin"">ㄨㄟˊ</span>, <span class=""zhuyin"">ㄨㄟˋ</span>"	[sound:cmn-为.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">为</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone2"">爲</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">wéi</span></span></div><span class=""zhuyin"">ㄨㄟˊ</span><div class=""meaning""><ul><li>as (in the capacity of)</li><li> to take sth as</li><li> to act as</li><li> to serve as</li><li> to behave as</li><li> to become</li><li> to be</li><li> to do</li><li> by (in the passive voice)</li><li> variant of 為|为[wei2]</li><li> as (i.e. in the capacity of)</li><li> to take sth as</li><li> to act as</li><li> to serve as</li><li> to behave as</li><li> to become</li><li> to be</li><li> to do</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">为</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">爲</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">wèi</span></span></div><span class=""zhuyin"">ㄨㄟˋ</span><div class=""meaning""><ul><li>because of</li><li> for</li><li> to</li><li> variant of 為|为[wei4], because of</li><li> for</li><li> to</li></ul></div>"
可能	可能	"<span class=""pinYinWrapper""><span class=""t3"">kě</span> <span class=""t2"">néng</span></span>"	"<span class=""zhuyin"">ㄎㄜˇ ㄋㄥˊ</span>"	[sound:cmn-可能.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">可</span><span class=""char-tone2"">能</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">kě</span> <span class=""t2"">néng</span></span></div><span class=""zhuyin"">ㄎㄜˇ ㄋㄥˊ</span><div class=""meaning""><ul><li>might (happen)</li><li> possible</li><li> probable</li><li> possibility</li><li> probability</li><li> maybe</li><li> perhaps</li><li> CL:個|个[ge4]</li></ul></div>"
那么	那麼	"<span class=""pinYinWrapper""><span class=""t4"">nà</span> <span class=""t0"">me</span></span>"	"<span class=""zhuyin"">ㄋㄚˋ ㄇㄜ˙</span>"	[sound:cmn-那么.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">那</span><span class=""char-tone0"">么</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">那</span><span class=""char-tone0"">麼</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">nà</span> <span class=""t0"">me</span></span></div><span class=""zhuyin"">ㄋㄚˋ ㄇㄜ˙</span><div class=""meaning""><ul><li>like that</li><li> in that way</li><li> or so</li><li> so</li><li> so very much</li><li> about</li><li> in that case</li></ul></div>"
应该	應該	"<span class=""pinYinWrapper""><span class=""t1"">yīng</span> <span class=""t1"">gāi</span></span>"	"<span class=""zhuyin"">ㄧㄥ ㄍㄞ</span>"	[sound:cmn-应该.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">应</span><span class=""char-tone1"">该</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">應</span><span class=""char-tone1"">該</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">yīng</span> <span class=""t1"">gāi</span></span></div><span class=""zhuyin"">ㄧㄥ ㄍㄞ</span><div class=""meaning""><ul><li>ought to</li><li> should</li><li> must</li></ul></div>"
