阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
比試	比试	bǐshi	to have a competition, to measure with one's hand or arm, to make a gesture of measuring
比喻	比喻	bǐyù	metaphor, analogy
鄙視	鄙视	bǐshì	to despise, to disdain, to look down upon
必不可少	必不可少	bìbùkěshǎo	absolutely necessary, indispensable, essential
必定	必定	bìdìng	inevitably, sure, for sure, by all means, needs, necessarily, sure enough, sure as shooting, be sure to, surely, certainly, of necessity, for certain
碧綠	碧绿	bìlǜ	dark green
弊病	弊病	bìbìng	malady, evil, malpractice, drawback, disadvantage
弊端	弊端	bìduān	malpractice, abuse, corrupt practice
避難	避难	bì nàn	refuge, to take refuge, to seek asylum (political etc)
壁畫	壁画	bìhuà	mural (painting), fresco
避暑	避暑	bì shǔ	to be away for the summer holidays, to spend a holiday at a summer resort, to prevent sunstroke
邊界	边界	biānjiè	confine, margin, bounds, marchland, boundary, demarcation line, demarcation, borderline, precinct, skirt, frontier, list, borderland, delimitation, butting, bound, boundary line, perimeter, outskirts, coast, march, line, border, mete, limit, skirting, edge
邊疆	边疆	biānjiāng	border area, borderland, frontier, frontier region
邊遠	边远	biānyuǎn	far from the center, remote, outlying
編劇	编剧	biānjù	to write a play, scenario, dramatist, screenwriter
編號	编号	biānhào	to number, numbering, serial number
編寫	编写	biānxiě	to compile
編造	编造	biānzào	to compile, to draw up, to fabricate, to invent, to concoct, to make up, to cook up
編排	编排	biānpái	to arrange, to lay out
鞭策	鞭策	biāncè	to spur on, to urge on, to encourage sb (e.g. to make progress)
鞭炮	鞭炮	biānpào	firecrackers, string of small firecrackers, CL:枚[mei2]
變革	变革	biàngé	change, revolution
貶值	贬值	biǎn zhí	to become devaluated, to devaluate, to depreciate
變遷	变迁	biànqiān	vicissitudinary, change
變異	变异	biànyì	variation
變幻莫測	变幻莫测	biànhuànmòcè	to change unpredictably, unpredictable, erratic, treacherous
便道	便道	biàndào	pavement, sidewalk, shortcut, makeshift road
變質	变质	biànzhì	to degenerate, to go bad, to deteriorate, metamorphosis
便飯	便饭	biànfàn	an ordinary meal, simple home cooking
便利店	便利店	biànlìdiàn	convenience store
便捷	便捷	biànjié	convenient and fast
辨別	辨别	biànbié	to differentiate, to distinguish, to discriminate
遍布	遍布	biànbù	to cover the whole (area), to be found throughout
辨認	辨认	biànrèn	to recognize, to identify
辯	辩	biàn	to dispute, to debate, to argue, to discuss
辯護	辩护	biànhù	to speak in defense of, to argue in favor of, to defend, to plead
辮子	辫子	biànzi	plait, braid, pigtail, a mistake or shortcoming that may be exploited by an opponent, handle, CL:根[gen1],條|条[tiao2]
辯解	辩解	biànjiě	to explain, to justify, to defend (a point of view etc), to provide an explanation, to try to defend oneself
標榜	标榜	biāobǎng	excessively praise, parade, glorify, advertisement, boast, boost, advertise, flaunt
標	标	biāo	mark, sign, label, to mark with a symbol, label, lettering etc, to bear (a brand name, registration number etc), prize, award, bid, target, quota, (old) the topmost branches of a tree, visible symptom, classifier for military units
標本	标本	biāoběn	example, representative, pattern, specimen, root cause and symptoms of disease, sample, model
標簽	标签	biāoqiān	mark, ticket, gummed label, tab, markup, sticker, label, tally, tag
標示	标示	biāoshì	label
標語	标语	biāoyǔ	written slogan, placard, CL:幅[fu2],張|张[zhang1],條|条[tiao2]
飆升	飙升	biāoshēng	to rise rapidly, to soar
標致	标致	biāozhi	Peugeot, beautiful (of woman), pretty
表白	表白	biǎobái	to explain oneself, to express, to reveal one's thoughts or feelings, declaration, confession
表決	表决	biǎojué	(decide by) vote
表述	表述	biǎoshù	to formulate, enunciation, to explain sth precisely
表率	表率	biǎoshuài	example, model
表彰	表彰	biǎozhāng	to honor, to commend, to cite (in dispatches)
憋	憋	biē	to choke, to stifle, to restrain, to hold back, to hold in (urine), to hold (one's breath)
別具匠心	别具匠心	biéjù-jiàngxīn	Unique
別看	别看	biékàn	Don't look at
表態	表态	biǎo tài	to declare one's position, to say where one stands
別墅	别墅	biéshù	villa
別說	别说	biéshuō	Don't say
別提了	别提了	biétíle	say no more, don't bring it up, drop the subject
別扭	别扭	bièniu	awkward, difficult, uncomfortable, not agreeing, at loggerheads, gauche
別致	别致	biézhì	unusual, unique, variant of 別緻|别致[bie2 zhi4]
彬彬有禮	彬彬有礼	bīnbīn-yǒulǐ	refined and courteous, urbane
繽紛	缤纷	bīnfēn	vast and various, rich and diverse
冰棍兒	冰棍儿	bīnggùnr5	ice lolly, popsicle
濱海	滨海	bīnhǎi	Binhai (place name), Binhai New District, subprovincial district of Tianjin, Binhai county in Yancheng 鹽城|盐城[Yan2 cheng2], Jiangsu, fictitious city Binhai in political satire, coastal, bordering the sea
丙	丙	bǐng	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1], third in order, letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc, ancient Chinese compass point: 165°, propyl
秉承	秉承	bǐngchéng	to take orders, to receive commands, to carry on (a tradition)
冰山	冰山	bīngshān	iceberg, CL:座[zuo4]
併購	并购	bìnggòu	merge into
並列	并列	bìngliè	appose, collocate, stand side by side, be juxtaposed, juxtapose
並非	并非	bìngfēi	really isn't
病床	病床	bìngchuáng	hospital bed, sickbed
並行	并行	bìngxíng	to proceed in parallel, side by side (of two processes, developments, thoughts etc)
撥	拨	bō	move with hand/foot/stick/etc., turn, stir, poke
病癥	病症	bìngzhèng	disease, illness
撥款	拨款	bōkuǎn	to allocate funds, appropriation
波及	波及	bōjí	affect, spread to
撥通	拨通	bōtōng	Dial
波瀾	波澜	bōlán	billows, great waves (fig. of a story with great momentum)
波折	波折	bōzhé	twists and turns
剝奪	剥夺	bōduó	to deprive, to expropriate, to strip (sb of his property)
波濤	波涛	bōtāo	great waves, billows
伯伯	伯伯	bóbo	uncle-in-law, father's elder brother, uncle
剝削	剥削	bōxuē	to exploit, exploitation
伯母	伯母	bómǔ	wife of father's elder brother, aunt, (polite form of address for a woman who is about the age of one's mother), CL:個|个[ge4]
駁回	驳回	bóhuí	to reject, to turn down, to overrule
脖子	脖子	bózi	cervix, neck
伯父	伯父	bófù	father's elder brother, term of respect for older man, CL:個|个[ge4]
搏鬥	搏斗	bódòu	to wrestle, to fight, to struggle
不見得	不见得	bùjiànde	not likely, not necessarily/likely, likely, unlikely, not necessarily
不定	不定	bùdìng	uncertain, indeterminate, indefinite, undetermined
不慎	不慎	bùshèn	incautious, inattentive
不利於	不利于	bù lìyú	is harmful to
不算	不算	bùsuàn	Not count
不像話	不像话	bù xiànghuà	unreasonable, shocking, outrageous
不屑	不屑	bùxiè	to disdain to do sth, to think sth not worth doing, to feel it beneath one's dignity
不適	不适	bùshì	unwell, indisposed
不亞於	不亚于	bùyàyú	no less than, not inferior to
不亦樂乎	不亦乐乎	bùyìlèhū	lit. isn't that a joy? (quote from Confucius), fig. (jocularly) extremely, awfully
不懈	不懈	bùxiè	untiring, unremitting, indefatigable
不翼而飛	不翼而飞	bùyìérfēi	to disappear without trace, to vanish all of a sudden, to spread fast, to spread like wildfire
不正之風	不正之风	bùzhèngzhīfēng	unhealthy tendency
補給	补给	bǔjǐ	supply, replenishment, to replenish
不用說	不用说	bùyòngshuō	Needless to say
捕捉	捕捉	bǔzhuō	seizure, seize, tackle, capture, snare, nobble, get, catch
哺育	哺育	bǔyù	to feed, to nurture, to foster
不恥下問	不耻下问	bùchǐ-xiàwèn	not feel ashamed to ask and learn from one's subordinates
不辭而別	不辞而别	bùcíérbié	to leave without saying good-bye
補救	补救	bǔjiù	to remedy
不得而知	不得而知	bùdéérzhī	unknown, unable to find out
不妨	不妨	bùfáng	there is no harm in, might as well
不得已	不得已	bùdéyǐ	to act against one's will, to have no alternative but to, to have to, to have no choice, must
不服氣	不服气	bùfúqì	Uncomfortable
不假思索	不假思索	bùjiǎ-sīsuǒ	to act without taking time to think (idiom), to react instantly, to fire from the hip
不解	不解	bùjiě	not understand
不經意	不经意	bùjīngyì	not paying attention, carelessly, by accident
不景氣	不景气	bù jǐngqì	depressive, in depression, in depressing state, recession
不堪	不堪	bùkān	can't bear/stand
不服	不服	bùfú	not to accept sth, to want to have sth overruled or changed, to refuse to obey or comply, to refuse to accept as final, to remain unconvinced by, not to give in to
不可思議	不可思议	bùkě-sīyì	inconceivable (idiom), unimaginable, unfathomable
不可避免	不可避免	bùkěbìmiǎn	unavoidably
不肯	不肯	bù kěn	Refuse
不理	不理	bùlǐ	to refuse to acknowledge, to pay no attention to, to take no notice of, to ignore
不了了之	不了了之	bùliǎo-liǎozhī	to settle a matter by leaving it unsettled, to end up with nothing definite
不難	不难	bù nán	Not difficult
不平	不平	bùpíng	dissatisfaction
不起眼	不起眼	bùqǐyǎn	unremarkable, nothing out of the ordinary
不如說	不如说	bùrú shuō	rather say
不同尋常	不同寻常	bùtóngxúncháng	unusual
不為人知	不为人知	bùwéirénzhī	not known to anyone, secret, unknown
不惜	不惜	bùxī	not stint, not hesitate (to do sth.)
不容	不容	bùróng	must not, cannot, to not allow, cannot tolerate
不相上下	不相上下	bùxiāngshàngxià	equally matched, about the same
不已	不已	bùyǐ	incessantly, endlessly
不宜	不宜	bùyí	be unsuitable
不以為然	不以为然	bùyǐwéirán	disagree, not approve of, acceptable, object to, consider sth. not so, take exception to, right
不由自主	不由自主	bùyóu-zìzhǔ	can't help, involuntarily (idiom)
不予	不予	bùyǔ	to withhold, to refuse
不由得	不由得	bùyóude	can't help, cannot but
不約而同	不约而同	bùyuēértóng	happen to coincide, coincidentally do sth.
不知	不知	bùzhī	not to know, unaware, unknowingly, fig. not to admit (defeat, hardships, tiredness etc)
不知不覺	不知不觉	bùzhī-bùjué	unconsciously, unaware
不准	不准	bùzhǔn	not to allow, to forbid, to prohibit
布局	布局	bùjú	arrangement, composition, layout, opening (chess jargon)
步入	步入	bùrù	go into, walk into
步驟	步骤	bùzhòu	process, instance, demarche, method, measure, approach, procedure, place, step, move
部件	部件	bùjiàn	part, component
步伐	步伐	bùfá	pace, (measured) step, march
部署	部署	bùshǔ	dispose, deploy
猜謎	猜谜	cāi mí	Guess
猜想	猜想	cāixiǎng	to guess, to conjecture, to suppose, to suspect
財經	财经	cáijīng	finance and economics
財力	财力	cáilì	financial resources
財務	财务	cáiwù	finance, financial affairs, financial
才華	才华	cáihuá	literary talent, artistic talent, literary, literacy, flair, literary/artistic talent
財政	财政	cáizhèng	finance
裁	裁	cái	to cut out (as a dress), to cut, to trim, to reduce, to diminish, to cut back (e.g. on staff), decision, judgment
財物	财物	cáiwù	property, belongings
裁定	裁定	cáidìng	ruling
採	采	cǎi	pick, gather
裁決	裁决	cáijué	ruling, adjudication
採礦	采矿	cǎi kuàng	mining
彩虹	彩虹	cǎihóng	rainbow, CL:道[dao4]
彩電	彩电	cǎidiàn	color TV
彩霞	彩霞	cǎixiá	clouds tinged with sunset hues
菜市場	菜市场	càishìchǎng	food market
採集	采集	cǎijí	oyster, collect, gather, pick up and put together
參見	参见	cānjiàn	to refer to, see also, confer (cf.), to pay respect to
參謀	参谋	cānmóu	staff officer, to give advice
參軍	参军	cān jūn	to join the army
餐桌	餐桌	cānzhuō	dining table, dinner table
參照	参照	cānzhào	to consult a reference, to refer to (another document)
殘留	残留	cánliú	to remain, left over, surplus, remnant
殘缺	残缺	cánquē	badly damaged, shattered
殘	残	cán	to destroy, to spoil, to ruin, to injure, cruel, oppressive, savage, brutal, incomplete, disabled, to remain, to survive, remnant, surplus
殘忍	残忍	cánrěn	cruel, mean, merciless, ruthless
慚愧	惭愧	cánkuì	ashamed
慘痛	惨痛	cǎntòng	bitter, painful, deeply distressed
慘重	惨重	cǎnzhòng	disastrous
慘白	惨白	cǎnbái	deathly pale
蒼蠅	苍蝇	cāngying	housefly, CL:隻|只[zhi1]
滄桑	沧桑	cāngsāng	great changes, abbr. of 滄海桑田|沧海桑田[cang1 hai3 sang1 tian2]
艙	舱	cāng	cabin, the hold of a ship or airplane
燦爛	灿烂	cànlàn	brilliant, glitter, splendid, resplend, resplendent, magnificent
藏品	藏品	cángpǐn	museum piece, collector's item, precious object
藏匿	藏匿	cángnì	to cover up, to conceal, to go into hiding
藏身	藏身	cángshēn	to hide, to go into hiding, to take refuge
操心	操心	cāo xīn	to worry about
操勞	操劳	cāoláo	to work hard, to look after
操控	操控	cāokòng	to control, to manipulate
槽	槽	cáo	trough, manger, groove, channel, (Tw) (computing) hard drive
草案	草案	cǎoàn	ground plan, plan, blueprint, a protocol, skeleton, a draft plan, a draft, sketch, rough, an outline, draft
草坪	草坪	cǎopíng	lawn
側面	侧面	cèmiàn	lateral side, side, aspect, profile
側重	侧重	cèzhòng	to place particular emphasis on
測算	测算	cèsuàn	to take measurements and calculate
測驗	测验	cèyàn	test
層出不窮	层出不穷	céngchū-bùqióng	more and more emerge, innumerable succession, breeding like flies (idiom)
蹭	蹭	cèng	to rub against, to walk slowly, to freeload (colloquial)
差錯	差错	chācuò	mistake, slip-up, fault, error (in data transmission), accident, mishap
差額	差额	chāé	balance (financial), discrepancy (in a sum or quota), difference
插手	插手	chā shǒu	to get involved in, to meddle, interference
插圖	插图	chātú	illustration
插嘴	插嘴	chā zuǐ	to interrupt (sb talking), to butt in, to cut into a conversation
茶道	茶道	chádào	Japanese tea ceremony, sado
茶館兒	茶馆儿	cháguǎnr5	a teashop
查處	查处	cháchǔ	to investigate and handle (a criminal case)
查明	查明	chámíng	to investigate and find out, to ascertain
查找	查找	cházhǎo	to search for, to look up
察覺	察觉	chájué	realize, be aware
察看	察看	chákàn	to watch, to look carefully at
詫異	诧异	chàyì	flabbergasted, astonished
摻	掺	càn	variant of 攙|搀[chan1], to mix, to grasp
攙	搀	chān	to take by the arm and assist, to mix, to blend, to dilute, to adulterate
饞	馋	chán	gluttonous, greedy, to have a craving
禪杖	禅杖	chánzhàng	the staff of a Buddhist monk
纏	缠	chán	to wind around, to wrap round, to coil, tangle, to involve, to bother, to annoy
產	产	chǎn	give birth to, be delivered of, produce
產地	产地	chǎndì	the source (of a product), place of origin, manufacturing location
產物	产物	chǎnwù	result, development, child, offspring, product, outcome, fruit, progeny, spawn
產值	产值	chǎnzhí	value of output, output value
铲	铲	chǎn	to shovel, to remove, spade, shovel
鏟子	铲子	chǎnzi	shovel, spade, trowel, spatula (kitchen utensil), CL:把[ba3]
闡述	阐述	chǎnshù	to expound (a position), to elaborate (on a topic), to treat (a subject)
顫抖	颤抖	chàndǒu	to shudder, to shiver, to shake, to tremble
猖狂	猖狂	chāngkuáng	savage, furious
長達	长达	chángdá	lengthen out to
長期以來	长期以来	chángqīyǐlái	ever since a long time ago
長效	长效	chángxiào	to be effective over an extended period
長征	长征	chángzhēng	Long March (retreat of the Red Army 1934-1935), expedition, long journey
長足	长足	chángzú	remarkable (progress, improvement, expansion etc)
常理	常理	chánglǐ	common sense, conventional reasoning and morals
常人	常人	chángrén	ordinary person
常態	常态	chángtài	normal, normalcy, normal conditions, normality, order, conditions, normal behavior/conditions, normal behavior
常溫	常温	chángwēn	room temperature, ordinary temperatures
償還	偿还	chánghuán	to repay, to reimburse
嫦娥	嫦娥	Chángé	Chang'e, the lady in the moon (Chinese mythology), one of the Chang'e series of PRC lunar spacecraft
廠家	厂家	chǎngjiā	factory, factory owners
敞開	敞开	chǎng kāi	to open wide, unrestrictedly
暢談	畅谈	chàngtán	to chat, a long talk, verbose, to talk freely to one's heart's content
暢銷	畅销	chàngxiāo	sell well
倡議	倡议	chàngyì	to suggest, to initiate, proposal, initiative
抄襲	抄袭	chāoxí	to plagiarize, to copy, to attack the flank or rear of an enemy
鈔票	钞票	chāopiào	bank note, paper money, bill
超標	超标	chāo biāo	to cross the limit, to be over the accepted norm, excessive
超車	超车	chāo chē	to overtake (another car)
超前	超前	chāoqián	to be ahead of one's time, to surpass or outdo one's predecessors, to be ahead of the pack, to take the lead, advanced
超速	超速	chāosù	to exceed the speed limit, to speed, high-speed
朝代	朝代	cháodài	dynasty, reign (of a king)
朝著	朝着	cháozhe	facing, advancing (towards)
嘲弄	嘲弄	cháonòng	to tease, to poke fun at, to make fun of
嘲笑	嘲笑	cháoxiào	to jeer at, to deride, to ridicule, mockery, derision
吵嘴	吵嘴	chǎo zuǐ	to quarrel
車道	车道	chēdào	traffic lane, driveway
車禍	车祸	chēhuò	smash-up, road accident, traffic accident
車間	车间	chējiān	workshop, CL:個|个[ge4]
車速	车速	chēsù	vehicle speed
車輪	车轮	chēlún	wheel
車位	车位	chēwèi	parking spot, unloading point, garage place, stand for taxi
車廂	车厢	chēxiāng	carriage, CL:節|节[jie2]
車型	车型	chēxíng	Model
車軸	车轴	chēzhóu	axle, CL:根[gen1]
扯	扯	chě	variant of 扯[che3], to pull, to tear
徹夜	彻夜	chèyè	the whole night
撤	撤	chè	to remove, to take away, to withdraw
撤換	撤换	chèhuàn	recall, dismiss and replace
沉甸甸	沉甸甸	chéndiàndiàn	heavy
沉澱	沉淀	chéndiàn	to settle, to precipitate (solid sediment out of a solution)
沉浸	沉浸	chénjìn	to soak, to permeate, to immerse
沉悶	沉闷	chénmèn	oppressive (of weather), heavy, depressed, not happy, (of sound) dull, muffled
沉迷	沉迷	chénmí	to be engrossed, to be absorbed with, to lose oneself in, to be addicted to
沉思	沉思	chénsī	to contemplate, to ponder, contemplation, meditation
沉穩	沉稳	chénwěn	steady, calm, unflustered
