阿姨	ㄚ ㄧˊ
傳統	ㄔㄨㄢˊ ㄊㄨㄥˇ
純	ㄔㄨㄣˊ
純淨水	ㄔㄨㄣˊ ㄐㄧㄥˋ ㄕㄨㄟˇ
窗子	ㄔㄨㄤ ㄗ˙
春季	ㄔㄨㄣ ㄐㄧˋ
詞匯	ㄘˊ ㄏㄨㄟˋ
此	ㄘˇ
此外	ㄘˇ ㄨㄞˋ
次	ㄘˋ
刺激	ㄘˋ ㄐㄧ
刺	ㄘˋ
從此	ㄘㄨㄥˊ ㄘˇ
粗	ㄘㄨ
粗心	ㄘㄨ ㄒㄧㄣ
促銷	ㄘㄨˋ ㄒㄧㄠ
措施	ㄘㄨㄛˋ ㄕ
促使	ㄘㄨˋ ㄕˇ
打	ㄉㄚˇ
促進	ㄘㄨˋ ㄐㄧㄣˋ
答案	ㄉㄚˊ ㄢˋ
打雷	ㄉㄚˇ ㄌㄟˊ
打敗	ㄉㄚˇ ㄅㄞˋ
打掃	ㄉㄚˇ ㄙㄠˇ
打折	ㄉㄚˇ ㄓㄜˊ
打針	ㄉㄚˇ ㄓㄣ
大多	ㄉㄚˋ ㄉㄨㄛ
大巴	ㄉㄚˋ ㄅㄚ
大方	ㄉㄚˋ ㄈㄤ˙
大哥	ㄉㄚˋ ㄍㄜ
大規模	ㄉㄚˋ ㄍㄨㄟ ㄇㄛˊ
大會	ㄉㄚˋ ㄏㄨㄟˋ
大姐	ㄉㄚˋ ㄐㄧㄝˇ
大樓	ㄉㄚˋ ㄌㄡˊ
大媽	ㄉㄚˋ ㄇㄚ
大型	ㄉㄚˋ ㄒㄧㄥˊ
大陸	ㄉㄚˋ ㄌㄨˋ
大眾	ㄉㄚˋ ㄓㄨㄥˋ
大爺	ㄉㄚˋ ㄧㄝ˙
代替	ㄉㄞˋ ㄊㄧˋ
袋	ㄉㄞˋ
待遇	ㄉㄞˋ ㄩˋ
戴	ㄉㄞˋ
擔任	ㄉㄢ ㄖㄣˋ
擔保	ㄉㄢ ㄅㄠˇ
擔心	ㄉㄢ ㄒㄧㄣ
單純	ㄉㄢ ㄔㄨㄣˊ
單	ㄉㄢ
單調	ㄉㄢ ㄉㄧㄠˋ
單獨	ㄉㄢ ㄉㄨˊ
導遊	ㄉㄠˇ ㄧㄡˊ
倒閉	ㄉㄠˇ ㄅㄧˋ
淡	ㄉㄢˋ
倒車	ㄉㄠˇ ㄔㄜ
得意	ㄉㄜˊ ㄧˋ
得	ㄉㄜ˙
導致	ㄉㄠˇ ㄓˋ
燈光	ㄉㄥ ㄍㄨㄤ
登	ㄉㄥ
登記	ㄉㄥ ㄐㄧˋ
登錄	ㄉㄥ ㄌㄨˋ
登山	ㄉㄥ ㄕㄢ
的確	ㄉㄧˊ ㄑㄩㄝˋ
敵人	ㄉㄧˊ ㄖㄣˊ
地方	ㄉㄧˋ ㄈㄤ˙
底	ㄉㄧˇ
地面	ㄉㄧˋ ㄇㄧㄢˋ
地位	ㄉㄧˋ ㄨㄟˋ
地下	ㄉㄧˋ ㄒㄧㄚ˙
地址	ㄉㄧˋ ㄓˇ
典型	ㄉㄧㄢˇ ㄒㄧㄥˊ
點名	ㄉㄧㄢˇ ㄇㄧㄥˊ
電燈	ㄉㄧㄢˋ ㄉㄥ
電動車	ㄉㄧㄢˋ ㄉㄨㄥˋ ㄔㄜ
電梯	ㄉㄧㄢˋ ㄊㄧ
電源	ㄉㄧㄢˋ ㄩㄢˊ
定	ㄉㄧㄥˋ
頂	ㄉㄧㄥˇ
冬季	ㄉㄨㄥ ㄐㄧˋ
動畫片	ㄉㄨㄥˋ ㄏㄨㄚˋ ㄆㄧㄢˋ
豆腐	ㄉㄡˋ ㄈㄨ˙
獨立	ㄉㄨˊ ㄌㄧˋ
動搖	ㄉㄨㄥˋ ㄧㄠˊ
獨自	ㄉㄨˊ ㄗˋ
獨特	ㄉㄨˊ ㄊㄜˋ
堵	ㄉㄨˇ
肚子	ㄉㄨˇ ㄗ˙
堵車	ㄉㄨˇ ㄔㄜ
度過	ㄉㄨˋ ㄍㄨㄛˋ
對比	ㄉㄨㄟˋ ㄅㄧˇ
鍛煉	ㄉㄨㄢˋ ㄌㄧㄢˋ
多次	ㄉㄨㄛ ㄘˋ
對於	ㄉㄨㄟˋ ㄩˊ
對付	ㄉㄨㄟˋ ㄈㄨ˙
多年	ㄉㄨㄛ ㄋㄧㄢˊ
多種	ㄉㄨㄛ ㄓㄨㄥˇ
而	ㄦˊ
惡心	ㄜˇ ㄒㄧㄣ˙
兒童	ㄦˊ ㄊㄨㄥˊ
多樣	ㄉㄨㄛ ㄧㄤˋ
而是	ㄦˊ ㄕˋ
二手	ㄦˋ ㄕㄡˇ
耳機	ㄦˇ ㄐㄧ
發揮	ㄈㄚ ㄏㄨㄟ
發票	ㄈㄚ ㄆㄧㄠˋ
發燒	ㄈㄚ ㄕㄠ
法	ㄈㄚˇ
法官	ㄈㄚˇ ㄍㄨㄢ
法律	ㄈㄚˇ ㄌㄩˋ
法院	ㄈㄚˇ ㄩㄢˋ
翻譯	ㄈㄢ ㄧˋ
煩	ㄈㄢˊ
翻	ㄈㄢ
反而	ㄈㄚˇ ㄋㄜˊ ㄦ˙
反映	ㄈㄢˇ ㄧㄥˋ
反	ㄈㄢˇ
方案	ㄈㄢ ㄍㄢˋ
方	ㄈㄤ
方針	ㄈㄤ ㄓㄣ
非	ㄈㄟ
放鬆	ㄈㄤˋ ㄙㄨㄥ
肥	ㄈㄟˊ
分布	ㄈㄣ ㄅㄨˋ
分手	ㄈㄣ ㄕㄡˇ
分為	ㄈㄣ ㄨㄟˊ
…分之…	ㄈㄣ ㄓ
奮鬥	ㄈㄣˋ ㄉㄡˋ
風格	ㄈㄥ ㄍㄜˊ
分散	ㄈㄣ ㄙㄢˋ
風景	ㄈㄥ ㄐㄧㄥˇ
紛紛	ㄈㄣ ㄈㄣ
封閉	ㄈㄥ ㄅㄧˋ
否則	ㄈㄡˇ ㄗㄜˊ
風俗	ㄈㄥ ㄙㄨˊ
夫妻	ㄈㄨ ㄑㄧ
夫人	ㄈㄨ ㄖㄣ˙
夫婦	ㄈㄨ ㄈㄨˋ
符合	ㄈㄨˊ ㄏㄜˊ
付出	ㄈㄨˋ ㄔㄨ
符號	ㄈㄨˊ ㄏㄠˋ
附近	ㄈㄨˋ ㄐㄧㄣˋ
負擔	ㄈㄨˋ ㄉㄢ
複製	ㄈㄨˋ ㄓˋ
改善	ㄍㄞˇ ㄕㄢˋ
改正	ㄍㄞˇ ㄓㄥˋ
概括	ㄍㄞˋ ㄎㄨㄛˋ
感興趣	ㄍㄢˇ ㄒㄧㄥˋ ㄑㄩˋ
高潮	ㄍㄠ ㄔㄠˊ
蓋	ㄍㄞˋ
高價	ㄍㄠ ㄐㄧㄚˋ
格外	ㄍㄜˊ ㄨㄞˋ
高鐵	ㄍㄠ ㄊㄧㄝˇ
高尚	ㄍㄠ ㄕㄤˋ
隔	ㄍㄜˊ
隔開	ㄍㄜˊ ㄎㄞ
個別	ㄍㄜˋ ㄅㄧㄝˊ
各個	ㄍㄜˋ ㄍㄜˋ
個體	ㄍㄜˋ ㄊㄧˇ
根	ㄍㄣ
根據	ㄍㄣ ㄐㄩˋ
工程	ㄍㄨㄥ ㄔㄥˊ
供應	ㄍㄨㄥ ㄧㄥˋ
共	ㄍㄨㄥˋ
構成	ㄍㄡˋ ㄔㄥˊ
公元	ㄍㄨㄥ ㄩㄢˊ
構造	ㄍㄡˋ ㄗㄠˋ
購物	ㄍㄡˋ ㄨˋ
購買	ㄍㄡˋ ㄇㄞˇ
骨頭	ㄍㄨˇ ㄊㄡ˙
固定	ㄍㄨˋ ㄉㄧㄥˋ
怪	ㄍㄨㄞˋ
關	ㄍㄨㄢ
關閉	ㄍㄨㄢ ㄅㄧˋ
官方	ㄍㄨㄢ ㄈㄤ
官	ㄍㄨㄢ
光臨	ㄍㄨㄤ ㄌㄧㄣˊ
關於	ㄍㄨㄢ ㄩˊ
歸	ㄍㄨㄟ
逛	ㄍㄨㄤˋ
光盤	ㄍㄨㄤ ㄆㄢˊ
瓜	ㄍㄨㄚ
規律	ㄍㄨㄟ ㄌㄩˋ
規則	ㄍㄨㄟ ㄗㄜˊ
果實	ㄍㄨㄛˇ ㄕˊ
海水	ㄏㄞˇ ㄕㄨㄟˇ
過分	ㄍㄨㄛˋ ㄈㄣˋ
海鮮	ㄏㄞˇ ㄒㄧㄢ
含	ㄏㄢˊ
規模	ㄍㄨㄟ ㄇㄛˊ
含量	ㄏㄢˊ ㄌㄧㄤˋ
含有	ㄏㄢˊ ㄧㄡˇ
含義	ㄏㄢˊ ㄧˋ
寒假	ㄏㄢˊ ㄐㄧㄚˋ
寒冷	ㄏㄢˊ ㄌㄥˇ
航班	ㄏㄤˊ ㄅㄢ
航空	ㄏㄤˊ ㄎㄨㄥ
毫米	ㄏㄠˊ ㄇㄧˇ
行業	ㄏㄤˊ ㄧㄝˋ
好友	ㄏㄠˇ ㄧㄡˇ
毫升	ㄏㄠˊ ㄕㄥ
好	ㄏㄠˇ
號碼	ㄏㄠˋ ㄇㄚˇ
黑暗	ㄏㄟ ㄢˋ
合同	ㄏㄜˊ ㄊㄨㄥ˙
紅包	ㄏㄨㄥˊ ㄅㄠ
厚	ㄏㄡˋ
後頭	ㄏㄡˋ ㄊㄡ˙
忽視	ㄏㄨ ㄕˋ
戶	ㄏㄨˋ
呼吸	ㄏㄨ ㄒㄧ
花	ㄏㄨㄚ
護士	ㄏㄨˋ ㄕ˙
懷念	ㄏㄨㄞˊ ㄋㄧㄢˋ
劃	ㄏㄨㄚˋ
懷疑	ㄏㄨㄞˊ ㄧˊ
黃瓜	ㄏㄨㄤˊ ㄍㄨㄚ˙
緩解	ㄏㄨㄢˇ ㄐㄧㄝˇ
黃金	ㄏㄨㄤˊ ㄐㄧㄣ
回復	ㄏㄨㄟˊ ㄈㄨˋ
匯	ㄏㄨㄟˋ
彙報	ㄏㄨㄟˋ ㄅㄠˋ
婚禮	ㄏㄨㄣ ㄌㄧˇ
匯率	ㄏㄨㄟˋ ㄌㄩˋ
伙	ㄏㄨㄛˇ
火	ㄏㄨㄛˇ
或許	ㄏㄨㄛˋ ㄒㄩˇ
伙伴	ㄏㄨㄛˇ ㄅㄢˋ
獲	ㄏㄨㄛˋ
獲得	ㄏㄨㄛˋ ㄉㄜˊ
獲獎	ㄏㄨㄛˋ ㄐㄧㄤˇ
獲取	ㄏㄨㄛˋ ㄑㄩˇ
機構	ㄐㄧ ㄍㄡˋ
貨	ㄏㄨㄛˋ
幾乎	ㄐㄧ ㄏㄨ
積累	ㄐㄧ ㄌㄟˇ
激動	ㄐㄧ ㄉㄨㄥˋ
激烈	ㄐㄧ ㄌㄧㄝˋ
及格	ㄐㄧˊ ㄍㄜˊ
極	ㄐㄧˊ
機遇	ㄐㄧ ㄩˋ
即將	ㄐㄧˊ ㄐㄧㄤ
急忙	ㄐㄧˊ ㄇㄤˊ
記載	ㄐㄧˋ ㄗㄞˇ
極其	ㄐㄧˊ ㄑㄧˊ
技巧	ㄐㄧˋ ㄑㄧㄠˇ
集合	ㄐㄧˊ ㄏㄜˊ
紀律	ㄐㄧˋ ㄌㄩˋ
系	ㄒㄧˋ
季	ㄐㄧˋ
季度	ㄐㄧˋ ㄉㄨˋ
既	ㄐㄧˋ
既然	ㄐㄧˋ ㄖㄢˊ
加班	ㄐㄧㄚ ㄅㄢ
季節	ㄐㄧˋ ㄐㄧㄝˊ
寄	ㄐㄧˋ
加入	ㄐㄧㄚ ㄖㄨˋ
家務	ㄐㄧㄚ ㄨˋ
加油站	ㄐㄧㄚ ㄧㄡˊ ㄓㄢˋ
假如	ㄐㄧㄚˇ ㄖㄨˊ
檢測	ㄐㄧㄢˇ ㄘㄜˋ
減肥	ㄐㄧㄢˇ ㄈㄟˊ
減少	ㄐㄧㄢˇ ㄕㄠˇ
堅固	ㄐㄧㄢ ㄍㄨˋ
減	ㄐㄧㄢˇ
簡歷	ㄐㄧㄢˇ ㄌㄧˋ
健身	ㄐㄧㄢˋ ㄕㄣ
講究	ㄐㄧㄤˇ ㄐㄧㄡ˙
漸漸	ㄐㄧㄢˋ ㄐㄧㄢˋ
江	ㄐㄧㄤ
講座	ㄐㄧㄤˇ ㄗㄨㄛˋ
獎	ㄐㄧㄤˇ
獎金	ㄐㄧㄤˇ ㄐㄧㄣ
獎學金	ㄐㄧㄤˇ ㄒㄩㄝˊ ㄐㄧㄣ
降價	ㄐㄧㄤˋ ㄐㄧㄚˋ
降	ㄐㄧㄤˋ
降低	ㄐㄧㄤˋ ㄉㄧ
降落	ㄐㄧㄤˋ ㄌㄨㄛˋ
交換	ㄐㄧㄠ ㄏㄨㄢˋ
交際	ㄐㄧㄠ ㄐㄧˋ
教授	ㄐㄧㄠˋ ㄕㄡˋ
教訓	ㄐㄧㄠˋ ㄒㄩㄣ˙
階段	ㄐㄧㄝ ㄉㄨㄢˋ
街道	ㄐㄧㄝ ㄉㄠˋ
節省	ㄐㄧㄝˊ ㄕㄥˇ
結構	ㄐㄧㄝˊ ㄍㄡˋ
結	ㄐㄧㄝˊ
降溫	ㄐㄧㄤˋ ㄨㄣ
姐妹	ㄐㄧㄝˇ ㄇㄟˋ
結論	ㄐㄧㄝˊ ㄌㄨㄣˋ
解釋	ㄐㄧㄝˇ ㄕˋ
儘快	ㄐㄧㄣˇ ㄎㄨㄞˋ
盡力	ㄐㄧㄣˋ ㄌㄧˋ
進口	ㄐㄧㄣˋ ㄎㄡˇ
禁止	ㄐㄧㄣˋ ㄓˇ
緊密	ㄐㄧㄣˇ ㄇㄧˋ
近代	ㄐㄧㄣˋ ㄉㄞˋ
經典	ㄐㄧㄥ ㄉㄧㄢˇ
竟然	ㄐㄧㄥˋ ㄖㄢˊ
鏡頭	ㄐㄧㄥˋ ㄊㄡˊ
精力	ㄐㄧㄥ ㄌㄧˋ
鏡子	ㄐㄧㄥˋ ㄗ˙
酒吧	ㄐㄧㄡˇ ㄅㄚ
究竟	ㄐㄧㄡ ㄐㄧㄥˋ
居民	ㄐㄩ ㄇㄧㄣˊ
局	ㄐㄩˊ
居住	ㄐㄩ ㄓㄨˋ
距離	ㄐㄩˋ ㄌㄧˊ
巨大	ㄐㄩˋ ㄉㄚˋ
聚會	ㄐㄩˋ ㄏㄨㄟˋ
聚	ㄐㄩˋ
具備	ㄐㄩˋ ㄅㄟˋ
角色	ㄐㄩㄝˊ ㄙㄜˋ
開花	ㄎㄞ ㄏㄨㄚ
捲	ㄐㄩㄢˇ
開水	ㄎㄞ ㄕㄨㄟˇ
看來	ㄎㄢˋ ㄌㄞ˙
看不起	ㄎㄢˋ ㄅㄨ˙ ㄑㄧˇ
看望	ㄎㄢˋ ㄨㄤ˙
考察	ㄎㄠˇ ㄔㄚˊ
考慮	ㄎㄠˇ ㄌㄩˋ
可見	ㄎㄜˇ ㄐㄧㄢˋ
空間	ㄎㄨㄥ ㄐㄧㄢ
空	ㄎㄨㄥ
棵	ㄎㄜ
口袋	ㄎㄡˇ ㄉㄞ˙
苦	ㄎㄨˇ
口語	ㄎㄡˇ ㄩˇ
快遞	ㄎㄨㄞˋ ㄉㄧˋ
寬廣	ㄎㄨㄢ ㄍㄨㄤˇ
礦泉水	ㄎㄨㄤˋ ㄑㄩㄢˊ ㄕㄨㄟˇ
會計	ㄎㄨㄞˋ ㄐㄧ˙
擴大	ㄎㄨㄛˋ ㄉㄚˋ
擴展	ㄎㄨㄛˋ ㄓㄢˇ
寬	ㄎㄨㄢ
垃圾	ㄌㄚ ㄐㄧ
括號	ㄎㄨㄛˋ ㄏㄠˋ
拉開	ㄌㄚ ㄎㄞ˙
來不及	ㄌㄞˊ ㄅㄨ˙ ㄐㄧˊ
辣	ㄌㄚˋ
來得及	ㄌㄞˊ ㄉㄜ˙ ㄐㄧˊ
來源	ㄌㄞˊ ㄩㄢˊ
老家	ㄌㄠˇ ㄐㄧㄚ
老婆	ㄌㄠˇ ㄆㄛ˙
老公	ㄌㄠˇ ㄍㄨㄥ˙
老實	ㄌㄠˇ ㄕ˙
淚	ㄌㄟˋ
淚水	ㄌㄟˋ ㄕㄨㄟˇ
樂趣	ㄌㄜˋ ㄑㄩˋ
類型	ㄌㄟˋ ㄒㄧㄥˊ
釐米	ㄌㄧˊ ㄇㄧˇ
冷靜	ㄌㄥˇ ㄐㄧㄥˋ
離不開	ㄌㄧˊ ㄅㄨ˙ ㄎㄞ
力氣	ㄌㄧˋ ㄑㄧ˙
歷史	ㄌㄧˋ ㄕˇ
立即	ㄌㄧˋ ㄐㄧˊ
利益	ㄌㄧˋ ㄧˋ
利息	ㄌㄧˋ ㄒㄧ
量	ㄌㄧㄤˋ
良好	ㄌㄧㄤˊ ㄏㄠˇ
兩邊	ㄌㄧㄤˇ ㄅㄧㄢ
糧食	ㄌㄧㄤˊ ㄕ˙
了不起	ㄌㄧㄠˇ ㄅㄨ˙ ㄑㄧˇ
療養	ㄌㄧㄠˊ ㄧㄤˇ
了解	ㄌㄧㄠˇ ㄐㄧㄝˇ
列	ㄌㄧㄝˋ
列車	ㄌㄧㄝˋ ㄔㄜ
列入	ㄌㄧㄝˋ ㄖㄨˋ
列為	ㄌㄧㄝˋ ㄨㄟˊ
倆	ㄌㄧㄚˇ
臨時	ㄌㄧㄣˊ ㄕˊ
零食	ㄌㄧㄥˊ ㄕˊ
流傳	ㄌㄧㄡˊ ㄔㄨㄢˊ
樓梯	ㄌㄡˊ ㄊㄧ
陸續	ㄌㄨˋ ㄒㄩˋ
陸地	ㄌㄨˋ ㄉㄧˋ
律師	ㄌㄩˋ ㄕ
錄取	ㄌㄨˋ ㄑㄩˇ
輪	ㄌㄨㄣˊ
輪椅	ㄌㄨㄣˊ ㄧˇ
論文	ㄌㄨㄣˋ ㄨㄣˊ
輪船	ㄌㄨㄣˊ ㄔㄨㄢˊ
落	ㄌㄨㄛˋ
輪子	ㄌㄨㄣˊ ㄗ˙
毛巾	ㄇㄠˊ ㄐㄧㄣ
毛衣	ㄇㄠˊ ㄧ
帽子	ㄇㄠˋ ㄗ˙
沒法兒	ㄇㄟˊ ㄈㄚˇ ㄦ˙
沒錯	ㄇㄟˊ ㄘㄨㄛˋ
沒想到	ㄇㄟˊ ㄒㄧㄤˇ ㄉㄠˋ
美金	ㄇㄟˇ ㄐㄧㄣ
美女	ㄇㄟˇ ㄋㄩˇ
夢見	ㄇㄥˋ ㄐㄧㄢˋ
夢想	ㄇㄥˋ ㄒㄧㄤˇ
夢	ㄇㄥˋ
祕密	ㄇㄧˋ ㄇㄧˋ
祕書	ㄇㄧˋ ㄕㄨ
密碼	ㄇㄧˋ ㄇㄚˇ
密	ㄇㄧˋ
密切	ㄇㄧˋ ㄑㄧㄝ
面臨	ㄇㄧㄢˋ ㄌㄧㄣˊ
免費	ㄇㄧㄢˇ ㄈㄟˋ
面試	ㄇㄧㄢˋ ㄕˋ
描寫	ㄇㄧㄠˊ ㄒㄧㄝˇ
描述	ㄇㄧㄠˊ ㄕㄨˋ
名牌兒	ㄇㄧㄥˊ ㄆㄞˊ ㄦ˙
名人	ㄇㄧㄥˊ ㄖㄣˊ
名片	ㄇㄧㄥˊ ㄆㄧㄢˋ
摸	ㄇㄛ
模特兒	ㄇㄛˊ ㄊㄜˋ ㄦ˙
模型	ㄇㄛˊ ㄒㄧㄥˊ
末	ㄇㄛˋ
默默	ㄇㄛˋ ㄇㄛˋ
哪	ㄋㄚˇ
男女	ㄋㄢˊ ㄋㄩˇ
男士	ㄋㄢˊ ㄕˋ
難免	ㄋㄢˊ ㄇㄧㄢˇ
哪怕	ㄋㄚˇ ㄆㄚˋ
腦袋	ㄋㄠˇ ㄉㄞ˙
鬧	ㄋㄠˋ
鬧鐘	ㄋㄠˋ ㄓㄨㄥ
內部	ㄋㄟˋ ㄅㄨˋ
內科	ㄋㄟˋ ㄎㄜ
能幹	ㄋㄥˊ ㄍㄢˋ
寧靜	ㄋㄧㄥˊ ㄐㄧㄥˋ
濃	ㄋㄨㄥˊ
女士	ㄋㄩˇ ㄕˋ
暖氣	ㄋㄨㄢˇ ㄑㄧˋ
拍照	ㄆㄞ ㄓㄠˋ
排列	ㄆㄞˊ ㄌㄧㄝˋ
牌	ㄆㄞˊ
盤	ㄆㄢˊ
盤子	ㄆㄢˊ ㄗ˙
胖子	ㄆㄤˋ ㄗ˙
培訓	ㄆㄟˊ ㄒㄩㄣˋ
培訓班	ㄆㄟˊ ㄒㄩㄣˋ ㄅㄢ
培養	ㄆㄟˊ ㄧㄤˇ
批	ㄆㄧ
培育	ㄆㄟˊ ㄩˋ
品質	ㄆㄧㄣˇ ㄓˋ
片面	ㄆㄧㄢˋ ㄇㄧㄢˋ
平方	ㄆㄧㄥˊ ㄈㄤ
平均	ㄆㄧㄥˊ ㄐㄩㄣ
平靜	ㄆㄧㄥˊ ㄐㄧㄥˋ
迫切	ㄆㄛˋ ㄑㄧㄝˋ
平穩	ㄆㄧㄥˊ ㄨㄣˇ
妻子	ㄑㄧ ㄗ˙
破產	ㄆㄛˋ ㄔㄢˇ
期末	ㄑㄧ ㄇㄛˋ
期待	ㄑㄧ ㄉㄞˋ
期間	ㄑㄧ ㄐㄧㄢ
期中	ㄑㄧ ㄓㄨㄥ
期限	ㄑㄧ ㄒㄧㄢˋ
企業	ㄑㄧˇ ㄧㄝˋ
氣球	ㄑㄧˋ ㄑㄧㄡˊ
其餘	ㄑㄧˊ ㄩˊ
汽水	ㄑㄧˋ ㄕㄨㄟˇ
器官	ㄑㄧˋ ㄍㄨㄢ
前途	ㄑㄧㄢˊ ㄊㄨˊ
汽油	ㄑㄧˋ ㄧㄡˊ
淺	ㄑㄧㄢˇ
前頭	ㄑㄧㄢˊ ㄊㄡ˙
巧克力	ㄑㄧㄠˇ ㄎㄜˋ ㄌㄧˋ
親密	ㄑㄧㄣ ㄇㄧˋ
親愛	ㄑㄧ ㄋㄞˋ
切	ㄑㄧㄝˋ
青春	ㄑㄧㄥ ㄔㄨㄣ
輕鬆	ㄑㄧㄥ ㄙㄨㄥ
輕易	ㄑㄧㄥ ㄧ˙
清醒	ㄑㄧㄥ ㄒㄧㄥˇ
情景	ㄑㄧㄥˊ ㄐㄧㄥˇ
窮	ㄑㄩㄥˊ
窮人	ㄑㄩㄥˊ ㄖㄣˊ
趨勢	ㄑㄩ ㄕˋ
秋季	ㄑㄧㄡ ㄐㄧˋ
圈	ㄑㄩㄢ
權利	ㄑㄩㄢˊ ㄌㄧˋ
卻	ㄑㄩㄝˋ
確認	ㄑㄩㄝˋ ㄖㄣˋ
燃料	ㄖㄢˊ ㄌㄧㄠˋ
然而	ㄖㄢˊ ㄦ˙
