愛心	ㄞˋ ㄒㄧㄣ
短期	ㄉㄨㄢˇ ㄑㄧ
隊員	ㄉㄨㄟˋ ㄩㄢˊ
對待	ㄉㄨㄟˋ ㄉㄞˋ
對方	ㄉㄨㄟˋ ㄈㄤ
對象	ㄉㄨㄟˋ ㄒㄧㄤˋ
對手	ㄉㄨㄟˋ ㄕㄡˇ
發表	ㄈㄚ ㄅㄧㄠˇ
頓	ㄉㄨㄣˋ
發出	ㄈㄚ ㄔㄨ
發達	ㄈㄚ ㄉㄚˊ
發動	ㄈㄚ ㄉㄨㄥˋ
發明	ㄈㄚ ㄇㄧㄥˊ
發生	ㄈㄚ ㄕㄥ
發送	ㄈㄚ ㄙㄨㄥ˙
發言	ㄈㄚ ㄧㄢˊ
發展	ㄈㄚ ㄓㄢˇ
反復	ㄈㄢˇ ㄈㄨˋ
反應	ㄈㄢˇ ㄧㄥˋ
反正	ㄈㄢˇ ㄓㄥ˙
範圍	ㄈㄢˋ ㄨㄟˊ
反對	ㄈㄢˇ ㄉㄨㄟˋ
防	ㄈㄤˊ
防止	ㄈㄤˊ ㄓˇ
方式	ㄈㄤ ㄕˋ
房東	ㄈㄤˊ ㄉㄨㄥ
訪問	ㄈㄤˇ ㄨㄣˋ
放到	ㄈㄤˋ ㄉㄠˋ
房屋	ㄈㄤˊ ㄨ
費	ㄈㄟˋ
飛行	ㄈㄟ ㄒㄧㄥˊ
房租	ㄈㄤˊ ㄗㄨ
費用	ㄈㄟˋ ㄩㄥ˙
分別	ㄈㄣ ㄅㄧㄝˊ
分組	ㄈㄣ ㄗㄨˇ
分配	ㄈㄣ ㄆㄟˋ
豐富	ㄈㄥ ㄈㄨˋ
風險	ㄈㄥ ㄒㄧㄢˇ
否定	ㄈㄡˇ ㄉㄧㄥˋ
服裝	ㄈㄨˊ ㄓㄨㄤ
父母	ㄈㄨˋ ㄇㄨˇ
否認	ㄈㄡˇ ㄖㄣˋ
福	ㄈㄨˊ
父親	ㄈㄨˋ ㄑㄧㄣ˙
負責	ㄈㄨˋ ㄗㄜˊ
複印	ㄈㄨˋ ㄧㄣˋ
付	ㄈㄨˋ
複雜	ㄈㄨˋ ㄗㄚˊ
改造	ㄍㄞˇ ㄗㄠˋ
富	ㄈㄨˋ
改進	ㄍㄞˇ ㄐㄧㄣˋ
概念	ㄍㄞˋ ㄋㄧㄢˋ
趕	ㄍㄢˇ
趕到	ㄍㄢˇ ㄉㄠˋ
趕快	ㄍㄢˇ ㄎㄨㄞˋ
趕緊	ㄍㄢˇ ㄐㄧㄣˇ
敢	ㄍㄢˇ
感冒	ㄍㄢˇ ㄇㄠˋ
感受	ㄍㄢˇ ㄕㄡˋ
幹嗎	ㄍㄢˋ ㄇㄚˊ
感情	ㄍㄢˇ ㄑㄧㄥˊ
高速	ㄍㄠ ㄙㄨˋ
高速公路	ㄍㄠ ㄙㄨˋ ㄍㄨㄥ ㄌㄨˋ
告別	ㄍㄠˋ ㄅㄧㄝˊ
歌聲	ㄍㄜ ㄕㄥ
歌迷	ㄍㄜ ㄇㄧˊ
歌手	ㄍㄜ ㄕㄡˇ
各	ㄍㄜˋ
個性	ㄍㄜˋ ㄒㄧㄥˋ
個人	ㄍㄜˋ ㄖㄣˊ
各位	ㄍㄜˋ ㄨㄟˋ
各地	ㄍㄜˋ ㄉㄧˋ
各種	ㄍㄜˋ ㄓㄨㄥˇ
根本	ㄍㄣ ㄅㄣˇ
各自	ㄍㄜˋ ㄗˋ
更加	ㄍㄥˋ ㄐㄧㄚ
工程師	ㄍㄨㄥ ㄔㄥˊ ㄕ
工夫	ㄍㄨㄥ ㄈㄨ˙
工具	ㄍㄨㄥ ㄐㄩˋ
工業	ㄍㄨㄥ ㄧㄝˋ
工廠	ㄍㄨㄥ ㄔㄤˇ
工資	ㄍㄨㄥ ㄗ
公布	ㄍㄨㄥ ㄅㄨˋ
公共	ㄍㄨㄥ ㄍㄨㄥˋ
公開	ㄍㄨㄥ ㄎㄞ
公務員	ㄍㄨㄥ ㄨˋ ㄩㄢˊ
功課	ㄍㄨㄥ ㄎㄜˋ
公民	ㄍㄨㄥ ㄇㄧㄣˊ
功能	ㄍㄨㄥ ㄋㄥˊ
共同	ㄍㄨㄥˋ ㄊㄨㄥˊ
功夫	ㄍㄨㄥ ㄈㄨ˙
姑娘	ㄍㄨ ㄋㄧㄤ˙
共有	ㄍㄨㄥˋ ㄧㄡˇ
古	ㄍㄨˇ
古代	ㄍㄨˇ ㄉㄞˋ
故鄉	ㄍㄨˋ ㄒㄧㄤ
關係	ㄍㄨㄢ ㄒㄧ˙
關注	ㄍㄨㄢ ㄓㄨˋ
觀察	ㄍㄨㄢ ㄔㄚˊ
掛	ㄍㄨㄚˋ
觀看	ㄍㄨㄢ ㄎㄢˋ
觀念	ㄍㄨㄢ ㄋㄧㄢˋ
管理	ㄍㄨㄢˇ ㄌㄧˇ
觀眾	ㄍㄨㄢ ㄓㄨㄥˋ
光明	ㄍㄨㄤ ㄇㄧㄥˊ
廣播	ㄍㄨㄤˇ ㄅㄛ
管	ㄍㄨㄢˇ
光	ㄍㄨㄤ
規定	ㄍㄨㄟ ㄉㄧㄥˋ
廣大	ㄍㄨㄤˇ ㄉㄚˋ
國內	ㄍㄨㄛˊ ㄋㄟˋ
規範	ㄍㄨㄟ ㄈㄢˋ
國慶	ㄍㄨㄛˊ ㄑㄧㄥˋ
果然	ㄍㄨㄛˇ ㄖㄢˊ
果汁	ㄍㄨㄛˇ ㄓ
過程	ㄍㄨㄛˋ ㄔㄥˊ
哈哈	ㄏㄚ ㄏㄚ˙
過去	ㄍㄨㄛˋ ㄑㄩ˙
海關	ㄏㄞˇ ㄍㄨㄢ
害怕	ㄏㄞˋ ㄆㄚˋ
好好	ㄏㄠˇ ㄏㄠˇ
行	ㄒㄧㄥˊ
好奇	ㄏㄠˋ ㄑㄧˊ
合	ㄏㄜˊ
合法	ㄏㄜˊ ㄈㄚˇ
合格	ㄏㄜˊ ㄍㄜˊ
合理	ㄏㄜˊ ㄌㄧˇ
和平	ㄏㄜˊ ㄆㄧㄥˊ
紅茶	ㄏㄨㄥˊ ㄔㄚˊ
紅酒	ㄏㄨㄥˊ ㄐㄧㄡˇ
後果	ㄏㄡˋ ㄍㄨㄛˇ
後面	ㄏㄡˋ ㄇㄧㄢ˙
後年	ㄏㄡˋ ㄋㄧㄢˊ
互聯網	ㄏㄨˋ ㄌㄧㄢˊ ㄨㄤˇ
合作	ㄏㄜˊ ㄗㄨㄛˋ
划船	ㄏㄨㄚˊ ㄔㄨㄢˊ
互相	ㄏㄨˋ ㄒㄧㄤ
華人	ㄏㄨㄚˊ ㄖㄣˊ
化	ㄏㄨㄚˋ
話劇	ㄏㄨㄚˋ ㄐㄩˋ
歡樂	ㄏㄨㄢ ㄌㄜˋ
環	ㄏㄨㄢˊ
話題	ㄏㄨㄚˋ ㄊㄧˊ
環保	ㄏㄨㄢˊ ㄅㄠˇ
環境	ㄏㄨㄢˊ ㄐㄧㄥˋ
會議	ㄏㄨㄟˋ ㄧˋ
會員	ㄏㄨㄟˋ ㄩㄢˊ
火	ㄏㄨㄛˇ
活	ㄏㄨㄛˊ
機器	ㄐㄧ ㄑㄧˋ
基本	ㄐㄧ ㄅㄣˇ
積極	ㄐㄧ ㄐㄧˊ
基本上	ㄐㄧ ㄅㄣˇ ㄕㄤ˙
及時	ㄐㄧˊ ㄕˊ
基礎	ㄐㄧ ㄔㄨˇ
極了	ㄐㄧˊ ㄌㄜ˙
集中	ㄐㄧˊ ㄓㄨㄥ
集體	ㄐㄧˊ ㄊㄧˇ
計算	ㄐㄧˋ ㄙㄨㄢˋ
記錄	ㄐㄧˋ ㄌㄨˋ
記者	ㄐㄧˋ ㄓㄜˇ
紀念	ㄐㄧˋ ㄋㄧㄢˋ
技術	ㄐㄧˋ ㄕㄨˋ
繼續	ㄐㄧˋ ㄒㄩˋ
加工	ㄐㄧㄚ ㄍㄨㄥ
加強	ㄐㄧㄚ ㄑㄧㄤˊ
家具	ㄐㄧㄚ ㄐㄩ˙
加快	ㄐㄧㄚ ㄎㄨㄞˋ
家鄉	ㄐㄧㄚ ㄒㄧㄤ
紀錄	ㄐㄧˋ ㄌㄨˋ
家屬	ㄐㄧㄚ ㄕㄨˇ
價格	ㄐㄧㄚˋ ㄍㄜˊ
價錢	ㄐㄧㄚˋ ㄑㄧㄢ˙
價值	ㄐㄧㄚˋ ㄓˊ
架	ㄐㄧㄚˋ
堅持	ㄐㄧㄢ ㄔˊ
堅強	ㄐㄧㄢ ㄑㄧㄤˊ
簡單	ㄐㄧㄢˇ ㄉㄢ
簡直	ㄐㄧㄢˇ ㄓˊ
堅決	ㄐㄧㄢ ㄐㄩㄝˊ
建	ㄐㄧㄢˋ
建成	ㄐㄧㄢˋ ㄔㄥˊ
建立	ㄐㄧㄢˋ ㄌㄧˋ
建設	ㄐㄧㄢˋ ㄕㄜˋ
將近	ㄐㄧㄤ ㄐㄧㄣˋ
將來	ㄐㄧㄤ ㄌㄞˊ
交費	ㄐㄧㄠ ㄈㄟˋ
建議	ㄐㄧㄢˋ ㄧˋ
交警	ㄐㄧㄠ ㄐㄧㄥˇ
交流	ㄐㄧㄠ ㄌㄧㄡˊ
交往	ㄐㄧㄠ ㄨㄤˇ
交易	ㄐㄧㄠ ㄧˋ
教材	ㄐㄧㄠˋ ㄘㄞˊ
教練	ㄐㄧㄠˋ ㄌㄧㄢˋ
較	ㄐㄧㄠˋ
接待	ㄐㄧㄝ ㄉㄞˋ
結實	ㄐㄧㄝ ㄕ˙
接近	ㄐㄧㄝ ㄐㄧㄣˋ
結合	ㄐㄧㄝˊ ㄏㄜˊ
結婚	ㄐㄧㄝˊ ㄏㄨㄣ
叫	ㄐㄧㄠˋ
解決	ㄐㄧㄝˇ ㄐㄩㄝˊ
結束	ㄐㄧㄝˊ ㄕㄨˋ
解開	ㄐㄧㄝˇ ㄎㄞ
節約	ㄐㄧㄝˊ ㄩㄝ
金	ㄐㄧㄣ
金牌	ㄐㄧㄣ ㄆㄞˊ
盡量	ㄐㄧㄣˇ ㄌㄧㄤˋ
僅	ㄐㄧㄣˇ
僅僅	ㄐㄧㄣˇ ㄐㄧㄣˇ
緊張	ㄐㄧㄣˇ ㄓㄤ
緊	ㄐㄧㄣˇ
進步	ㄐㄧㄣˋ ㄅㄨˋ
進一步	ㄐㄧㄣˋ ㄧ ㄅㄨˋ
進展	ㄐㄧㄣˋ ㄓㄢˇ
近期	ㄐㄧㄣˋ ㄑㄧ
經濟	ㄐㄧㄥ ㄐㄧˋ
京劇	ㄐㄧㄥ ㄐㄩˋ
經驗	ㄐㄧㄥ ㄧㄢˋ
緊急	ㄐㄧㄣˇ ㄐㄧˊ
經歷	ㄐㄧㄥ ㄌㄧˋ
精神	ㄐㄧㄥ ㄕㄣ˙
精彩	ㄐㄧㄥ ㄘㄞˇ
經營	ㄐㄧㄥ ㄧㄥˊ
景色	ㄐㄧㄥˇ ㄙㄜˋ
警察	ㄐㄧㄥˇ ㄔㄚˊ
靜	ㄐㄧㄥˋ
久	ㄐㄧㄡˇ
就是	ㄐㄧㄡˋ ㄕˋ
救	ㄐㄧㄡˋ
就業	ㄐㄧㄡˋ ㄧㄝˋ
舉辦	ㄐㄩˇ ㄅㄢˋ
舊	ㄐㄧㄡˋ
具有	ㄐㄩˋ ㄧㄡˇ
劇場	ㄐㄩˋ ㄔㄤˇ
具體	ㄐㄩˋ ㄊㄧˇ
決定	ㄐㄩㄝˊ ㄉㄧㄥˋ
據說	ㄐㄩˋ ㄕㄨㄛ
決賽	ㄐㄩㄝˊ ㄙㄞˋ
絕對	ㄐㄩㄝˊ ㄉㄨㄟˋ
咖啡	ㄎㄚ ㄈㄟ
決心	ㄐㄩㄝˊ ㄒㄧㄣ
開放	ㄎㄞ ㄈㄤˋ
開發	ㄎㄞ ㄈㄚ˙
開始	ㄎㄞ ㄕˇ
開展	ㄎㄞ ㄓㄢˇ
開業	ㄎㄞ ㄧㄝˋ
看起來	ㄎㄢˋ ㄑㄧ˙ ㄌㄞ˙
看上去	ㄎㄢˋ ㄕㄤ˙ ㄑㄩ˙
考驗	ㄎㄠˇ ㄧㄢˋ
可靠	ㄎㄜˇ ㄎㄠˋ
科技	ㄎㄜ ㄐㄧˋ
客觀	ㄎㄜˋ ㄍㄨㄢ
可樂	ㄎㄜˇ ㄌㄜˋ
克服	ㄎㄜˋ ㄈㄨˊ
空	ㄎㄨㄥ
課程	ㄎㄜˋ ㄔㄥˊ
空調	ㄎㄨㄥ ㄊㄧㄠˊ
褲子	ㄎㄨˋ ㄗ˙
空兒	ㄎㄨㄥˋ ㄦ˙
快速	ㄎㄨㄞˋ ㄙㄨˋ
困	ㄎㄨㄣˋ
困難	ㄎㄨㄣˋ ㄋㄢ˙
恐怕	ㄎㄨㄥˇ ㄆㄚˋ
浪費	ㄌㄤˋ ㄈㄟˋ
老百姓	ㄌㄠˇ ㄅㄞˇ ㄒㄧㄥˋ
老闆	ㄌㄠˇ ㄅㄢˇ
老太太	ㄌㄠˇ ㄊㄞˋ ㄊㄞ˙
老頭兒	ㄌㄠˇ ㄊㄡˊ ㄦ˙
樂	ㄌㄜˋ
樂觀	ㄌㄜˋ ㄍㄨㄢ
類似	ㄌㄟˋ ㄙˋ
離婚	ㄌㄧˊ ㄏㄨㄣ
裡面	ㄌㄧˇ ㄇㄧㄢ˙
類	ㄌㄟˋ
理髮	ㄌㄧˇ ㄈㄚˋ
理論	ㄌㄧˇ ㄌㄨㄣˋ
理由	ㄌㄧˇ ㄧㄡˊ
理解	ㄌㄧˇ ㄐㄧㄝˇ
力量	ㄌㄧˋ ㄌㄧㄤ˙
力	ㄌㄧˋ
利用	ㄌㄧˋ ㄩㄥˋ
連	ㄌㄧㄢˊ
立刻	ㄌㄧˋ ㄎㄜˋ
連忙	ㄌㄧㄢˊ ㄇㄤˊ
連續劇	ㄌㄧㄢˊ ㄒㄩˋ ㄐㄩˋ
聯合國	ㄌㄧㄢˊ ㄏㄜˊ ㄍㄨㄛˊ
連續	ㄌㄧㄢˊ ㄒㄩˋ
聯繫	ㄌㄧㄢˊ ㄒㄧˋ
聯合	ㄌㄧㄢˊ ㄏㄜˊ
涼水	ㄌㄧㄤˊ ㄕㄨㄟˇ
了	ㄌㄜ˙
領	ㄌㄧㄥˇ
領導	ㄌㄧㄥˇ ㄉㄠˇ
領先	ㄌㄧㄥˇ ㄒㄧㄢ
另一方面	ㄌㄧㄥˋ ㄧ ㄈㄤ ㄇㄧㄢˋ
留學	ㄌㄧㄡˊ ㄒㄩㄝˊ
龍	ㄌㄨㄥˊ
另外	ㄌㄧㄥˋ ㄨㄞˋ
錄	ㄌㄨˋ
路線	ㄌㄨˋ ㄒㄧㄢˋ
旅館	ㄌㄩˇ ㄍㄨㄢˇ
錄音	ㄌㄨˋ ㄧㄣ
旅行社	ㄌㄩˇ ㄒㄧㄥˊ ㄕㄜˋ
綠茶	ㄌㄩˋ ㄔㄚˊ
落後	ㄌㄨㄛˋ ㄏㄡˋ
麻煩	ㄇㄚˊ ㄈㄢ˙
滿足	ㄇㄢˇ ㄗㄨˊ
亂	ㄌㄨㄢˋ
慢慢	ㄇㄢˋ ㄇㄢˋ
馬	ㄇㄚˇ
毛	ㄇㄠˊ
沒用	ㄇㄟˊ ㄩㄥˋ
毛病	ㄇㄠˊ ㄅㄧㄥ˙
每	ㄇㄟˇ
媒體	ㄇㄟˊ ㄊㄧˇ
美	ㄇㄟˇ
美麗	ㄇㄟˇ ㄌㄧˋ
美好	ㄇㄟˇ ㄏㄠˇ
美術	ㄇㄟˇ ㄕㄨˋ
美元	ㄇㄟˇ ㄩㄢˊ
米	ㄇㄧˇ
美食	ㄇㄟˇ ㄕˊ
面對	ㄇㄧㄢˋ ㄉㄨㄟˋ
迷	ㄇㄧˊ
民間	ㄇㄧㄣˊ ㄐㄧㄢ
民族	ㄇㄧㄣˊ ㄗㄨˊ
面積	ㄇㄧㄢˋ ㄐㄧ
明確	ㄇㄧㄥˊ ㄑㄩㄝˋ
命運	ㄇㄧㄥˋ ㄩㄣˋ
明顯	ㄇㄧㄥˊ ㄒㄧㄢˇ
某	ㄇㄡˇ
母親	ㄇㄨˇ ㄑㄧㄣ˙
目標	ㄇㄨˋ ㄅㄧㄠ
目前	ㄇㄨˋ ㄑㄧㄢˊ
木頭	ㄇㄨˋ ㄊㄡ˙
男子	ㄋㄢˊ ㄗˇ
南部	ㄋㄢˊ ㄅㄨˋ
奶茶	ㄋㄞˇ ㄔㄚˊ
難道	ㄋㄢˊ ㄉㄠˋ
難度	ㄋㄢˊ ㄉㄨˋ
內心	ㄋㄟˋ ㄒㄧㄣ
內	ㄋㄟˋ
內容	ㄋㄟˋ ㄖㄨㄥˊ
能不能	ㄋㄥˊ ㄅㄨˋ ㄋㄥˊ
年代	ㄋㄧㄢˊ ㄉㄞˋ
能力	ㄋㄥˊ ㄌㄧˋ
年初	ㄋㄧㄢˊ ㄔㄨ
年紀	ㄋㄧㄢˊ ㄐㄧˋ
念	ㄋㄧㄢˋ
年底	ㄋㄧㄢˊ ㄉㄧˇ
農民	ㄋㄨㄥˊ ㄇㄧㄣˊ
牛	ㄋㄧㄡˊ
農村	ㄋㄨㄥˊ ㄘㄨㄣ
農業	ㄋㄨㄥˊ ㄧㄝˋ
女子	ㄋㄩˇ ㄗˇ
暖和	ㄋㄨㄢˇ ㄏㄨㄛ˙
怕	ㄆㄚˋ
拍	ㄆㄞ
排	ㄆㄞˊ
排名	ㄆㄞˊ ㄇㄧㄥˊ
牌子	ㄆㄞˊ ㄗ˙
派	ㄆㄞˋ
判斷	ㄆㄢˋ ㄉㄨㄢˋ
配合	ㄆㄟˋ ㄏㄜ˙
跑步	ㄆㄠˇ ㄅㄨˋ
胖	ㄆㄤˋ
配	ㄆㄟˋ
批評	ㄆㄧ ㄆㄧㄥˊ
批准	ㄆㄧ ㄓㄨㄣˇ
皮	ㄆㄧˊ
啤酒	ㄆㄧˊ ㄐㄧㄡˇ
票價	ㄆㄧㄠˋ ㄐㄧㄚˋ
皮包	ㄆㄧˊ ㄅㄠ
評價	ㄆㄧㄥˊ ㄐㄧㄚˋ
蘋果	ㄆㄧㄥˊ ㄍㄨㄛˇ
破壞	ㄆㄛˋ ㄏㄨㄞˋ
普遍	ㄆㄨˇ ㄅㄧㄢˋ
普及	ㄆㄨˇ ㄐㄧˊ
期	ㄑㄧ
破	ㄆㄛˋ
齊	ㄑㄧˊ
其實	ㄑㄧˊ ㄕˊ
其次	ㄑㄧˊ ㄘˋ
氣候	ㄑㄧˋ ㄏㄡˋ
千萬	ㄑㄧㄢ ㄨㄢˋ
前後	ㄑㄧㄢˊ ㄏㄡˋ
奇怪	ㄑㄧˊ ㄍㄨㄞˋ
前進	ㄑㄧㄢˊ ㄐㄧㄣˋ
前往	ㄑㄧㄢˊ ㄨㄤˇ
前面	ㄑㄧㄢˊ ㄇㄧㄢ˙
強	ㄑㄧㄤˊ
強大	ㄑㄧㄤˊ ㄉㄚˋ
強調	ㄑㄧㄤˊ ㄉㄧㄠˋ
強烈	ㄑㄧㄤˊ ㄌㄧㄝˋ
巧	ㄑㄧㄠˇ
橋	ㄑㄧㄠˊ
親切	ㄑㄧㄣ ㄑㄧㄝˋ
親人	ㄑㄧㄣ ㄖㄣˊ
親	ㄑㄧㄣ
情感	ㄑㄧㄥˊ ㄍㄢˇ
請教	ㄑㄧㄥˇ ㄐㄧㄠˋ
情況	ㄑㄧㄥˊ ㄎㄨㄤˋ
親自	ㄑㄧㄣ ㄗˋ
球迷	ㄑㄧㄡˊ ㄇㄧˊ
取消	ㄑㄩˇ ㄒㄧㄠ
慶祝	ㄑㄧㄥˋ ㄓㄨˋ
區	ㄑㄩ
去世	ㄑㄩˋ ㄕˋ
全場	ㄑㄩㄢˊ ㄔㄤˇ
全面	ㄑㄩㄢˊ ㄇㄧㄢˋ
全球	ㄑㄩㄢˊ ㄑㄧㄡˊ
區別	ㄑㄩ ㄅㄧㄝˊ
缺少	ㄑㄩㄝ ㄕㄠˇ
缺點	ㄑㄩㄝ ㄉㄧㄢˇ
缺	ㄑㄩㄝ
確保	ㄑㄩㄝˋ ㄅㄠˇ
確定	ㄑㄩㄝˋ ㄉㄧㄥˋ
群	ㄑㄩㄣˊ
