挨着	挨著	āi zhe	near;  
编制	編製	biān zhì, biān zhì	to weave; to plait; to compile; to put together (a lesson plan, budget etc);  
扁	扁	Piān, biǎn, piān	surname Pian;  flat; (coll.) to beat (sb) up; old variant of 匾[bian3];  small boat;  
变更	變更	biàn gēng	to change; to alter; to modify;  
变换	變換	biàn huàn	to transform; to convert; to vary; to alternate; a transformation;  
变形	變形	biàn xíng	deformation; to become deformed; to change shape; to morph;  
便	便	biàn, pián	plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards;  see 便宜|便宜[pian2 yi5];  
便是	便是	biàn shì	(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as;  
遍地	遍地	biàn dì	everywhere; all over;  
表面上	錶麵上	biǎomiànshàng	Surface on the surface
病房	病房	bìng fáng	ward (of a hospital); sickroom; CL:間|间[jian1];  
病情	病情	bìng qíng	state of an illness; patient's condition;  
拨打	撥打	bō dǎ	to call; to dial;  
波动	波動	bō dòng	to undulate; to fluctuate; wave motion; rise and fall;  
波浪	波浪	bō làng	wave;  
播	播	bō	to sow; to scatter; to spread; to broadcast; Taiwan pr. [bo4];  
不便	不便	bù biàn	inconvenient; inappropriate; unsuitable; short of cash;  
不见	不見	bù jiàn	not to see; not to meet; to have disappeared; to be missing;  
不料	不料	bù liào	unexpectedly; to one's surprise;  
不再	不再	bù zài	no more; no longer;  
不至于	不至於	bù zhì yú	unlikely to go so far as to; not as bad as;  
补考	補考	bǔ kǎo	to sit for a makeup exam; to resit an exam; makeup exam; resit;  
补课	補課	bǔ kè	to make up missed lesson; to reschedule a class;  
补习	補習	bǔ xí	to take extra lessons in a cram school or with a private tutor;  
补助	補助	bǔ zhù	to subsidize; subsidy; allowance;  
捕	捕	bǔ	to catch; to seize; to capture;  
不成	不成	bù chéng	won't do; unable to; (at the end of a rhetorical question) can that be?;  
不禁	不禁	bù jīn	can't help (doing sth); can't refrain from;  
不仅仅	不僅僅	bùjǐnjǐn	Not only
不通	不通	bù tōng	to be obstructed; to be blocked up; to be impassable; to make no sense; to be illogical;  
不怎么	不怎麼	bù zěn me	not very; not particularly;  
不怎么样	不怎麼樣	bù zěn me yàng	not up to much; very indifferent; nothing great about it; nothing good to be said about it;  
不值	不值	bù zhí	not worth;  
布满	布滿	bù mǎn	to be covered with; to be filled with;  
部队	部隊	bù duì	army; armed forces; troops; force; unit; CL:個|个[ge4];  
采纳	采納	cǎi nà	to accept; to adopt;  
踩	踩	cǎi, cǎi	to step on; to tread; to stamp; to press a pedal; to pedal (a bike);  
参赛	參賽	cān sài	to compete; to take part in a competition;  
参展	參展	cān zhǎn	to exhibit at or take part in a trade show etc;  
餐	餐	cān	meal; to eat; classifier for meals;  
残疾	殘疾	cán jí	disabled; handicapped; deformity on a person or animal;  
残疾人	殘疾人	cán jí rén	disabled person;  
残酷	殘酷	cán kù	cruel; cruelty;  
惨	慘	cǎn	miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy;  
仓库	倉庫	cāng kù	depot; storehouse; warehouse;  
藏	藏	Zàng, cáng, zàng	Tibet; Xizang 西藏;  to conceal; to hide away; to harbor; to store; to collect;  storehouse; depository; Buddhist or Taoist scripture;  
操纵	操縱	cāo zòng	to operate; to control; to rig; to manipulate;  
厕所	廁所	cè suǒ	toilet; lavatory; CL:間|间[jian1],處|处[chu4];  
侧	側	cè, zhāi	the side; to incline towards; to lean; inclined; lateral; side;  lean on one side;  
测定	測定	cè dìng	to survey and evaluate;  
策划	策劃	cè huà	to plot; to scheme; to bring about; to engineer; planning; producer; planner;  
策略	策略	cè lüè	tactics; to be tactful;  
层面	層麵	céng miàn	aspect; facet; level (political, psychological, spiritual etc); (geology) bedding plane;  
差异	差異	chā yì	difference; discrepancy;  
查出	查齣	chá chū	to find out; to discover;  
查看	查看	chá kàn	to look over; to examine; to check up; to ferret out;  
拆迁	拆遷	chāi qiān	to demolish a building and relocate the inhabitants;  
产量	産量	chǎn liàng	output;  
昌盛	昌盛	chāng shèng	prosperous;  
长短	長短	cháng duǎn	length; duration; accident; right and wrong; good and bad; long and short;  
长假	長假	cháng jià	long vacation; refers to one week national holiday in PRC starting 1st May and 1st Oct;  
长久	長久	cháng jiǔ	(for a) long time;  
长跑	長跑	cháng pǎo	long-distance running;  
长远	長遠	cháng yuǎn	long-term; long-range;  
常规	常規	cháng guī	code of conduct; conventions; common practice; routine (medical procedure etc);  
常年	常年	cháng nián	all year round; for years on end; average year;  
厂商	廠商	chǎng shāng	manufacturer; producer;  
场地	場地	chǎng dì	space; site; place; sports pitch;  
场馆	場館	chǎng guǎn	sporting venue; arena;  
场景	場景	chǎng jǐng	scene; scenario; setting;  
畅通	暢通	chàng tōng	unimpeded; free-flowing; straight path; unclogged; move without obstruction;  
超	超	chāo	to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-;  
超出	超齣	chāo chū	to exceed; to overstep; to go too far; to encroach;  
炒	炒	chǎo	to sauté; to stir-fry; to speculate; to hype; to fire (sb);  
炒股	炒股	chǎo gǔ	(coll.) to speculate in stocks;  
炒作	炒作	chǎo zuò	to hype; to promote (in the media);  
车号	車號	chēhào	Car number
车牌	車牌	chē pái	license plate;  
车展	車展	chē zhǎn	motor show;  
撤离	撤離	chè lí	to withdraw from; to evacuate;  
撤销	撤銷	chè xiāo	to repeal; to revoke; (computing) to undo;  
撑	撐	chēng	to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support;  
成	成	Chéng, chéng	surname Cheng;  to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth;  
成分	成分	chéng fèn	composition; make-up; ingredient; element; component; one's social status; CL:個|个[ge4];  
成品	成品	chéng pǐn	finished goods; a finished product;  
承诺	承諾	chéng nuò	to promise; to undertake to do something; commitment;  
城区	城區	chéng qū	city district; urban area;  
城乡	城鄉	chéng xiāng	city and countryside;  
城镇	城鎮	chéng zhèn	town; cities and towns;  
持有	持有	chí yoǔ	to hold (passport, views etc);  
冲击	衝擊	chōng jī	to attack; to batter; (of waves) to pound against; shock; impact;  
重建	重建	chóng jiàn	to rebuild; to reestablish; reconstruction; rebuilding;  
重组	重組	chóng zǔ	to reorganize; to recombine; recombination;  
崇拜	崇拜	chóng bài	to worship; adoration;  
宠物	寵物	chǒng wù	house pet;  
冲	衝	chōng, chōng, chòng	thoroughfare; to go straight ahead; to rush; to clash;  powerful; vigorous; pungent; towards; in view of;  
出场	齣場	chū chǎng	to appear (on stage, in a show, in a photo etc); to play (for a team); to enter (arena or stage); to send sb out (e.g. off the field for a foul);  
出动	齣動	chū dòng	to start out on a trip; to dispatch troops;  
出访	齣訪	chū fǎng	to travel on business; to visit (a foreign country); same as 外出訪問|外出访问[wai4 chu1 fang3 wen4];  
出路	齣路	chū lù	a way out (of a difficulty etc);  
出面	齣麵	chū miàn	to appear personally; to step in; to step forth; to show up;  
出名	齣名	chū míng	well-known for sth; to become well known; to make one's mark;  
出入	齣入	chū rù	to go out and come in; entrance and exit; expenditure and income; discrepancy; inconsistent;  
出事	齣事	chū shì	to have an accident; to meet with a mishap;  
出台	齣颱	chū tái	to officially launch (a policy, program etc); to appear on stage; to appear publicly; (of a bar girl) to leave with a client;  
出行	齣行	chū xíng	to set out on a long journey; to travel afar;  
初等	初等	chū děng	elementary (i.e. easy);  
除	除	chú	to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including;  
厨师	廚師	chú shī	cook; chef;  
储存	儲存	chǔ cún	stockpile; to store; to stockpile; storage;  
处处	處處	chù chù	everywhere; in all respects;  
处长	處長	chù zhǎng	department head; section chief;  
传出	傳齣	chuán chū	to transmit outwards; to disseminate; efferent (nerve);  
传媒	傳媒	chuán méi	media;  
传输	傳輸	chuán shū	to transmit; transmission;  
传言	傳言	chuán yán	rumor; hearsay;  
船员	船員	chuán yuán	sailor; crew member;  
船长	船長	chuán zhǎng	captain (of a boat); skipper;  
船只	船隻	chuán zhī	ship; boat; vessel;  
串	串	chuàn	to string together; to skewer; to connect wrongly; to gang up; to rove; string; bunch; skewer; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; to make a swift or abrupt linear movement (like a bead on an abacus); to move across;  
窗口	窗口	chuāng koǔ	window; opening providing restricted access (e.g. customer service window); computer operating system window; fig. medium; intermediary; showpiece; testing ground;  
创办	創辦	chuàng bàn	to establish; to found; to launch;  
创建	創建	chuàng jiàn	to found; to establish;  
创意	創意	chuàng yì	creative; creativity;  
此处	此處	cǐ chù	this place; here (literary);  
此次	此次	cǐ cì	this time;  
此前	此前	cǐ qián	before this; before then; previously;  
此事	此事	cǐshì	This matter
此致	此緻	cǐ zhì	(used at the end of a letter to introduce a polite salutation);  
次数	次數	cì shù	number of times; frequency; order number (in a series); power (math.); degree of a polynomial (math.);  
从不	從不	cóng bù	never;  
从没	從沒	cóng méi	never (in the past); never did;  
醋	醋	cù	vinegar; jealousy (in love rivalry);  
村庄	村莊	cūn zhuāng	village; hamlet; CL:座[zuo4];  
错过	錯過	cuò guò	to miss (train, opportunity etc);  
搭	搭	dā	to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); variant of 褡[da1];  
搭档	搭檔	dā dàng	to cooperate; partner;  
搭配	搭配	dā pèi	to pair up; to match; to arrange in pairs; to add sth into a group;  
打动	打動	dǎ dòng	to move (to pity); arousing (sympathy); touching;  
打断	打斷	dǎ duàn	to interrupt; to break off; to break (a bone);  
打发	打發	dǎ fa	to dispatch sb to do sth; to make sb leave; to pass (the time); (old) to make arrangements; (old) to bestow (alms etc);  
打官司	打官司	dǎ guān si	to file a lawsuit; to sue; to dispute;  
打牌	打牌	dǎ pái	to play mahjong or cards;  
打印机	打印機	dǎ yìn jī	printer;  
打造	打造	dǎ zào	to create; to build; to develop; to forge (of metal);  
大道	大道	dà dào	main street; avenue;  
大街	大街	dà jiē	street; main street; CL:條|条[tiao2];  
大力	大力	dà lì	energetically; vigorously;  
大米	大米	dà mǐ	(husked) rice;  
大批	大批	dà pī	large quantities of;  
大赛	大賽	dàsài	Contest
大师	大師	dà shī	great master; master;  
大使	大使	dà shǐ	ambassador; envoy; CL:名[ming2],位[wei4];  
待会儿	待會兒	dai1 hui4 r5	in a moment; later; Taiwan pr. [dai1 hui3 r5];  
担忧	擔憂	dān yoū	to worry; to be concerned;  
单打	單打	dān dǎ	singles (in sports); CL:場|场[chang3];  
诞生	誕生	dàn shēng	to be born;  
党	黨	Dǎng, dǎng	surname Dang;  party; association; club; society; CL:個|个[ge4];  
当	當	dāng, dāng, dàng	to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at;  at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student);  
当成	當成	dàng chéng	to consider as; to take to be;  
当天	當天	dāng tiān, dàng tiān	on that day;  the same day;  
当作	當作	dàng zuò	to treat as; to regard as;  
档	檔	dǎng, dàng	(Tw) variant of 擋|挡[dang3], gear;  official records; grade (of goods); file; records; shelves; slot; gap; crosspiece; classifier for crosspieces; classifier for events, affairs etc; Taiwan pr. [dang3];  
档案	檔案	dàng àn	file; record; archive;  
岛	島	dǎo, dǎo	island; CL:個|个[ge4],座[zuo4];  
到期	到期	dào qī	to fall due (loan etc); to expire (visa etc); to mature (investment bond etc);  
盗版	盜版	dào bǎn	pirated; illegal; see also 正版[zheng4 ban3];  
道教	道教	Dào jiào	Taoism; Daoism (Chinese system of beliefs);  
道歉	道歉	dào qiàn	to apologize;  
低头	低頭	dī toú	to bow the head; to yield; to give in;  
低温	低溫	dī wēn	low temperature;  
滴	滴	dī	a drop; to drip;  
抵达	抵達	dǐ dá	to arrive; to reach (a destination);  
抵抗	抵抗	dǐ kàng	to resist; resistance;  
地板	地闆	dì bǎn	floor;  
地名	地名	dì míng	place name; toponym;  
地下室	地下室	dì xià shì	basement; cellar;  
电车	電車	diàn chē	trolleybus; CL:輛|辆[liang4];  
电动	電動	diàn dòng	electric-powered; (Tw) video game;  
电力	電力	diàn lì	electrical power; electricity;  
电器	電器	diàn qì	(electrical) appliance; device;  
吊	吊	diào, diào	a string of 100 cash (arch.); to lament; to condole with; variant of 吊[diao4];  
调研	調研	diào yán	to investigate and research; research; investigation;  
跌	跌	diē	to drop; to fall; to tumble; Taiwan pr. [die2];  
定价	定價	dìng jià	to set a price; to fix a price;  
定时	定時	dìng shí	to fix a time; fixed time; timed (of explosive etc);  
定位	定位	dìng wèi	to orientate; to position; to categorize (as); to characterize (as); positioning; position; niche;  
动画	動畫	dòng huà	animation; cartoon;  
斗争	鬥爭	doù zhēng	a struggle; fight; battle;  
都市	都市	dū shì	city; metropolis;  
毒品	毒品	dú pǐn	drugs; narcotics; poison;  
赌	賭	dǔ	to bet; to gamble;  
赌博	賭博	dǔ bó	to gamble;  
渡	渡	dù	to cross; to pass through; to ferry;  
端	端	duān, duān	old variant of 端[duan1]; start; origin;  
端午节	端午節	Duān wǔ jié	Dragon Boat Festival (5th day of the 5th lunar month);  
短片	短片	duǎn piàn	short film; video clip;  
队伍	隊伍	duì wǔ	ranks; troops; queue; line; procession; CL:個|个[ge4],支[zhi1],條|条[tiao2];  
对抗	對抗	duì kàng	to withstand; to resist; to stand off; antagonism; confrontation;  
对外	對外	duì wài	external; foreign; pertaining to external or foreign (affairs);  
蹲	蹲	dūn	to crouch; to squat; to stay (somewhere);  
多半	多半	duō bàn	most; mostly; most likely;  
多方面	多方麵	duō fāng miàn	many-sided; in many aspects;  
多媒体	多媒體	duō méi tǐ	multimedia;  
夺	奪	duó	to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose;  
夺取	奪取	duó qǔ	to seize; to capture; to wrest control of;  
恩人	恩人	ēn rén	a benefactor; a person who has significantly helped sb else;  
儿科	兒科	ér kē	pediatrics;  
发病	發病	fā bìng	onset; outbreak (of a disease);  
发电	發電	fā diàn	to generate electricity; to send a telegram;  
发放	發放	fā fàng	to provide; to give; to grant;  
发怒	發怒	fā nù	to get angry;  
发起	發起	fā qǐ	to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time);  
发言人	發言人	fā yán rén	spokesperson;  
发炎	發炎	fā yán	to become inflamed; inflammation;  
法庭	法庭	fǎ tíng	court of law;  
法语	法語	Fǎ yǔ	French (language);  
番	番	Pān, fān	surname Pan;  foreign (non-Chinese); barbarian; classifier for occurrences (of an event, action or speech utterance); classifier for iterations: times, -fold (as in twofold etc); classifier for situations: kind, sort;  
番茄	番茄	fān qié	tomato;  
凡是	凡是	fán shì	each and every; every; all; any;  
繁殖	繁殖	fán zhí	to breed; to reproduce; to propagate;  
反抗	反抗	fǎn kàng	to resist; to rebel;  
反问	反問	fǎn wèn	to ask (a question) in reply; to answer a question with a question; rhetorical question;  
反响	反響	fǎn xiǎng	repercussions; reaction; echo;  
犯	犯	fàn	to violate; to offend; to assault; criminal; crime; to make a mistake; recurrence (of mistake or sth bad);  
犯规	犯規	fàn guī	to break the rules; an illegality; a foul;  
犯罪	犯罪	fàn zuì	to commit a crime; crime; offense;  
防范	防範	fáng fàn	to be on guard; wariness; to guard against; preventive;  
防守	防守	fáng shoǔ	to defend; to protect (against);  
房价	房價	fáng jià	house price; cost of housing;  
仿佛	仿佛	fǎng fú, fǎng fú	to seem; as if; alike; similar;  
飞船	飛船	fēi chuán	airship; spaceship;  
飞行员	飛行員	fēi xíng yuán	pilot; aviator;  
肺	肺	fèi	lung; CL:個|个[ge4];  
分工	分工	fēn gōng	to divide up the work; division of labor;  
分裂	分裂	fēn liè	to split up; to divide; to break up; fission; schism;  
愤怒	憤怒	fèn nù	angry; indignant; wrath; ire;  
风暴	風暴	fēng bào	storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc);  
峰会	峰會	fēng huì	summit meeting;  
奉献	奉獻	fèng xiàn	to offer respectfully; to consecrate; to dedicate; to devote;  
佛	佛	Fó, fú, fú	Buddha; Buddhism;  (female) head ornament; variant of 彿|佛[fu2];  
佛教	佛教	Fó jiào	Buddhism;  
服	服	fú, fù	clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes;  dose (measure word for medicine); Taiwan pr. [fu2];  
浮	浮	fú	to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus;  
父女	父女	fù nǚ	father and daughter;  
父子	父子	fù zǐ	father and son;  
负	負	fù	to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc);  
妇女	婦女	fù nǚ	woman;  
复苏	復蘇	fù sū, fù sū	variant of 復甦|复苏[fu4 su1]; to recover (health, economic); to resuscitate; anabiosis;  
副	副	fù	secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions;  
副	副	fù	secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions;  
富人	富人	fù rén	rich man;  
富有	富有	fù yoǔ	rich; full of;  
改装	改裝	gǎi zhuāng	to change one's costume; to repackage; to remodel; to refit; to modify; to convert;  
干涉	乾涉	gān shè	to interfere; to meddle; interference;  
肝	肝	gān	liver; CL:葉|叶[ye4],個|个[ge4];  
杆	杆	gān, gǎn	pole; CL:條|条[tiao2],根[gen1];  stick; pole; lever; classifier for long objects such as guns;  
赶不上	趕不上	gǎn bù shàng	can't keep up with; can't catch up with; cannot overtake;  
赶忙	趕忙	gǎn máng	to hurry; to hasten; to make haste;  
赶上	趕上	gǎn shàng	to keep up with; to catch up with; to overtake; to chance upon; in time for;  
敢于	敢於	gǎn yú	to have the courage to do sth; to dare to; bold in;  
感人	感人	gǎn rén	touching; moving;  
刚好	剛好	gāng hǎo	just; exactly; to happen to be;  
岗位	崗位	gǎng wèi	a post; a job;  
港口	港口	gǎng koǔ	port; harbor;  
高层	高層	gāo céng	high level; high class;  
高档	高檔	gāo dàng	superior quality; high grade; top grade;  
高等	高等	gāo děng	higher; high level; advanced;  
高峰	高峰	gāo fēng	peak; summit; height;  
高考	高考	gāo kǎo	college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao4 Zhao1 sheng1 Quan2 guo2 Tong3 yi1 Kao3 shi4]); entrance exam for senior government service posts (Taiwan);  
高科技	高科技	gāo kē jì	high tech; high technology;  
高手	高手	gāo shoǔ	expert; past master; dab hand;  
稿子	稿子	gǎo zi	draft of a document; script; manuscript; mental plan; precedent;  
歌唱	歌唱	gē chàng	to sing;  
歌词	歌詞	gē cí	song lyric; lyrics;  
歌星	歌星	gē xīng	singing star; famous singer;  
革新	革新	gé xīn	to innovate; innovation;  
更是	更是	gèngshì	even more
工商	工商	gōng shāng	industry and commerce;  
公	公	gōng	public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal);  
公安	公安	gōng ān	(Ministry of) Public Security; public safety; public security;  
公鸡	公雞	gōng jī	cock; rooster;  
公众	公眾	gōng zhòng	public;  
公主	公主	gōng zhǔ	princess;  
攻击	攻擊	gōng jī	to attack; to accuse; to charge; an attack (terrorist or military);  
供给	供給	gōng jǐ	to furnish; to provide; supply (as in supply and demand);  
宫	宮	Gōng, gōng	surname Gong;  palace; temple; castration (as corporal punishment); first note in pentatonic scale;  
巩固	鞏固	gǒng gù	to consolidate; consolidation; to strengthen;  
贡献	貢獻	gòng xiàn	to contribute; to dedicate; to devote; contribution; CL:個|个[ge4];  
构建	構建	goù jiàn	to construct (sth abstract);  
孤独	孤獨	gū dú	lonely; solitary;  
孤儿	孤兒	gū ér	orphan;  
姑姑	姑姑	gū gu	paternal aunt; CL:個|个[ge4];  
古典	古典	gǔ diǎn	classical;  
股	股	gǔ	thigh; part of a whole; portion of a sum; (stock) share; strand of a thread; low-level administrative unit, translated as 'section' or 'department' etc, ranked below 科[ke1]; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions;  
股东	股東	gǔ dōng	shareholder; stockholder;  
股票	股票	gǔ piào	share certificate; stock (finance);  
故障	故障	gù zhàng	malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software);  
顾	顧	Gù, gù	surname Gu;  to look after; to take into consideration; to attend to;  
刮	颳	guā, guā	to blow (of the wind);  
拐	拐	guǎi	to turn (a corner etc); to kidnap; to swindle; to misappropriate; walking stick; crutch; seven (used as a substitute for 七[qi1]);  
关爱	關愛	guān ài	to show concern and care for;  
关联	關聯	guān lián	related; linked; affiliated;  
观光	觀光	guān guāng	to tour; sightseeing; tourism;  
官司	官司	guān si	lawsuit; CL:場|场[chang2];  
管道	管道	guǎn dào	tubing; pipeline; (fig.) channel; means;  
光辉	光輝	guāng huī	radiance; glory; brilliant; magnificent;  
广阔	廣闊	guǎng kuò	wide; vast;  
轨道	軌道	guǐ dào	orbit; railway or tram line; fig. conventional way of thinking;  
跪	跪	guì	to kneel;  
国产	國産	guó chǎn	made in one's own country; made in China;  
国歌	國歌	guó gē	national anthem;  
国会	國會	guó huì	parliament; Congress; diet;  
国旗	國旗	guó qí	flag (of a country); CL:面[mian4];  
国王	國王	guó wáng	king; CL:個|个[ge4];  
果酱	果醬	guǒ jiàng	jam;  
果树	果樹	guǒ shù	fruit tree; CL:棵[ke1];  
过渡	過渡	guò dù	to cross over (by ferry); transition; interim; caretaker (administration);  
过后	過後	guò hoù	after the event;  
过时	過時	guò shí	old-fashioned; out of date; to be later than the time stipulated or agreed upon;  
海报	海報	hǎi bào	poster; playbill; notice;  
海底	海底	hǎi dǐ	seabed; seafloor; bottom of the ocean;  
海军	海軍	hǎi jūn	navy;  
海浪	海浪	hǎi làng	sea wave;  
海外	海外	hǎi wài	overseas; abroad;  
海湾	海灣	Hǎi wān, hǎi wān	(Persian) Gulf;  bay; gulf (body of water);  
海洋	海洋	hǎi yáng	ocean; CL:個|个[ge4];  
好容易	好容易	hǎo róng yì	with great difficulty; to have a hard time (convincing sb, relinquishing sth etc);  
好似	好似	hǎo sì	to seem; to be like;  
好转	好轉	hǎo zhuǎn	to improve; to take a turn for the better; improvement;  
好学	好學	hào xué	eager to study; studious; erudite;  
合约	閤約	hé yuē	treaty; contract;  
和谐	和諧	hé xié	harmonious; harmony; (euphemism) to censor;  
核心	核心	hé xīn	core; nucleus;  
黑夜	黑夜	hēi yè	night;  
很难说	很難說	hěnnánshuō	Hard to say
狠	狠	hěn	fierce; very;  
横	橫	héng, hèng	horizontal; across; (horizontal character stroke);  harsh and unreasonable; unexpected;  
衡量	衡量	héng liáng	to weigh; to examine; to consider;  
宏大	宏大	hóng dà	great; grand;  
洪水	洪水	hóng shuǐ	deluge; flood;  
忽略	忽略	hū lüè	to neglect; to overlook; to ignore;  
壶	壺	hú	pot; classifier for bottled liquid;  
互动	互動	hù dòng	to interact; interactive;  
户外	戶外	hù wài	outdoor;  
护	護	hù	to protect;  
花费	花費	huā fèi	expense; cost; to spend (time or money); expenditure;  
花瓶	花瓶	huā píng	flower vase; fig. just a pretty face; CL:對|对[dui4];  
花生	花生	huā shēng	peanut; groundnut; CL:粒[li4];  
化解	化解	huà jiě	to dissolve; to resolve (contradictions); to dispel (doubts); to iron out (difficulties); to defuse (conflicts); to neutralize (fears);  
幻想	幻想	huàn xiǎng	delusion; fantasy;  
患者	患者	huàn zhě	patient; sufferer;  
皇帝	皇帝	huáng dì	emperor; CL:個|个[ge4];  
回应	迴應	huí yìng	to respond; response;  
毁	毀	huǐ, huǐ, huǐ	variant of 毀|毁[hui3]; to defame; to slander;  
会见	會見	huì jiàn	to meet with (sb who is paying a visit); CL:次[ci4];  
会长	會長	huì zhǎng	president of a club, committee etc;  
绘画	繪畫	huì huà	drawing; painting;  
昏	昏	hūn, hūn	old variant of 昏[hun1];  
混	混	hún, hùn	confused; dirty; to mix; muddy; variant of 渾|浑[hun2];  to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless;  
混合	混閤	hùn hé	to mix; to blend;  
混乱	混亂	hùn luàn	confusion; chaos; disorder;  
活跃	活躍	huó yuè	active; lively; excited; to enliven; to brighten up;  
火箭	火箭	huǒ jiàn	rocket; CL:枚[mei2];  
机动车	機動車	jī dòng chē	motor vehicle;  
机关	機關	jī guān	mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; strategum; scheme; intrigue; plot; trick; CL:個|个[ge4];  
机械	機械	jī xiè	machine; machinery; mechanical; (old) cunning; scheming;  
基督教	基督教	Jī dū jiào	Christianity; Christian;  
激情	激情	jī qíng	passion; fervor; enthusiasm; strong emotion;  
吉利	吉利	Jí lì, jí lì	Geely, Chinese car make;  auspicious; lucky; propitious;  
