阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
办不到	辦不到	bàn bu dào	impossible; can't be done; no can do; unable to accomplish;  
半边天	半邊天	bàn biān tiān	half the sky; women of the new society; womenfolk;  
半场	半場	bàn chǎng	half of a game or contest; half-court;  
半岛	半島	bàn dǎo	peninsula;  
半路	半路	bàn lù	halfway; midway; on the way;  
半数	半數	bàn shù	half the number; half;  
半途而废	半途而廢	bàn tú ér fèi	to give up halfway (idiom); leave sth unfinished;  
半信半疑	半信半疑	bàn xìn bàn yí	half doubting; dubious; skeptical;  
半真半假	半真半假	bàn zhēn bàn jiǎ	(idiom) half true and half false;  
扮	扮	bàn	to disguise oneself as; to dress up; to play (a role); to put on (an expression);  
伴	伴	bàn	partner; companion; comrade; associate; to accompany;  
伴侣	伴侶	bàn lǚ	companion; mate; partner;  
伴随	伴隨	bàn suí	to accompany; to follow; to occur together with; concomitant;  
伴奏	伴奏	bàn zoù	to accompany (musically);  
拌	拌	bàn	to mix; to mix in; to toss (a salad);  
帮手	幫手	bāng shoǔ	helper; assistant;  
绑	綁	bǎng	to tie; bind or fasten together; to kidnap;  
绑架	綁架	bǎng jià	to kidnap; to abduct; to hijack; a kidnapping; abduction; staking;  
榜样	榜樣	bǎng yàng	example; model; CL:個|个[ge4];  
棒球	棒球	bàng qiú	baseball; CL:個|个[ge4],隻|只[zhi1];  
磅	磅	bàng	see 磅秤 scale; platform balance; (loanword) pound (unit of weight, about 454 grams);  
包袱	包袱	bāo fu	wrapping cloth; a bundle wrapped in cloth; load; weight; burden; funny part; punchline;  
包容	包容	bāo róng	to pardon; to forgive; to show tolerance; to contain; to hold; inclusive;  
包扎	包紮	bāo zā, bāo zā	to wrap up; to pack; to bind up (a wound);  
剥	剝	bāo, bō	to peel; to skin; to shell; to shuck;  to peel; to skin; to flay; to shuck;  
煲	煲	bāo	to cook slowly over a low flame; pot; saucepan;  
饱和	飽和	bǎo hé	saturation;  
饱满	飽滿	bǎo mǎn	full; plump;  
宝库	寶庫	bǎo kù	treasure-house; treasury; treasure-trove (often fig., book of treasured wisdom);  
宝藏	寶藏	bǎo zàng	precious (mineral) deposits; (budd.) the treasure of Buddha's law;  
保管	保管	bǎo guǎn	to hold in safekeeping; to have in one's care; to guarantee; certainly; surely; custodian; curator;  
保姆	保姆	bǎo mǔ	nanny; housekeeper;  
保暖	保暖	bǎo nuǎn	to stay warm; to protect against the cold;  
保鲜	保鮮	bǎoxiān	Preservation
保修	保修	bǎo xiū	to promise to keep sth in good repair; guarantee; warranty;  
保佑	保佑	bǎo yoù	to bless and protect; blessing;  
保障	保障	bǎo zhàng	to ensure; to guarantee; to safeguard;  
保质期	保質期	bǎo zhì qī	date of use (on foodstuffs); best before date;  
保重	保重	bǎo zhòng	to take care of oneself;  
堡垒	堡壘	bǎo lěi	fort;  
报	報	bào	to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1];  
报仇	報仇	bào choú	to take revenge; to avenge;  
报酬	報酬	bào chou	reward; remuneration;  
报废	報廢	bào fèi	to scrap; to be written off;  
报复	報復	bào fù	to make reprisals; to retaliate; revenge; retaliation;  
报社	報社	bào shè	newspaper (i.e. a company); CL:家[jia1];  
报亭	報亭	bào tíng	kiosk; newsstand;  
报销	報銷	bào xiāo	to submit an expense account; to apply for reimbursement; to write off; to wipe out;  
抱负	抱負	bào fù	aspiration; ambition;  
豹	豹	bào	leopard; panther;  
暴风骤雨	暴風驟雨	bào fēng zhoù yǔ	violent wind and rainstorm; hurricane; tempest;  
暴利	暴利	bào lì	sudden huge profits;  
暴躁	暴躁	bào zào	irascible; irritable; violent;  
曝光	曝光	bào guāng	to expose (photography); (fig.) to expose (a scandal); (advertising) exposure; Taiwan pr. [pu4 guang1];  
爆冷门	爆冷門	bào lěng mén	an upset (esp. in sports); unexpected turn of events; to pull off a coup; a breakthrough;  
爆满	爆滿	bào mǎn	filled to capacity (of theater, stadium, gymnasium etc);  
爆竹	爆竹	bào zhú	firecracker;  
卑鄙	卑鄙	bēi bǐ	base; mean; contemptible; despicable;  
悲哀	悲哀	bēi āi	grieved; sorrowful;  
悲观	悲觀	bēi guān	pessimistic;  
悲欢离合	悲歡離閤	bēi huān lí hé	joys and sorrows; partings and reunions; the vicissitudes of life;  
悲痛	悲痛	bēi tòng	grieved; sorrowful;  
碑	碑	bēi	a monument; an upright stone tablet; stele; CL:塊|块[kuai4],面[mian4];  
贝壳	貝殼	bèi ké	shell; conch; cowry; mother of pearl; hard outer skin; also pr. [bei4 qiao4];  
备课	備課	bèi kè	(of a teacher) to prepare lessons;  
备受	備受	bèi shoù	to fully experience (good or bad);  
备用	備用	bèi yòng	reserve; spare; alternate; backup;  
背面	背麵	bèi miàn	the back; the reverse side; the wrong side;  
背叛	背叛	bèi pàn	to betray;  
背诵	背誦	bèi sòng	to recite; to repeat from memory;  
被捕	被捕	bèi bǔ	to be arrested; under arrest;  
奔波	奔波	bēn bō	to rush about; to be constantly on the move;  
奔赴	奔赴	bēn fù	to rush to; to hurry to;  
本分	本分	běn fèn	(to play) one's part; one's role; one's duty; (to stay within) one's bounds; dutiful; keeping to one's role;  
本能	本能	běn néng	instinct;  
本钱	本錢	běn qián	capital; (fig.) asset; advantage; the means (to do sth);  
本色	本色	běn sè, běn shǎi	inherent qualities; natural qualities; distinctive character; true qualities;  natural color;  
本性	本性	běn xìng	natural instincts; nature; inherent quality;  
本意	本意	běn yì	original idea; real intention; etymon;  
本着	本著	běn zhe	based on...; in conformance with..; taking as one's main principle;  
奔	奔	bēn, bèn, bēn, bēn	variant of 奔[ben1]; variant of 奔[ben4];  to go to; to head for; towards;  
笨蛋	笨蛋	bèn dàn	fool; idiot;  
笨重	笨重	bèn zhòng	heavy; cumbersome; unwieldy;  
崩溃	崩潰	bēng kuì	to collapse; to crumble; to fall apart;  
绷	綳	bēng, bēng, běng	to stretch; taut; to tie; to bind;  to have a taut face;  
绷带	綳帶	bēng dài	bandage (loanword);  
蹦	蹦	bèng	to jump; to bounce; to hop;  
逼近	逼近	bī jìn	to press on towards; to close in on; to approach; to draw near;  
逼迫	逼迫	bī pò	to force; to compel; to coerce;  
逼真	逼真	bī zhēn	lifelike; true to life; distinctly; clearly;  
鼻涕	鼻涕	bí tì	nasal mucus; snivel;  
比比皆是	比比皆是	bǐ bǐ jiē shì	can be found everywhere;  
比不上	比不上	bǐ bù shàng	can't compare with;  
比起	比起	bǐ qǐ	compared with;  
比试	比試	bǐ shì	to have a competition; to measure with one's hand or arm; to make a gesture of measuring;  
比喻	比喻	bǐ yù	to compare; to liken to; metaphor; analogy; figure of speech; figuratively;  
鄙视	鄙視	bǐ shì	to despise; to disdain; to look down upon;  
必不可少	必不可少	bì bù kě shǎo	absolutely necessary; indispensable; essential;  
必定	必定	bì dìng	to be bound to; to be sure to;  
碧绿	碧綠	bì lǜ	dark green;  
弊病	弊病	bì bìng	malady; evil; malpractice; drawback; disadvantage;  
弊端	弊端	bì duān	malpractice; abuse; corrupt practice;  
壁画	壁畫	bì huà	mural (painting); fresco;  
避难	避難	bì nàn	refuge; to take refuge; to seek asylum (political etc);  
避暑	避暑	bì shǔ	to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke;  
边疆	邊疆	biān jiāng	border area; borderland; frontier; frontier region;  
边界	邊界	biān jiè	boundary; border;  
边远	邊遠	biān yuǎn	far from the center; remote; outlying;  
编号	編號	biān hào	to number; numbering; serial number;  
编剧	編劇	biān jù	to write a play; scenario; dramatist; screenwriter;  
编排	編排	biān pái	to arrange; to lay out;  
编写	編寫	biān xiě	to compile;  
编造	編造	biān zào	to compile; to draw up; to fabricate; to invent; to concoct; to make up; to cook up;  
鞭策	鞭策	biān cè	to spur on; to urge on; to encourage sb (e.g. to make progress);  
鞭炮	鞭炮	biān pào	firecrackers; string of small firecrackers; CL:枚[mei2];  
贬值	貶值	biǎn zhí	to become devaluated; to devaluate; to depreciate;  
变革	變革	biàn gé	to transform; to change;  
变幻莫测	變幻莫測	biàn huàn mò cè	to change unpredictably; unpredictable; erratic; treacherous;  
变迁	變遷	biàn qiān	changes; vicissitudes;  
变异	變異	biàn yì	variation;  
变质	變質	biàn zhì	to degenerate; to go bad; to deteriorate; metamorphosis;  
便道	便道	biàn dào	pavement; sidewalk; shortcut; makeshift road;  
便饭	便飯	biàn fàn	an ordinary meal; simple home cooking;  
便捷	便捷	biàn jié	convenient and fast;  
便利店	便利店	biàn lì diàn	convenience store;  
遍布	遍布	biàn bù	to cover the whole (area); to be found throughout;  
辨别	辨彆	biàn bié	to differentiate; to distinguish; to discriminate;  
辨认	辨認	biàn rèn	to recognize; to identify;  
辩	辯	biàn	to dispute; to debate; to argue; to discuss;  
辩护	辯護	biàn hù	to speak in defense of; to argue in favor of; to defend; to plead;  
辩解	辯解	biàn jiě	to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself;  
辫子	辮子	biàn zi	plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2];  
标	標	biāo	mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units;  
标榜	標榜	biāo bǎng	to flaunt; to advertise; to parade; boost; excessive praise;  
标本	標本	biāo běn	specimen; sample; the root cause and symptoms of a disease;  
标签	標簽	biāo qiān	label; tag; tab (of a window) (computing);  
标示	標示	biāo shì	to indicate;  
标语	標語	biāo yǔ	written slogan; placard; CL:幅[fu2],張|张[zhang1],條|条[tiao2];  
标致	標緻	Biāo zhì, biāo zhi	Peugeot;  beautiful (of woman); pretty;  
飙升	飆升	biāo shēng	to rise rapidly; to soar;  
表白	錶白	biǎo bái	to explain oneself; to express; to reveal one's thoughts or feelings; declaration; confession;  
表决	錶決	biǎo jué	to decide by vote; to vote;  
表述	錶述	biǎo shù	to formulate; enunciation; to explain sth precisely;  
表率	錶率	biǎo shuài	example; model;  
表态	錶態	biǎo tài	to declare one's position; to say where one stands;  
表彰	錶彰	biǎo zhāng	to honor; to commend; to cite (in dispatches);  
憋	憋	biē	to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath);  
别具匠心	彆具匠心	biéjùjiàngxīn	Unique
别看	彆看	biékàn	Don't look at
别墅	彆墅	bié shù	villa; CL:幢[zhuang4],座[zuo4];  
别说	彆說	biéshuō	Don't say
别提了	彆提瞭	bié tí le	say no more; don't bring it up; drop the subject;  
别致	彆緻	bié zhì, bié zhì	variant of 別緻|别致[bie2 zhi4];  
别扭	彆扭	biè niu	awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche;  
彬彬有礼	彬彬有禮	bīn bīn yoǔ lǐ	refined and courteous; urbane;  
滨海	濱海	Bīn hǎi, bīn hǎi	Binhai (place name); Binhai New District, subprovincial district of Tianjin; Binhai county in Yancheng 鹽城|盐城[Yan2 cheng2], Jiangsu; fictitious city Binhai in political satire;  coastal; bordering the sea;  
缤纷	繽紛	bīn fēn	vast and various; rich and diverse;  
冰棍儿	冰棍兒	bing1 gun4 r5	ice lolly; popsicle;  
冰山	冰山	bīng shān	iceberg; CL:座[zuo4];  
丙	丙	bǐng	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc; ancient Chinese compass point: 165°; propyl;  
秉承	秉承	bǐng chéng	to take orders; to receive commands; to carry on (a tradition);  
并非	並非	bìng fēi	really isn't;  
并购	並購	bìng goù	merger and acquisition (M and A); acquisition; to take over;  
并列	並列	bìng liè	to stand side by side; to be juxtaposed;  
并行	並行	bìng xíng	to proceed in parallel; side by side (of two processes, developments, thoughts etc);  
病床	病床	bìng chuáng	hospital bed; sickbed;  
病症	病癥	bìng zhèng	disease; illness;  
拨	撥	bō	to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch;  
拨款	撥款	bō kuǎn	to allocate funds; appropriation;  
拨通	撥通	bōtōng	Dial
波及	波及	bō jí	to spread to; to involve; to affect;  
波澜	波瀾	bō lán	billows; great waves (fig. of a story with great momentum);  
波涛	波濤	bō tāo	great waves; billows;  
波折	波摺	bō zhé	twists and turns;  
剥夺	剝奪	bō duó	to deprive; to expropriate; to strip (sb of his property);  
剥削	剝削	bō xuē	to exploit; exploitation;  
伯伯	伯伯	bó bo	father's elder brother; uncle;  
伯父	伯父	bó fù	father's elder brother; term of respect for older man; CL:個|个[ge4];  
伯母	伯母	bó mǔ	wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4];  
驳回	駁迴	bó huí	to reject; to turn down; to overrule;  
脖子	脖子	bó zi	neck; CL:個|个[ge4];  
搏斗	搏鬥	bó doù	to wrestle; to fight; to struggle;  
不定	不定	bù dìng	indefinite; indeterminate; (botany) adventitious;  
不见得	不見得	bù jiàn de	not necessarily; not likely;  
不利于	不利於	bùlìyú	is harmful to
不慎	不慎	bù shèn	incautious; inattentive;  
不适	不適	bù shì	unwell; indisposed; out of sorts;  
不算	不算	bùsuàn	Not count
不像话	不像話	bù xiàng huà	unreasonable; shocking; outrageous;  
不屑	不屑	bù xiè	to disdain to do sth; to think sth not worth doing; to feel it beneath one's dignity;  
不懈	不懈	bù xiè	untiring; unremitting; indefatigable;  
不亚于	不亞於	bù yà yú	no less than; not inferior to;  
不亦乐乎	不亦樂乎	bù yì lè hū	lit. isn't that a joy? (quote from Confucius); fig. (jocularly) extremely; awfully;  
不翼而飞	不翼而飛	bù yì ér fēi	to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire;  
不用说	不用說	bùyòngshuō	Needless to say
不正之风	不正之風	bù zhèng zhī fēng	unhealthy tendency;  
补给	補給	bǔ jǐ	supply; replenishment; to replenish;  
补救	補救	bǔ jiù	to remedy;  
捕捉	捕捉	bǔ zhuō	to catch; to seize; to capture;  
哺育	哺育	bǔ yù	to feed; to nurture; to foster;  
不耻下问	不恥下問	bù chǐ xià wèn	not feel ashamed to ask and learn from one's subordinates;  
不辞而别	不辭而彆	bù cí ér bié	to leave without saying good-bye;  
不得而知	不得而知	bù dé ér zhī	unknown; unable to find out;  
不得已	不得已	bù dé yǐ	to act against one's will; to have no alternative but to; to have to; to have no choice; must;  
不妨	不妨	bù fáng	there is no harm in; might as well;  
不服	不服	bù fú	not to accept sth; to want to have sth overruled or changed; to refuse to obey or comply; to refuse to accept as final; to remain unconvinced by; not to give in to;  
不服气	不服氣	bùfúqì	Uncomfortable
不假思索	不假思索	bù jiǎ sī suǒ	to act without taking time to think (idiom); to react instantly; to fire from the hip;  
不解	不解	bù jiě	to not understand; to be puzzled by; indissoluble;  
不经意	不經意	bù jīng yì	not paying attention; carelessly; by accident;  
不景气	不景氣	bù jǐng qì	slack; in a slump;  
不堪	不堪	bù kān	cannot bear; cannot stand; utterly; extremely;  
不可避免	不可避免	bù kě bì miǎn	unavoidably;  
不可思议	不可思議	bù kě sī yì	inconceivable (idiom); unimaginable; unfathomable;  
不肯	不肯	bùkěn	Refuse
不理	不理	bù lǐ	to refuse to acknowledge; to pay no attention to; to take no notice of; to ignore;  
不了了之	不瞭瞭之	bù liǎo liǎo zhī	to settle a matter by leaving it unsettled; to end up with nothing definite;  
不难	不難	bùnán	Not difficult
不平	不平	bù píng	uneven; injustice; unfairness; wrong; grievance; indignant; dissatisfied;  
不起眼	不起眼	bù qǐ yǎn	unremarkable; nothing out of the ordinary;  
不容	不容	bù róng	must not; cannot; to not allow; cannot tolerate;  
不如说	不如說	bùrúshuō	rather say
不同寻常	不同尋常	bùtóngxúncháng	unusual
不为人知	不為人知	bù wéi rén zhī	not known to anyone; secret; unknown;  
不惜	不惜	bù xī	not stint; not spare; not hesitate (to do sth); not scruple (to do sth);  
不相上下	不相上下	bù xiāng shàng xià	equally matched; about the same;  
不宜	不宜	bù yí	not suitable; inadvisable; inappropriate;  
不已	不已	bù yǐ	endlessly; incessantly;  
不以为然	不以為然	bù yǐ wéi rán	not to accept as correct (idiom); to object; to disapprove; to take exception to;  
不由得	不由得	bù yoú de	can't help; cannot but;  
不由自主	不由自主	bù yoú zì zhǔ	can't help; involuntarily (idiom);  
不予	不予	bù yú	to withhold; to refuse;  
不约而同	不約而同	bù yuē ér tóng	to agree by chance (idiom); taking the same action without prior consultation;  
不知	不知	bù zhī	not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc);  
不知不觉	不知不覺	bù zhī bù jué	unconsciously; unwittingly;  
不准	不準	bù zhǔn	not to allow; to forbid; to prohibit;  
布局	布局	bù jú	arrangement; composition; layout; opening (chess jargon);  
步伐	步伐	bù fá	pace; (measured) step; march;  
步入	步入	bù rù	to step into; to enter;  
步骤	步驟	bù zhoù	procedure; step;  
部件	部件	bù jiàn	part; component;  
部署	部署	bù shǔ	to dispose; to deploy; deployment;  
猜谜	猜謎	cāimí	Guess
猜想	猜想	cāi xiǎng	to guess; to conjecture; to suppose; to suspect;  
才华	纔華	cái huá	talent; CL:份[fen4];  
财经	財經	cái jīng	finance and economics;  
财力	財力	cái lì	financial resources; financial ability;  
财务	財務	cái wù	financial affairs;  
财物	財物	cái wù	property; belongings;  
财政	財政	cái zhèng	finances (public); financial;  
裁	裁	cái	to cut out (as a dress); to cut; to trim; to reduce; to diminish; to cut back (e.g. on staff); decision; judgment;  
裁定	裁定	cái dìng	ruling;  
裁决	裁決	cái jué	ruling; adjudication;  
采	采	cǎi, cǎi, cài	color; complexion; looks; variant of 彩[cai3]; variant of 採|采[cai3];  allotment to a feudal noble;  
采集	采集	cǎi jí	to gather; to collect; to harvest;  
采矿	采礦	cǎi kuàng	mining;  
彩电	彩電	cǎi diàn	color TV;  
彩虹	彩虹	cǎi hóng	rainbow; CL:道[dao4];  
彩霞	彩霞	cǎi xiá	clouds tinged with sunset hues;  
菜市场	菜市場	cài shì chǎng	food market;  
参见	參見	cān jiàn	to refer to; see also; confer (cf.); to pay respect to;  
参军	參軍	cān jūn	to join the army;  
参谋	參謀	cān moú	staff officer; to give advice;  
参照	參照	cān zhào	to consult a reference; to refer to (another document);  
餐桌	餐桌	cān zhuō	dining table; dinner table;  
残	殘	cán	to destroy; to spoil; to ruin; to injure; cruel; oppressive; savage; brutal; incomplete; disabled; to remain; to survive; remnant; surplus;  
残留	殘留	cán liú	to remain; left over; surplus; remnant;  
残缺	殘缺	cán quē	badly damaged; shattered;  
残忍	殘忍	cán rěn	cruel; mean; merciless; ruthless;  
惭愧	慚愧	cán kuì	ashamed;  
惨白	慘白	cǎn bái	deathly pale;  
惨痛	慘痛	cǎn tòng	bitter; painful; deeply distressed;  
惨重	慘重	cǎn zhòng	disastrous;  
灿烂	燦爛	càn làn	to glitter; brilliant; splendid;  
苍蝇	蒼蠅	cāng ying	housefly; CL:隻|只[zhi1];  
沧桑	滄桑	cāng sāng	great changes; abbr. of 滄海桑田|沧海桑田[cang1 hai3 sang1 tian2];  
舱	艙	cāng	cabin; the hold of a ship or airplane;  
藏匿	藏匿	cáng nì	to cover up; to conceal; to go into hiding;  
藏品	藏品	cáng pǐn	museum piece; collector's item; precious object;  
藏身	藏身	cáng shēn	to hide; to go into hiding; to take refuge;  
操控	操控	cāo kòng	to control; to manipulate;  
操劳	操勞	cāo láo	to work hard; to look after;  
操心	操心	cāo xīn	to worry about;  
槽	槽	cáo	trough; manger; groove; channel; (Tw) (computing) hard drive;  
草案	草案	cǎo àn	draft (legislation, proposal etc);  
草坪	草坪	cǎo píng	lawn;  
侧面	側麵	cè miàn	lateral side; side; aspect; profile;  
侧重	側重	cè zhòng	to place particular emphasis on;  
测算	測算	cè suàn	to take measurements and calculate;  
测验	測驗	cè yàn	test; to test; CL:次[ci4],個|个[ge4];  
层出不穷	層齣不窮	céng chū bù qióng	more and more emerge; innumerable succession; breeding like flies (idiom);  
蹭	蹭	cèng	to rub against; to walk slowly; to freeload (colloquial);  
差错	差錯	chā cuò	mistake; slip-up; fault; error (in data transmission); accident; mishap;  
差额	差額	chā é	balance (financial); discrepancy (in a sum or quota); difference;  
插手	插手	chā shoǔ	to get involved in; to meddle; interference;  
插图	插圖	chā tú	illustration;  
插嘴	插嘴	chā zuǐ	to interrupt (sb talking); to butt in; to cut into a conversation;  
茶道	茶道	chá dào	Japanese tea ceremony; sado;  
茶馆儿	茶館兒	cha2 guan3 r5	a teashop;  
查处	查處	chá chǔ	to investigate and handle (a criminal case);  
查明	查明	chá míng	to investigate and find out; to ascertain;  
查找	查找	chá zhǎo	to search for; to look up;  
察觉	察覺	chá jué	to sense; to perceive; to become aware of; to detect;  
察看	察看	chá kàn	to watch; to look carefully at;  
诧异	詫異	chà yì	flabbergasted; astonished;  
掺	摻	chān, shǎn	variant of 攙|搀[chan1]; to mix;  to grasp;  
搀	攙	chān	to take by the arm and assist; to mix; to blend; to dilute; to adulterate;  
馋	饞	chán	gluttonous; greedy; to have a craving;  
禅杖	禪杖	chán zhàng	the staff of a Buddhist monk;  
缠	纏	chán	to wind around; to wrap round; to coil; tangle; to involve; to bother; to annoy;  
产	産	chǎn	to give birth; to reproduce; to produce; product; resource; estate; property;  
产地	産地	chǎn dì	the source (of a product); place of origin; manufacturing location;  
产物	産物	chǎn wù	product; result (of);  
产值	産值	chǎn zhí	value of output; output value;  
铲	鏟	chǎn, chǎn	to shovel; to remove; spade; shovel;  
铲子	鏟子	chǎn zi	shovel; spade; trowel; spatula (kitchen utensil); CL:把[ba3];  
阐述	闡述	chǎn shù	to expound (a position); to elaborate (on a topic); to treat (a subject);  
颤抖	顫抖	chàn doǔ	to shudder; to shiver; to shake; to tremble;  
猖狂	猖狂	chāng kuáng	savage; furious;  
长达	長達	cháng dá	to extend as long as; to lengthen out to;  
长期以来	長期以來	cháng qī yǐ lái	ever since a long time ago;  
长效	長效	cháng xiào	to be effective over an extended period;  
长征	長徵	Cháng zhēng, cháng zhēng	Long March (retreat of the Red Army 1934-1935);  expedition; long journey;  
长足	長足	cháng zú	remarkable (progress, improvement, expansion etc);  
常理	常理	cháng lǐ	common sense; conventional reasoning and morals;  
常人	常人	cháng rén	ordinary person;  
常态	常態	cháng tài	normal state;  
常温	常溫	cháng wēn	room temperature; ordinary temperatures;  
偿还	償還	cháng huán	to repay; to reimburse;  
嫦娥	嫦娥	Cháng é	Chang'e, the lady in the moon (Chinese mythology); one of the Chang'e series of PRC lunar spacecraft;  
厂家	廠傢	chǎng jiā	factory; factory owners;  
