爱心	愛心	ai4xin1
难道	難道	nan2dao4
难度	難度	nan2du4
内	內	nei4
内容	內容	nei4rong2
内心	內心	nei4xin1
能不能	能不能	neng2 bu4neng2	can or cannot
能力	能力	neng2li4
年初	年初	nian2chu1
年代	年代	nian2dai4
年底	年底	nian2di3
年纪	年紀	nian2ji4
念	念	nian4
牛	牛	niu2
农村	農村	nong2cun1
农民	農民	nong2min2
农业	農業	nong2ye4
女子	女子	nü3zi3
暖和	暖和	nuan3huo5
怕	怕	pa4
拍	拍	pai1
排	排	pai2
排名	排名	pai2 ming2
牌子	牌子	pai2zi5
派	派	pai4
判断	判斷	pan4duan4
胖	胖	pang4
跑步	跑步	pao3 bu4
配	配	pei4
配合	配合	pei4he5
批评	批評	pi1ping2
批准	批准	pi1 zhun3
皮	皮	pi2
皮包	皮包	pi2bao1
啤酒	啤酒	pi2jiu3
票价	票價	piao4jia4
评价	評價	ping2jia4
苹果	蘋果	ping2guo3
破	破	po4
破坏	破壞	po4huai4
普遍	普遍	pu3bian4
普及	普及	pu3ji2
期	期	qi1
齐	齊	qi2
其次	其次	qi2ci4
其实	其實	qi2shi2
奇怪	奇怪	qi2guai4
气候	氣候	qi4hou4
千万	千萬	qian1wan4
前后	前後	qian2hou4
前进	前進	qian2jin4
前面	前面	qian2mian5
前往	前往	qian2wang3
强	強	qiang2
强大	強大	qiang2da4
强调	強調	qiang2diao4
强烈	強烈	qiang2lie4
桥	橋	qiao2
巧	巧	qiao3
亲	親	qin1
亲切	親切	qin1qie4
亲人	親人	qin1ren2
亲自	親自	qin1zi4
情感	情感	qing2gan3
情况	情況	qing2kuang4
请教	請教	qing3jiao4
庆祝	慶祝	qing4zhu4
球迷	球迷	qiu2mi2
区	區	qu1
区别	區別	qu1bie2
取消	取消	qu3xiao1
去世	去世	qu4shi4
全场	全場	quan2chang3
全面	全面	quan2mian4
全球	全球	quan2qiu2
缺	缺	que1
缺点	缺點	que1dian3
缺少	缺少	que1shao3
确保	確保	que4bao3
确定	確定	que4ding4
确实	確實	que4shi2
裙子	裙子	qun2zi5
群	群	qun2
热爱	熱愛	re4ai4
热烈	熱烈	re4lie4
人才	人才	ren2cai2
人工	人工	ren2gong1
人类	人類	ren2lei4
人民	人民	ren2min2
人民币	人民幣	ren2min2bi4
人群	人群	ren2qun2
人生	人生	ren2sheng1
人员	人員	ren2yuan2
认出	認出	ren4 chu1
认得	認得	ren4 de5
认可	認可	ren4ke3
任	任	ren4
任何	任何	ren4he2
任务	任務	ren4wu5
仍	仍	reng2
仍然	仍然	reng2ran2
日常	日常	ri4chang2
容易	容易	rong2yi4
如何	如何	ru2he2
散步	散步	san4 bu4
沙发	沙發	sha1fa1
沙子	沙子	sha1zi5
伤	傷	shang1
伤心	傷心	shang1 xin1
商品	商品	shang1pin3
商业	商業	shang1ye4
上来	上來	shang4 lai5
上面	上面	shang4mian5
上去	上去	shang4 qu5
上升	上升	shang4sheng1
上衣	上衣	shang4yi1
设备	設備	she4bei4
设计	設計	she4ji4
设立	設立	she4li4
社会	社會	she4hui4
身份证	身份證	shen1fen4zheng4
深	深	shen1
深刻	深刻	shen1ke4
深入	深入	shen1ru4
升	升	sheng1
生	生	sheng1
生产	生產	sheng1chan3
生存	生存	sheng1cun2
生动	生動	sheng1dong4
生命	生命	sheng1ming4
生意	生意	sheng1yi5
生长	生長	sheng1zhang3
声明	聲明	sheng1ming2
胜	勝	sheng4
胜利	勝利	sheng4li4
失去	失去	shi1qu4
石头	石頭	shi2tou5
石油	石油	shi2you2
时	時	shi2
时代	時代	shi2dai4
时刻	時刻	shi2ke4
实际上	實際上	shi2ji4shang5
实力	實力	shi2li4
实行	實行	shi2xing2
实验	實驗	shi2yan4
实验室	實驗室	shi2yan4shi4
食品	食品	shi2pin3
使	使	shi3
始终	始終	shi3zhong1
世纪	世紀	shi4ji4
世界	世界	shi4jie4
世界杯	世界杯	shi4jie4bei1
市场	市場	shi4chang3
事故	事故	shi4gu4
事件	事件	shi4jian4
事实	事實	shi4shi2
事实上	事實上	shi4shi2shang5
事业	事業	shi4ye4
试题	試題	shi4ti2
试验	試驗	shi4yan4
适合	適合	shi4he2
适应	適應	shi4ying4
适用	適用	shi4yong4
室	室	shi4
收费	收費	shou1 fei4
收看	收看	shou1kan4
收听	收聽	shou1ting1
收音机	收音機	shou1yin1ji1
手续	手續	shou3xu4
手指	手指	shou3zhi3
首都	首都	shou3du1
首先	首先	shou3xian1
受	受	shou4
受伤	受傷	shou4 shang1
书架	書架	shu1jia4
输	輸	shu1
输入	輸入	shu1ru4
熟人	熟人	shu2ren2
属	屬	shu3
属于	屬於	shu3yu2
束	束	shu4
数量	數量	shu4liang4
双	雙	shuang1
双方	雙方	shuang1fang1
思想	思想	si1xiang3
死	死	si3
速度	速度	su4du4
随	隨	sui2
所	所	suo3
所长	所長	suo3chang2
台	颱	tai2
谈	談	tan2
谈话	談話	tan2hua4
谈判	談判	tan2pan4
汤	湯	tang1
糖	糖	tang2
特色	特色	te4se4
提前	提前	ti2qian2
提问	提問	ti2wen4
题目	題目	ti2mu4
体会	體會	ti3hui4
体现	體現	ti3xian4
体验	體驗	ti3yan4
天空	天空	tian1kong1
甜	甜	tian2
调整	調整	tiao2zheng3
跳	跳	tiao4
跳高	跳高	tiao4gao1
跳舞	跳舞	tiao4 wu3
跳远	跳遠	tiao4yuan3
铁	鐵	tie3
铁路	鐵路	tie3lu4
听力	聽力	ting1li4
听众	聽眾	ting1zhong4
停止	停止	ting2zhi3
通常	通常	tong1chang2
通信	通信	tong1xin4
同意	同意	tong2yi4
痛	痛	tong4
痛苦	痛苦	tong4ku3
头	頭	tou2
头脑	頭腦	tou2nao3
突出	突出	tu1 chu1
突然	突然	tu1ran2
图	圖	tu2
图画	圖畫	tu2hua4
土	土	tu3
团	團	tuan2
团结	團結	tuan2jie2
团体	團體	tuan2ti3
推动	推動	tui1 dong4
推广	推廣	tui1guang3
推进	推進	tui1jin4
推开	推開	tui1kai1
退	退	tui4
退出	退出	tui4 chu1
退休	退休	tui4xiu1
外交	外交	wai4jiao1
外面	外面	wai4mian5
外文	外文	wai4wen2
完美	完美	wan2mei3
完善	完善	wan2shan4
完整	完整	wan2zheng3
玩具	玩具	wan2ju4
往往	往往	wang3wang3
危害	危害	wei1hai4
危险	危險	wei1xian3
为	為	wei4
围	圍	wei2
伟大	偉大	wei3da4
卫生	衛生	wei4sheng1
卫生间	衛生間	wei4sheng1jian1
为了	為了	wei4le5
温暖	溫暖	wen1nuan3
文化	文化	wen2hua4
文件	文件	wen2jian4
文明	文明	wen2ming2
文学	文學	wen2xue2
文章	文章	wen2zhang1
文字	文字	wen2zi4
握手	握手	wo4 shou3
屋子	屋子	wu1zi5
武器	武器	wu3qi4
武术	武術	wu3shu4
舞台	舞臺	wu3tai2
西部	西部	xi1bu4
希望	希望	xi1wang4
系	系	xi4
下来	下來	xia4 lai5
下面	下面	xia4mian5
下去	下去	xia4 qu5
先进	先進	xian1jin4
显得	顯得	xian3de5
显然	顯然	xian3ran2
显示	顯示	xian3shi4
现场	現場	xian4chang3
现代	現代	xian4dai4
现金	現金	xian4jin1
现实	現實	xian4shi2
现象	現象	xian4xiang4
线	線	xian4
相比	相比	xiang1bi3
相当	相當	xiang1dang1
相关	相關	xiang1guan1
相互	相互	xiang1hu4
相似	相似	xiang1si4
香	香	xiang1
香蕉	香蕉	xiang1jiao1
消费	消費	xiao1fei4
消失	消失	xiao1shi1
消息	消息	xiao1xi5
效果	效果	xiao4guo3
写作	寫作	xie3zuo4
血	血	xue4
心	心	xin1
信	信	xin4
信封	信封	xin4feng1
信任	信任	xin4ren4
行李	行李	xing2li5
形成	形成	xing2cheng2
形式	形式	xing2shi4
形象	形象	xing2xiang4
形状	形狀	xing2zhuang4
幸福	幸福	xing4fu2
幸运	幸運	xing4yun4
性	性	xing4
性别	性別	xing4bie2
性格	性格	xing4ge2
修	修	xiu1
修改	修改	xiu1gai3
需求	需求	xu1qiu2
需要	需要	xu1yao4
宣布	宣布	xuan1bu4
宣传	宣傳	xuan1chuan2
选手	選手	xuan3shou3
学费	學費	xue2fei4
训练	訓練	xun4lian4
压	壓	ya1
压力	壓力	ya1li4
烟	煙	yan1
眼前	眼前	yan3qian2
演	演	yan3
演唱	演唱	yan3chang4
演唱会	演唱會	yan3chang4hui4
演出	演出	yan3chu1
演员	演員	yan3yuan2
羊	羊	yang2
阳光	陽光	yang2guang1
要是	要是	yao4shi5
衣架	衣架	yi1jia4
一切	一切	yi1qie4
已	已	yi3
以来	以來	yi3lai2
一方面	一方面	yi1fang1mian4
艺术	藝術	yi4shu4
意外	意外	yi4wai4
意义	意義	yi4yi4
因此	因此	yin1ci3
银	銀	yin2
银牌	銀牌	yin2pai2
印象	印象	yin4xiang4
应当	應當	ying1dang1
迎接	迎接	ying2jie1
营养	營養	ying2yang3
赢	贏	ying2
影视	影視	ying3shi4
应用	應用	ying4yong4
优点	優點	you1dian3
优势	優勢	you1shi4
由	由	you2
由于	由於	you2yu2
邮件	郵件	you2jian4
邮票	郵票	you2piao4
邮箱	郵箱	you2xiang1
游	游	you2
游戏	遊戲	you2xi4
游泳	游泳	you2yong3
有的是	有的是	you3de5shi4
有利	有利	you3li4
有效	有效	you3xiao4
预报	預報	yu4bao4
预防	預防	yu4fang2
预计	預計	yu4ji4
预习	預習	yu4xi2
员	員	yuan2
员工	員工	yuan2gong1
愿望	願望	yuan4wang4
约	約	yue1
乐队	樂隊	yue4dui4
运输	運輸	yun4shu1
杂志	雜誌	za2zhi4
早已	早已	zao3yi3
造	造	zao4
造成	造成	zao4cheng2
责任	責任	ze2ren4
增加	增加	zeng1jia1
增长	增長	zeng1zhang3
展开	展開	zhan3kai1
张	張	zhang1
照	照	zhao4
者	者	zhe3
真实	真實	zhen1shi2
争	爭	zheng1
争取	爭取	zheng1qu3
整	整	zheng3
整个	整個	zheng3ge4
整理	整理	zheng3li3
整齐	整齊	zheng3qi2
整体	整體	zheng3ti3
整天	整天	zheng3tian1
整整	整整	zheng3zheng3
正	正	zheng4
正式	正式	zheng4shi4
证	證	zheng4
证件	證件	zheng4jian4
证据	證據	zheng4ju4
证明	證明	zheng4ming2
支	支	zhi1
支持	支持	zhi1chi2
支付	支付	zhi1fu4
只	只	zhi3
直	直	zhi2
直播	直播	zhi2bo1
直到	直到	zhi2dao4
值	值	zhi2
值得	值得	zhi2 de5
职工	職工	zhi2gong1
职业	職業	zhi2ye4
只好	只好	zhi3hao3
只是	只是	zhi3shi4
只有	只有	zhi3you3
指	指	zhi3
指出	指出	zhi3chu1
指导	指導	zhi3dao3
至今	至今	zhi4jin1
至少	至少	zhi4shao3
志愿	志願	zhi4yuan4
志愿者	志願者	zhi4yuan4zhe3
制定	制定	zhi4ding4
制度	制度	zhi4du4
制造	製造	zhi4zao4
制作	製作	zhi4zuo4
中部	中部	zhong1bu4
中华民族	中華民族	Zhong1hua2min2zu2
终于	終於	zhong1yu2
钟	鐘	zhong1
种	種	zhong3
种子	種子	zhong3zi5
重大	重大	zhong4da4
周围	週圍	zhou1wei2
猪	豬	zhu1
主持	主持	zhu3chi2
主动	主動	zhu3dong4
主任	主任	zhu3ren4
主意	主意	zhu3yi5
主张	主張	zhu3zhang1
注意	注意	zhu4 yi4
祝	祝	zhu4
抓	抓	zhua1
抓住	抓住	zhua1 zhu4
专家	專家	zhuan1jia1
专门	專門	zhuan1men2
专题	專題	zhuan1ti2
专业	專業	zhuan1ye4
转	轉	zhuan3
转变	轉變	zhuan3bian4
状况	狀況	zhuang4kuang4
状态	狀態	zhuang4tai4
追	追	zhui1
准	準	zhun3
资格	資格	zi1ge5
资金	資金	zi1jin1
子女	子女	zi3nü3
自从	自從	zi4cong2
自动	自動	zi4dong4
自觉	自覺	zi4jue2
自然	自然	zi4ran5
自身	自身	zi4shen1
自主	自主	zi4zhu3
总	縂	zong3
总结	總結	zong3jie2
总是	總是	zong3shi4
足够	足夠	zu2gou4
足球	足球	zu2qiu2
组合	組合	zu3he2
左右	左右	zuo3you4
作品	作品	zuo4pin3
作者	作者	zuo4zhe3
做客	做客	zuo4 ke4
