挨著,挨着,āi zhe,"near"
閉,闭,bì,"shut, stop, close, stop up, obstruct, switch off, obstruction, turn off, seel"
邊緣,边缘,biānyuán,"margin, brink, periphery, bead, brim, borderline, skirt, lip, fringe, delimitation, flange, threshold, boundary line, perimeter, rand, outer boundary, hem, line, border, verge, marginality, marge, skirting, edging, edge, corner, rim"
編制,编制,biānzhì,authorized staff/force
扁,扁,Piānbiǎnpiān,"surname Pian, flat, (coll.) to beat (sb) up, old variant of 匾[bian3], small boat"
變更,变更,biàngēng,"change, modify"
變換,变换,biàn huàn,"to transform, to convert, to vary, to alternate, a transformation"
變形,变形,biàn xíng,"deformation, to become deformed, to change shape, to morph"
便,便,biàn,"as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case"
便是,便是,biànshì,even if
遍地,遍地,biàn dì,"everywhere, all over"
錶麵上,表面上,biǎomiànshàng,"Surface on the surface"
病房,病房,bìngfáng,"sickroom, ward, hospital ward, hospital room"
病情,病情,bìngqíng,patient's condition
撥打,拨打,bō dǎ,"to call, to dial"
波動,波动,bōdòng,"undulate, fluctuate"
波浪,波浪,bō làng,"wave"
播,播,bō,"to sow, to scatter, to spread, to broadcast, Taiwan pr. [bo4]"
不便,不便,búbiàn,"inconvenient, inappropriate"
不見,不见,bù jiàn,"not to see, not to meet, to have disappeared, to be missing"
不料,不料,búliào,unexpectedly
不再,不再,búzài,no more/longer
不至於,不至于,bù zhì yú,"unlikely to go so far as to, not as bad as"
補考,补考,bǔ kǎo,"to sit for a makeup exam, to resit an exam, makeup exam, resit"
補課,补课,bǔ kè,"to make up missed lesson, to reschedule a class"
補習,补习,bǔxí,take lessons after school/work
補助,补助,bǔzhù,subsidize
捕,捕,bǔ,"prawn, seizure, seize, arrest, catch"
不成,不成,bù chéng,"won't do, unable to, (at the end of a rhetorical question) can that be?"
不禁,不禁,bùjīn,can't help (doing sth.)
不僅僅,不仅仅,bùjǐnjǐn,not only
不通,不通,bù tōng,"to be obstructed, to be blocked up, to be impassable, to make no sense, to be illogical"
不怎麼,不怎么,bù zěn me,"not very, not particularly"
不怎麼樣,不怎么样,bù zěn me yàng,"not up to much, very indifferent, nothing great about it, nothing good to be said about it"
不值,不值,bù zhí,"not worth"
布滿,布满,bù mǎn,"to be covered with, to be filled with"
部隊,部队,bùduì,"military personnel, troops, troop, regular army, soldiery, army, party, company"
採納,采纳,cǎi nà,"to accept, to adopt"
踩,踩,cǎi,"tread, tramp, tromp, scrunch, trample, walk, step, step on"
參賽,参赛,cānsài,"take part in match, enter competition"
參展,参展,cānzhǎn,participate in exhibition
餐,餐,cān,m.[event]
殘疾,残疾,cán jí,"disabled, handicapped, deformity on a person or animal"
殘疾人,残疾人,cán jí rén,"disabled person"
殘酷,残酷,cánkù,"brutal, ruthless"
慘,惨,cǎn,"tragic, gloomy, savage, sorrowful, cruel, pitiful, miserable, dark"
倉庫,仓库,cāng kù,"depot, storehouse, warehouse"
藏,藏,cáng,"lay by, concealment, conceal, hide, store"
操縱,操纵,cāozòng,"operate, control, rig, manipulate"
廁所,厕所,cèsuǒ,"john, W.C., can, jakes, lavatory, lav, cloaca, crapper, privy, water closet, bathroom, bog, washroom, closet, convenience, stool, rear, latrine, loo, facility, toilet, John, cloakroom"
側,侧,cèzhāi,"the side, to incline towards, to lean, inclined, lateral, side, lean on one side"
測定,测定,cè dìng,"to survey and evaluate"
策劃,策划,cè huà,"to plot, to scheme, to bring about, to engineer, planning, producer, planner"
策略,策略,cèluè,"coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r"
層面,层面,céngmiàn,"storey, level, side, story, range, floor, coverage"
差異,差异,chāyì,"gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction"
查出,查出,cháchū,"find, look_up, smell, investigate, find_out, find out, smoke_out, detect, track_down, smoke out, examine"
查看,查看,chá kàn,"to look over, to examine, to check up, to ferret out"
拆遷,拆迁,chāi qiān,"to demolish a building and relocate the inhabitants"
產量,产量,chǎnliàng,"turnout, turnoff, outturn, capacity, output, produce, product, fruitage, throughput, fruit, production, yield, crop"
昌盛,昌盛,chāng shèng,"prosperous"
長短,长短,cháng duǎn,"length, duration, accident, right and wrong, good and bad, long and short"
長假,长假,cháng jià,"long vacation, refers to one week national holiday in PRC starting 1st May and 1st Oct"
長久,长久,chángjiǔ,"permanently, long, for a long time"
長跑,长跑,cháng pǎo,"long-distance running"
長遠,长远,chángyuǎn,"long-range, long, long-term, far-reaching"
常規,常规,cháng guī,"code of conduct, conventions, common practice, routine (medical procedure etc)"
常年,常年,cháng nián,"all year round, for years on end, average year"
廠商,厂商,chǎngshāng,"factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business"
場地,场地,chǎngdì,"grounds, site, ground, yard, precinct, space, course, place, park, property"
場館,场馆,chǎng guǎn,"sporting venue, arena"
場景,场景,chángyǐng,"stage set, set, scenery, spectacle, scene, setting, set decoration"
暢通,畅通,chàng tōng,"unimpeded, free-flowing, straight path, unclogged, move without obstruction"
超,超,chāo,"to exceed, to overtake, to surpass, to transcend, to pass, to cross, ultra-, super-"
超出,超出,chāo chū,"to exceed, to overstep, to go too far, to encroach"
炒,炒,chǎo,"saute, stir-fry, roast, speculate, parch, fry, saut#2e, fire, saut#2 e, sack, scramble"
炒股,炒股,chǎo gǔ,"(coll.) to speculate in stocks"
炒作,炒作,chǎozuò,stir
車號,车号,chēhào,"Car number"
車牌,车牌,chē pái,"license plate"
車展,车展,chē zhǎn,"motor show"
撤離,撤离,chè lí,"to withdraw from, to evacuate"
撤銷,撤销,chèxiāo,"cancel, rescind, revoke"
撐,撑,chēng,"prop up, brace, push/move with a pole, maintain, keep up"
成,成,chéng,"become, turn into"
成分,成分,chéngfèn,"constitution, class/economic status, composition, economic status, component_part, ingredient, one's profession or economic status, profession, component part, grammatical constituent, class, constituent, one's class status, class status, element, component, metal"
成品,成品,chéngpǐn,"end, end product, turnoff, end/finished product, finished product, facture"
承諾,承诺,chéngnuò,promise
城區,城区,chéng qū,"city district, urban area"
城鄉,城乡,chéngxiāng,"urban and rural, town and country"
城鎮,城镇,chéngzhèn,cities and towns
持有,持有,chíyǒu,"boast, take, possess, hold, carry"
衝擊,冲击,chōngjí,"lash, pound, charge, assault"
重建,重建,chóng jiàn,"to rebuild, to reestablish, reconstruction, rebuilding"
重組,重组,chóng zǔ,"to reorganize, to recombine, recombination"
崇拜,崇拜,chóngbài,"worship, adore"
寵物,宠物,chǒngwù,pet
衝,冲,chōng,"charge, rush, dash"
出場,出场,chū chǎng,"to appear (on stage, in a show, in a photo etc), to play (for a team), to enter (arena or stage), to send sb out (e.g. off the field for a foul)"
出動,出动,chū dòng,"to start out on a trip, to dispatch troops"
出訪,出访,chū fǎng,"to travel on business, to visit (a foreign country), same as 外出訪問|外出访问[wai4 chu1 fang3 wen4]"
出路,出路,chūlù,"way out, outlet, employment opportunities"
出面,出面,chūmiàn,"act in one's own capacity or on behalf o, act in one's own capacity or on behalf of an organization, act in one's own capacity or on behalf of an organ, appear personally"
出名,出名,chūmíng,"lend one's name, out, fame, become well-known, become famous, famous, use the name of, be famous, well-known"
出入,出入,chūrù,come in and go out
出事,出事,chū shì,"to have an accident, to meet with a mishap"
出臺,出台,chū tái,"to officially launch (a policy, program etc), to appear on stage, to appear publicly, (of a bar girl) to leave with a client"
出行,出行,chū xíng,"to set out on a long journey, to travel afar"
初等,初等,chū děng,"elementary (i.e. easy)"
除,除,chú,except
廚師,厨师,chúshī,"cook, chef"
儲存,储存,chúcún,"lay in/up, store, stockpile"
處處,处处,chùchù,"everywhere, in all respects"
處長,处长,chùzhǎng,"department, section chief, commissioner, department/office head, department head, head of a department, office head"
傳出,传出,chuán chū,"to transmit outwards, to disseminate, efferent (nerve)"
傳媒,传媒,chuán méi,"media"
傳輸,传输,chuánshū,"transmission, transmit"
傳言,传言,chuán yán,"rumor, hearsay"
船員,船员,chuányuán,"crew, sailorman, sailor, shipmate, crewman, tarpaulin, old salt, seaman, bargeman, tar, boatman, Jack-tar, mariner, sea dog, gob, waister, seafarer"
船長,船长,chuán zhǎng,"captain (of a boat), skipper"
船隻,船只,chuánzhī,"boat, watercraft, marine, ship, vessel"
串,串,chuàn,"to string together, to skewer, to connect wrongly, to gang up, to rove, string, bunch, skewer, classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of, to make a swift or abrupt linear movement (like a bead on an abacus), to move across"
窗口,窗口,chuāngkǒu,"window, wicket, ticket window"
創辦,创办,chuàngbàn,"found, launch, establishment, set up, establish"
創建,创建,chuàng jiàn,"to found, to establish"
創意,创意,chuàngyì,"create new meanings, get-up-and-go, unique idea, new idea"
此處,此处,cǐ chù,"this place, here (literary)"
此次,此次,cǐ cì,"this time"
此前,此前,cǐ qián,"before this, before then, previously"
此事,此事,cǐshì,"This matter"
此致,此致,cǐ zhì,"(used at the end of a letter to introduce a polite salutation)"
次數,次数,cìshù,"number of times, frequancy, frequency, absolute frequency, legal case, oftenness, lawsuit, time, frequence"
從不,从不,cóngbù,"ne'er, never"
從沒,从没,cóng méi,"never (in the past), never did"
醋,醋,cù,"vinegar, jealousy (in love rivalry)"
村莊,村庄,cūn zhuāng,"village, hamlet, CL:座[zuo4]"
錯過,错过,cuòguò,"pass up, muff, throw_away, lose, let slip, miss, overslip, balk, overlook, cross, pass_up, slip"
搭,搭,dā,"put up, construct, join together, add (money/etc.)"
搭檔,搭档,dā dàng,"to cooperate, partner"
搭配,搭配,dāpèi,"group, pair"
打動,打动,dǎ dòng,"to move (to pity), arousing (sympathy), touching"
打斷,打断,dǎ duàn,"to interrupt, to break off, to break (a bone)"
打發,打发,dǎ fa,"to dispatch sb to do sth, to make sb leave, to pass (the time), (old) to make arrangements, (old) to bestow (alms etc)"
打官司,打官司,dǎ guān si,"to file a lawsuit, to sue, to dispute"
打牌,打牌,dǎ pái,"to play mahjong or cards"
打印機,打印机,dǎ yìn jī,"printer"
打造,打造,dǎ zào,"to create, to build, to develop, to forge (of metal)"
大道,大道,dàdào,"wide road, the way of virtue and justice"
大街,大街,dà jiē,"street, main street, CL:條|条[tiao2]"
大力,大力,dàlì,"vigorously, energetically"
大米,大米,dà mǐ,"(husked) rice"
大批,大批,dà pī,"large quantities of"
大賽,大赛,dàsài,"race, game, tournament, contest"
大師,大师,dàshī,"great master, lord, workmaster, artiste, Very Reverend, overlord, master, priest, maestro, non-Christian priest, Great Master"
大使,大使,dàshǐ,"elchee, embassador, ambassadorial, nuncio, ambassadorship, ambassador"
待會兒,待会儿,dai1 hui4 r5,"in a moment, later, Taiwan pr. [dai1 hui3 r5]"
擔憂,担忧,dānyōu,be apprehensive
單打,单打,dāndǎ,play by oneself
誕生,诞生,dànshēng,"be born, come into being, emerge"
黨,党,dǎng,"section, Dang, political party, CCP, KMT, Ku_Klux_Klan, clique, The Party, party, tong, kinsfolk, the Party, faction, gang"
當,当,dāng,"when, while"
當成,当成,dāngchéng,"regard as, take for, consider as, regard/consider as, treat as, regard"
當天,当天,dāng tiāndàng tiān,"on that day, the same day"
當作,当作,dāngzuò,"regard_as, regard as, look upon as, treat as, presume"
檔,档,dǎngdàng,"(Tw) variant of 擋|挡[dang3], gear, official records, grade (of goods), file, records, shelves, slot, gap, crosspiece, classifier for crosspieces, classifier for events, affairs etc, Taiwan pr. [dang3]"
檔案,档案,dǎngàn,"data file, documentation, record, archive, archives, file, dossier"
島,岛,dǎo,"island, isle"
到期,到期,dào qī,"to fall due (loan etc), to expire (visa etc), to mature (investment bond etc)"
盜版,盗版,dào bǎn,"pirated, illegal, see also 正版[zheng4 ban3]"
道教,道教,Dào jiào,"Taoism, Daoism (Chinese system of beliefs)"
道歉,道歉,dàoqiàn,apologize
低頭,低头,dītóu,"submission, surrender, submit, bow/hang one's head, bow, crouch, lower, yield, hang one's head, bow one's head, lower one's head"
低溫,低温,dī wēn,"low temperature"
滴,滴,dī,"a drop, to drip"
抵達,抵达,dǐdá,"reach, arrive at"
抵抗,抵抗,dǐkàng,"resist, stand up to"
地板,地板,dìbǎn,"boarding, planking, hatch, plat, floorboard, hatchway, floor board, flooring, planch, floor, footplate"
地名,地名,dì míng,"place name, toponym"
地下室,地下室,dìxiàshì,"rumpus_room, soutane, undercroft, rooms built below ground, ground_floor, serdab, cellar, hypogeum, crypt, subterranean, silo, subterrane, souterrain, vault, cellarage, basement"
電車,电车,diàn chē,"trolleybus, CL:輛|辆[liang4]"
電動,电动,diàndòng,electric
電力,电力,diànlì,"electrical line of force, electrical energy, power, electricity, potential, electric power"
電器,电器,diànqì,electrical equipment/appliance
弔,吊,diàodiào,"a string of 100 cash (arch.), to lament, to condole with, variant of 吊[diao4]"
調研,调研,diào yán,"to investigate and research, research, investigation"
跌,跌,dié,"fall, tumble"
定價,定价,dìng jià,"to set a price, to fix a price"
定時,定时,dìng shí,"to fix a time, fixed time, timed (of explosive etc)"
定位,定位,dìngwèi,fixed position
動畫,动画,dònghuà,(animated) cartoon
鬥爭,斗争,dòuzhēng,"battle, fight"
都市,都市,dū shì,"city, metropolis"
毒品,毒品,dúpǐn,"kif, kaif, narcotics, drug, weed, grass, narcotic drugs, drugs"
賭,赌,dǔ,"gamble, bet"
賭博,赌博,dǔbó,gamble
渡,渡,dù,"cross (river/sea/etc.), tide over, ferry across"
耑,端,duānduān,"old variant of 端[duan1], start, origin"
端午節,端午节,Duān wǔ jié,"Dragon Boat Festival (5th day of the 5th lunar month)"
短片,短片,duǎn piàn,"short film, video clip"
隊伍,队伍,duìwǔ,"cue, procession, contingent, ranks, troops, gang"
對抗,对抗,duìkàng,"baulk, pit, combat, antagonise, encounter, counterwork, countervail, counteract, opposition, resistance, cope, breast, defend, fight, stem, play, battle, fight down, meet, fight back, antagonize, face, confront, front, oppose, contradict, controvert, balk, resist, jib, countercheck, take on, counterbalance, match"
對外,对外,duì wài,"external, foreign, pertaining to external or foreign (affairs)"
蹲,蹲,dūn,"squat on heels, stay"
多半,多半,duōbàn,det : the greater part
多方面,多方面,duō fāng miàn,"many-sided, in many aspects"
多媒體,多媒体,duōméitǐ,multi-media
奪,夺,duó,"to seize, to take away forcibly, to wrest control of, to compete or strive for, to force one's way through, to leave out, to lose"
奪取,夺取,duó qǔ,"to seize, to capture, to wrest control of"
恩人,恩人,ēn rén,"a benefactor, a person who has significantly helped sb else"
兒科,儿科,ér kē,"pediatrics"
發病,发病,fā bìng,"onset, outbreak (of a disease)"
發電,发电,fādiàn,"electricity generation, generate electricity"
發放,发放,fāfàng,"provide, grant, extend"
發怒,发怒,fā nù,"to get angry"
發起,发起,fāqǐ,"initiate, commence, stage, instigate, sparkplug, sponsor, inauguraion, start, launch, promote, inaugurate, initiation"
發言人,发言人,fāyánrén,"voice, spokesman, representative, interpreter, prophet, addresser, spokesperson, prolocutor, addressor, fugleman, coryphaeus"
發炎,发炎,fāyán,"inflame, inflammation, inflamed"
法庭,法庭,fǎtíng,"judicature, areopagy, court, courtroom, tribunal, banc, forum, gate, banco, lockup, lawcourt, bailey"
法語,法语,Fǎ yǔ,"French (language)"
番,番,fān,m.[event]
番茄,番茄,fān qié,"tomato"
凡是,凡是,fánshì,conj.: whatever
繁殖,繁殖,fánzhí,"breed, reproduce, propagate"
反抗,反抗,fǎnkàng,"revolt, resist"
反問,反问,fǎn wèn,"to ask (a question) in reply, to answer a question with a question, rhetorical question"
反響,反响,fǎn xiǎng,"repercussions, reaction, echo"
犯,犯,fàn,"violate, offend, attack, assail, work against, commit, have recurrence (of old illness), revert (to bad habit)"
犯規,犯规,fàn guī,"to break the rules, an illegality, a foul"
犯罪,犯罪,fànzuì,commit crime/offense
防範,防范,fángfàn,"be on guard, keep lookout"
防守,防守,fáng shoǔ,"to defend, to protect (against)"
房價,房价,fángjià,"house/apartment purchase price, house purchase price, apartment purchase price, house"
彷彿,仿佛,fǎng fúfǎng fú,"to seem, as if, alike, similar"
飛船,飞船,fēi chuán,"airship, spaceship"
飛行員,飞行员,fēi xíng yuán,"pilot, aviator"
肺,肺,fèi,"lung, CL:個|个[ge4]"
分工,分工,fēngōng,"division of labour, divide the work"
分裂,分裂,fēnliè,"split, divide, break up"
憤怒,愤怒,fènnù,"indignant, angry"
風暴,风暴,fēngbào,"tempest, roughness, firestorm, windstorm, squall, blow, tempestuousness, storm"
峰會,峰会,fēng huì,"summit meeting"
奉獻,奉献,fèngxiàn,"offer as tribute, present with all respect"
佛,佛,fó,"Buddha, Buddhism, image of Buddha"
佛教,佛教,fójiào,"Bodhisattva, Buddhist religion, Buddhism"
服,服,fúfù,"clothes, dress, garment, to serve (in the military, a prison sentence etc), to obey, to convince, to admire, to acclimatize, to take (medicine), mourning clothes, to wear mourning clothes, dose (measure word for medicine), Taiwan pr. [fu2]"
浮,浮,fú,"to float, superficial, floating, unstable, movable, provisional, temporary, transient, impetuous, hollow, inflated, to exceed, superfluous, excessive, surplus"
父女,父女,fù nǚ,"father and daughter"
父子,父子,fùzǐ,father and son
負,负,fù,"betray, abandon, go against"
婦女,妇女,fùnǔ,"feme, womankind, female, femininity, cummer, woman, femme, quean, bevy, matron, toots, womanhood, feminine, womenfolk, women"
復蘇,复苏,fù sūfù sū,"variant of 復甦|复苏[fu4 su1], to recover (health, economic), to resuscitate, anabiosis"
副,副,fù,m.[general]
富人,富人,fù rén,"rich man"
富有,富有,fùyǒu,be rich/wealthy
改裝,改装,gǎi zhuāng,"to change one's costume, to repackage, to remodel, to refit, to modify, to convert"
干涉,干涉,gānshè,"interfere, intervene, meddle"
肝,肝,gān,"hepatic, liver"
桿,杆,gāngǎn,"pole, CL:條|条[tiao2],根[gen1], stick, pole, lever, classifier for long objects such as guns"
趕不上,赶不上,gǎn bù shàng,"can't keep up with, can't catch up with, cannot overtake"
趕忙,赶忙,gǎn máng,"to hurry, to hasten, to make haste"
趕上,赶上,gǎn shàng,"to keep up with, to catch up with, to overtake, to chance upon, in time for"
敢於,敢于,gǎn yú,"to have the courage to do sth, to dare to, bold in"
感人,感人,gǎn rén,"touching, moving"
剛好,刚好,gānghǎo,"exact, just right"
崗位,岗位,gāngwèi,"post, station"
港口,港口,gǎngkǒu,"harbour, port, seaport, haven, harbor"
高層,高层,gāocéng,high-level
高檔,高档,gāo dàng,"superior quality, high grade, top grade"
高等,高等,gāoděng,"higher, advanced"
高峰,高峰,gāofēng,"summit, apex, alp, vertex, acme, peak, height, pinnacle, high, all-time high"
高考,高考,gāo kǎo,"college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao4 Zhao1 sheng1 Quan2 guo2 Tong3 yi1 Kao3 shi4]), entrance exam for senior government service posts (Taiwan)"
高科技,高科技,gāokējì,"high technology, high tech"
高手,高手,gāoshǒu,"dab, master-hand, expert, master, facility, proficient, ace"
稿子,稿子,gǎo zi,"draft of a document, script, manuscript, mental plan, precedent"
歌唱,歌唱,gēchàng,sing
歌詞,歌词,gēcí,"words of song, lyrics"
歌星,歌星,gēxīng,singing star
革新,革新,géxīn,innovate
更是,更是,gèngshì,"even more"
工商,工商,gōngshāng,"industrial and commercial circles, business circles, industry and commerce"
公,公,gōng,"public, collectively owned, common, international (e.g. high seas, metric system, calendar), make public, fair, just, Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], honorable (gentlemen), father-in-law, male (animal)"
公安,公安,gōng ān,"(Ministry of) Public Security, public safety, public security"
公雞,公鸡,gōng jī,"cock, rooster"
公眾,公众,gōngzhòng,"community, the public, masses, the people, public"
公主,公主,gōngzhǔ,princess
攻擊,攻击,gōngjí,"attack, assault, accuse, vilify"
供給,供给,gōngjǐ,"supply, provide, furnish"
宮,宫,Gōnggōng,"surname Gong, palace, temple, castration (as corporal punishment), first note in pentatonic scale"
鞏固,巩固,gǒng gù,"to consolidate, consolidation, to strengthen"
貢獻,贡献,gòngxiàn,contribution
構建,构建,goù jiàn,"to construct (sth abstract)"
孤獨,孤独,gūdú,"lonely, solitary"
孤兒,孤儿,gūér,orphan
姑姑,姑姑,gū gu,"paternal aunt, CL:個|个[ge4]"
古典,古典,gǔdiǎn,classical
股,股,gǔ,m.[general]
股東,股东,gǔdōng,"raider, shareholder, interest, old fogy, shareowner, curio, antique, partner, stockholder, interest group"
股票,股票,gǔpiào,"capital stock, share, stock certificate, security, share certificate, stock"
故障,故障,gùzhàng,"malfunction, break"
顧,顾,gù,"turn round and look at, attend to, look after, take into consideration, visit, call on"
颳,刮,guāguā,"to blow (of the wind)"
拐,拐,guǎi,"to turn (a corner etc), to kidnap, to swindle, to misappropriate, walking stick, crutch, seven (used as a substitute for 七[qi1])"
關愛,关爱,guānài,care for
關聯,关联,guān lián,"related, linked, affiliated"
觀光,观光,guānguāng,"rubberneck, take in, visit, sightsee, travel to, go sightseeing, tour"
官司,官司,guān si,"lawsuit, CL:場|场[chang2]"
管道,管道,guǎndào,"pipeline, conduit, piping, channel (for communication/etc.)"
光輝,光辉,guānghuī,"radiancy, irradiancy, blaze, sparkle, fire, shininess, shine, resplendency, glory, glare, magnificence, sheen, lustre, grandeur, splendor, lucidity, coruscation, refulgence, grandness, burnish, brilliance, flame, glow, luminosity, glitter, luster, refulgency, radiance, irradiance, glowing, halo, resplendence, splendour, effulgence"
廣闊,广阔,guǎng kuò,"wide, vast"
軌道,轨道,guǐdào,"circle, path, trajectory, railroad track, orbital, course, proper way of doing things, trackage, track, orbit, flight, rail, railway, trackway, tramroad, career, orb"
跪,跪,guì,"to kneel"
國產,国产,guóchǎn,"made in China, made in our country, make domestically"
國歌,国歌,guó gē,"national anthem"
國會,国会,guóhuì,"Storthing, Oireachtas, Cortes, Congress, congress, diet, the Diet, duma, congressional, Capitol, parliament, house"
國旗,国旗,guóqí,"flag, ensign, national flag"
國王,国王,guówáng,"regal, crowned_head, Rex, crown, kingdom, Pharaoh, male monarch, roi, king"
果醬,果酱,guǒ jiàng,"jam"
果樹,果树,guǒ shù,"fruit tree, CL:棵[ke1]"
過渡,过渡,guò dù,"to cross over (by ferry), transition, interim, caretaker (administration)"
過後,过后,guò hoù,"after the event"
過時,过时,guò shí,"old-fashioned, out of date, to be later than the time stipulated or agreed upon"
海報,海报,hǎibào,"throwaway, poster, bill, flier, flyer, broadside, a playbill, a placard, circular, playbill, placard, broadsheet, handbill, a poster"
海底,海底,hǎi dǐ,"seabed, seafloor, bottom of the ocean"
海軍,海军,hǎijūn,"marine, naval, admiralty, jolly, navy"
海浪,海浪,hǎi làng,"sea wave"
海外,海外,hǎiwài,"oversea, overseas, abroad"
海灣,海湾,Hǎi wānhǎi wān,"(Persian) Gulf, bay, gulf (body of water)"
海洋,海洋,hǎiyáng,"briny, profound, main, deep, sea, oceanic, Neptune, brine, nautical, ocean, seas and oceans"
好容易,好容易,hǎo róng yì,"with great difficulty, to have a hard time (convincing sb, relinquishing sth etc)"
好似,好似,hǎo sì,"to seem, to be like"
好轉,好转,hǎo zhuǎn,"to improve, to take a turn for the better, improvement"
好學,好学,hào xué,"eager to study, studious, erudite"
合約,合约,héyuē,"contract, booking, obligation, treaty"
和諧,和谐,héxié,"harmonious, concordant"
核心,核心,héxīn,"nub, nucleus, meat, heart, core group, substance, center, core, the center, crux, essence, root, kernel, nitty-gritty, inwardness, pith, sum, marrow, bosom, gist"
黑夜,黑夜,hēi yè,"night"
很難說,很难说,hěnnánshuō,"Hard to say"
狠,狠,hěn,"fierce, very"
橫,横,hénghèng,"horizontal, across, (horizontal character stroke), harsh and unreasonable, unexpected"
衡量,衡量,héngliáng,"weigh, measure, judge"
宏大,宏大,hóng dà,"great, grand"
洪水,洪水,hóng shuǐ,"deluge, flood"
忽略,忽略,hūluè,"overpass, fail, pretermit, outlook, pass, overlook, neglectful, snub, cut, neglect, marginalize, miss, lose sight of, disregard, slur, ignore, forget"
壺,壶,hú,"pot, classifier for bottled liquid"
互動,互动,hùdòng,relate
戶外,户外,hùwài,"air, outdoor, open_air, out-of-doors, open, outdoors, open air, open-air"
護,护,hù,"to protect"
花費,花费,huāfèi,"spend, expend"
花瓶,花瓶,huā píng,"flower vase, fig. just a pretty face, CL:對|对[dui4]"
花生,花生,huā shēng,"peanut, groundnut, CL:粒[li4]"
化解,化解,huàjiě,remove
幻想,幻想,huànxiǎng,"imagine, daydream, reverie, stargaze, fantasticate, fancify, dream, visionary, fancy, illusion, fantasize, chimerical, woolgather, illusory, fantasy"
患者,患者,huànzhě,"patient, subject, sufferer"
皇帝,皇帝,huángdì,emperor
回應,回应,huíyìng,"echo, react, answer, respond"
毀,毁,huǐ,"destruction, ruin, slay, damage, slander, spoil, bugger up, burn up, refashion, make over, destroy, defame, demolish"
會見,会见,huì jiàn,"to meet with (sb who is paying a visit), CL:次[ci4]"
